,ZC3H7B (23264)
ACH-000004,-0.261035539481
ACH-000007,-0.26256166301399997
ACH-000009,-0.209255519961
ACH-000011,-0.145990081714
ACH-000012,-0.23632861949499998
ACH-000013,-0.377520348995
ACH-000014,-0.36359979383
ACH-000015,-0.138086418522
ACH-000017,-0.43653010711499995
ACH-000018,-0.16778787948600002
ACH-000019,-0.556016396452
ACH-000021,-0.136247767269
ACH-000022,-0.0874155854644
ACH-000025,-0.376215580818
ACH-000028,-0.266093169645
ACH-000030,-0.257122237905
ACH-000035,-0.361108255467
ACH-000036,-0.0320757749008
ACH-000037,-0.10458216821699999
ACH-000039,-0.0449070532461
ACH-000040,0.056541074322699995
ACH-000041,-0.249694039162
ACH-000042,-0.23794914698300001
ACH-000045,-0.265595651241
ACH-000047,-0.245986481473
ACH-000052,-0.160654994081
ACH-000053,-0.152433319861
ACH-000054,-0.372811994987
ACH-000055,-0.026049273366400002
ACH-000060,-0.477766720851
ACH-000067,-0.10893447021199999
ACH-000070,-0.25659504014
ACH-000075,-0.192008743532
ACH-000078,-0.0599389179062
ACH-000082,-0.0568447138519
ACH-000085,-0.3497977259
ACH-000086,0.047703532367699995
ACH-000087,-0.220475713746
ACH-000092,-0.19631386456500002
ACH-000095,-0.0559840096925
ACH-000097,-0.299371879087
ACH-000098,-0.154587709081
ACH-000099,-0.233533883695
ACH-000108,-0.0827180186505
ACH-000113,-0.151577973894
ACH-000115,-0.23400301465
ACH-000116,-0.0551560911455
ACH-000118,-0.224312120008
ACH-000120,-0.16422214436
ACH-000123,-0.148788563649
ACH-000127,-0.0617683717248
ACH-000128,-0.206684906239
ACH-000132,-0.298326794502
ACH-000133,-0.23188305106999996
ACH-000137,-0.394965592133
ACH-000138,-0.00495355969562
ACH-000142,-0.261641979312
ACH-000143,-0.439917422798
ACH-000146,-0.247439757687
ACH-000148,-0.32572154331500003
ACH-000150,0.010158072696100001
ACH-000152,-0.37994199636500003
ACH-000153,-0.21983612443300002
ACH-000159,0.0688373468317
ACH-000160,-0.429921086147
ACH-000163,0.0207887321057
ACH-000167,-0.17418203068
ACH-000168,-0.234010448697
ACH-000169,-0.258600527825
ACH-000178,-0.14885060824000002
ACH-000182,-0.0474539968246
ACH-000183,-0.316384647408
ACH-000188,-0.22247909702399998
ACH-000189,-0.563820258163
ACH-000190,-0.16790868467300002
ACH-000198,-0.278546883411
ACH-000204,-0.528533448111
ACH-000206,-0.18376400549199998
ACH-000207,-0.250886136072
ACH-000211,-0.0805926559372
ACH-000215,-0.148074132572
ACH-000221,-0.216692527414
ACH-000222,-0.117595279318
ACH-000223,-0.24007151725
ACH-000226,-0.11290851384600001
ACH-000227,-0.5336171599499999
ACH-000228,-0.10688053606100001
ACH-000231,-0.38844167076700004
ACH-000232,-0.374927678986
ACH-000233,0.020065879312099997
ACH-000234,-0.30563987964899997
ACH-000235,-0.141526313005
ACH-000237,-0.155083236501
ACH-000238,-0.304159805556
ACH-000243,-0.170320171533
ACH-000244,-0.23875644977
ACH-000246,-0.25135288954199997
ACH-000248,-0.157467060445
ACH-000250,-0.222420664318
ACH-000251,-0.27774719908000006
ACH-000253,-0.28785866696400003
ACH-000255,-0.171703763986
ACH-000256,-0.18468604344999998
ACH-000257,-0.456127458988
ACH-000258,-0.0746990972989
ACH-000259,-0.125522603197
ACH-000260,-0.057439972695
ACH-000261,-0.369613647235
ACH-000262,-0.209872657577
ACH-000263,-0.312596307322
ACH-000264,-0.23937969772599998
ACH-000265,-0.260301793331
ACH-000266,-0.0607621129433
ACH-000272,-0.15013167154999998
ACH-000273,-0.31812314871999997
ACH-000274,-0.227088298363
ACH-000277,-0.18685187885899998
ACH-000278,-0.302852893916
ACH-000279,-0.229322003603
ACH-000280,-0.303836575274
ACH-000281,-0.114135016568
ACH-000288,-0.243008016201
ACH-000291,-0.36096842055699996
ACH-000293,0.0031069899038000002
ACH-000294,-0.15767274349000002
ACH-000295,-0.24431406069800002
ACH-000296,-0.222937535599
ACH-000302,-0.19142348157400002
ACH-000304,-0.258931155575
ACH-000307,-0.21364953233
ACH-000308,-0.22004949938700002
ACH-000310,-0.06793899494059999
ACH-000311,-0.101586346181
ACH-000312,-0.117171441393
ACH-000315,0.0623006237297
ACH-000316,-0.11744178231899999
ACH-000317,-0.22453287717300002
ACH-000318,-0.28341444723299997
ACH-000319,-0.281433339823
ACH-000320,-0.13236474248
ACH-000322,-0.0182414082044
ACH-000323,-0.320332425781
ACH-000324,-0.201045795213
ACH-000329,-0.26582324620700004
ACH-000330,-0.011219825813400001
ACH-000331,-0.17045868937300002
ACH-000332,-0.11418106988700001
ACH-000334,-0.586424847487
ACH-000335,-0.122614617617
ACH-000336,-0.214602225103
ACH-000337,-0.274661480875
ACH-000339,-0.0914044019414
ACH-000341,-0.0773204461448
ACH-000348,-0.175959703037
ACH-000350,-0.253002205036
ACH-000352,-0.048072730720800004
ACH-000356,0.00993578787398
ACH-000361,-0.13969893041099998
ACH-000362,-0.142005239009
ACH-000363,-0.33941134665100003
ACH-000364,-0.156532327854
ACH-000365,-0.305142736003
ACH-000366,-0.15586566479699998
ACH-000368,-0.332629648868
ACH-000374,-0.0325343337896
ACH-000375,-0.035371808364
ACH-000376,-0.268453311028
ACH-000381,-0.479257256003
ACH-000383,-0.32374609545899996
ACH-000387,-0.152317666461
ACH-000389,-0.0628626643235
ACH-000390,-0.08235825266010001
ACH-000393,-0.194834940472
ACH-000395,-0.224482799586
ACH-000397,-0.146719896094
ACH-000401,-0.21131751670899998
ACH-000402,-0.617094463215
ACH-000403,-0.183258286998
ACH-000404,-0.118192754806
ACH-000406,-0.266270769584
ACH-000407,-0.162738496716
ACH-000408,-0.297272154095
ACH-000410,-0.165457871719
ACH-000411,-0.21823101980700002
ACH-000414,-0.136189121948
ACH-000415,-0.168276789249
ACH-000416,-0.205078227908
ACH-000420,-0.266856919141
ACH-000421,-0.36453018143700006
ACH-000424,-0.33935438130900003
ACH-000425,-0.040311632291
ACH-000426,-0.562312711284
ACH-000427,-0.160783790756
ACH-000433,-0.186268280275
ACH-000436,-0.10338516724300001
ACH-000444,-0.0809328261698
ACH-000445,-0.351686798796
ACH-000448,-0.381692275496
ACH-000450,-0.05094388474019999
ACH-000452,-0.17414971605000001
ACH-000454,-0.114594142951
ACH-000458,-0.367646586552
ACH-000459,-0.0666338436093
ACH-000460,-0.262911643696
ACH-000461,-0.156106854189
ACH-000463,-0.0942500919821
ACH-000464,-0.182444976925
ACH-000466,-0.308096794186
ACH-000467,-0.183664143732
ACH-000468,-0.20102231397300002
ACH-000469,-0.33944316262400004
ACH-000470,-0.203480414577
ACH-000471,-0.275159817613
ACH-000472,-0.200299410232
ACH-000473,-0.38129469239299996
ACH-000475,-0.306930700793
ACH-000476,-0.253737678499
ACH-000477,0.21045403745400001
ACH-000480,-0.317477931734
ACH-000481,-0.26454395194499997
ACH-000483,0.034357004136099996
ACH-000484,-0.278824625701
ACH-000485,-0.106098692826
ACH-000486,-0.320138078878
ACH-000487,-0.11689987848
ACH-000488,-0.226394103316
ACH-000490,-0.144922454035
ACH-000491,-0.129930584303
ACH-000495,-0.134714713895
ACH-000496,-0.136038343639
ACH-000499,-0.12079783053899999
ACH-000500,0.146299705586
ACH-000502,-0.325115209516
ACH-000503,-0.214700786809
ACH-000505,-0.317516558996
ACH-000507,-0.339763142286
ACH-000510,-0.302412916193
ACH-000511,-0.301313734712
