,PDE6D (5147)
ACH-000004,-0.09998262452260001
ACH-000007,-0.110166061763
ACH-000009,-0.134659084126
ACH-000011,-0.20790091259399998
ACH-000012,-0.17321526763599998
ACH-000013,-0.12743058550699998
ACH-000014,-0.136108018377
ACH-000015,-0.243657220708
ACH-000017,-0.07150928916
ACH-000018,-0.18300393043
ACH-000019,-0.267949095147
ACH-000021,-0.09584796753529999
ACH-000022,-0.165155457503
ACH-000025,0.00455428350371
ACH-000028,-0.086337677548
ACH-000030,-0.198289656384
ACH-000035,0.0778609803348
ACH-000036,0.041449997975499996
ACH-000037,-0.156025071283
ACH-000039,-0.215845369834
ACH-000040,-0.0482125629481
ACH-000041,-0.0014780120428399997
ACH-000042,-0.28237311267
ACH-000045,-0.154896359133
ACH-000047,-0.107261243839
ACH-000052,-0.08152503066399999
ACH-000053,-0.045793483476099996
ACH-000054,-0.18657904318799998
ACH-000055,-0.135678587922
ACH-000060,-0.13950130183599999
ACH-000067,-0.25003880252
ACH-000070,-0.0935382461557
ACH-000075,0.0636258488394
ACH-000078,-0.08090592194360001
ACH-000082,-0.121994134042
ACH-000085,-0.16905178699700002
ACH-000086,0.0125858088858
ACH-000087,-0.055355063000999995
ACH-000092,-0.109494445537
ACH-000095,-0.0519196977817
ACH-000097,-0.146418605126
ACH-000098,-0.262518136208
ACH-000099,-0.198169291408
ACH-000108,-0.35035886035499997
ACH-000113,-0.0690628435093
ACH-000115,-0.133296239454
ACH-000116,0.0772830314729
ACH-000118,-0.036087087979199996
ACH-000120,-0.12420958811100001
ACH-000123,-0.172510067122
ACH-000127,-0.08302788999310001
ACH-000128,-0.08237235410610001
ACH-000132,-0.188603303266
ACH-000133,-0.170196756624
ACH-000137,-0.22194148336
ACH-000138,-0.213791054051
ACH-000142,-0.0358541747854
ACH-000143,-0.0371291571192
ACH-000146,-0.09127713023560001
ACH-000148,-0.10562863747199999
ACH-000150,-0.35853502739200005
ACH-000152,-0.137791948084
ACH-000153,-0.433975623463
ACH-000159,-0.12720473815
ACH-000160,-0.20048204816399998
ACH-000163,-0.372070585026
ACH-000167,-0.054322283011499994
ACH-000168,-0.11257095027200001
ACH-000169,-0.130865797524
ACH-000178,-0.0802712722074
ACH-000182,-0.166728280028
ACH-000183,-0.19012858507
ACH-000188,-0.22924911655400002
ACH-000189,-0.457003105996
ACH-000190,-0.287960716138
ACH-000198,-0.23583331024
ACH-000204,-0.261356604108
ACH-000206,-0.022937625228
ACH-000207,0.211707297845
ACH-000211,-0.153300813633
ACH-000215,-0.19211868303399998
ACH-000221,0.0654698166816
ACH-000222,-0.237304465826
ACH-000223,-0.08214716408530001
ACH-000226,-0.18969761995200002
ACH-000227,-0.138295333344
ACH-000228,-0.060307142615599996
ACH-000231,-0.0727619313262
ACH-000232,0.00447764968442
ACH-000233,-0.11888170902100001
ACH-000234,-0.49543065572800005
ACH-000235,-0.18290783525600002
ACH-000237,-0.201827882163
ACH-000238,-0.174750185823
ACH-000243,-0.250379760715
ACH-000244,0.155791626614
ACH-000246,-0.139203981162
ACH-000248,0.0846955166518
ACH-000250,-0.28961946504
ACH-000251,-0.0670688804456
ACH-000253,-0.209755336883
ACH-000255,-0.09095135391489999
ACH-000256,-0.22275461208500003
ACH-000257,0.302481272779
ACH-000258,0.06799787647969999
ACH-000259,-0.171985659912
ACH-000260,-0.17843377434
ACH-000261,-0.113355749692
ACH-000262,-0.304460055171
ACH-000263,-0.32466343711199996
ACH-000264,-0.146704658515
ACH-000265,-0.07946068462989998
ACH-000266,-0.260497209457
ACH-000272,-0.24067783776700002
ACH-000273,-0.230020479342
ACH-000274,-0.169659827216
ACH-000277,-0.119763111623
ACH-000278,-0.07100457527000001
ACH-000279,-0.189910728209
ACH-000280,-0.145062054108
ACH-000281,-0.149054228998
ACH-000288,-0.21935187041200002
ACH-000291,-0.208750795631
ACH-000293,-0.149802117258
ACH-000294,-0.0469626699394
ACH-000295,-0.256613706467
ACH-000296,0.164077024713
ACH-000302,-0.0286472171856
ACH-000304,0.0687016040319
ACH-000307,-0.039932365673
ACH-000308,-0.22087333068700002
ACH-000310,-0.252018293563
ACH-000311,-0.161266936924
ACH-000312,-0.24171808681999996
ACH-000315,-0.06256081639790001
ACH-000316,-0.343557381176
ACH-000317,-0.209755891081
