,BRCA2 (675)
ACH-000004,-0.587418808875
ACH-000007,-0.712247420601
ACH-000009,-0.44148262870300004
ACH-000011,-0.958287701681
ACH-000012,-0.7142359560930001
ACH-000013,-0.631572718585
ACH-000014,-0.7659450226260001
ACH-000015,-1.0070573439
ACH-000017,-0.534575236136
ACH-000018,-0.44459947654200005
ACH-000019,-0.991549547262
ACH-000021,-1.00065404386
ACH-000022,-0.41263190447899994
ACH-000025,-0.6226792068399999
ACH-000028,-0.927222766471
ACH-000030,-0.805962367605
ACH-000035,-1.1424844116
ACH-000036,-0.5897692752489999
ACH-000037,-0.469122139334
ACH-000039,-0.828255289377
ACH-000040,-0.6707578432460001
ACH-000041,-0.604062922791
ACH-000042,-0.8198131079500001
ACH-000045,-0.730465734259
ACH-000047,-0.770474249109
ACH-000052,-0.501766300144
ACH-000053,-0.679694322664
ACH-000054,-0.64648098095
ACH-000055,-0.8714063444910001
ACH-000060,-0.907703269733
ACH-000067,-0.8090250015379999
ACH-000070,-0.6733920379289999
ACH-000075,-0.975737970034
ACH-000078,-0.771434415553
ACH-000082,-0.513397302718
ACH-000085,-0.776691028704
ACH-000086,-0.580314990372
ACH-000087,-0.576811534435
ACH-000092,-0.304677963422
ACH-000095,-0.632766590328
ACH-000097,-0.866719770018
ACH-000098,-0.5678182175050001
ACH-000099,-0.745088853654
ACH-000108,-0.657885524912
ACH-000113,-0.851356948627
ACH-000115,-0.327875386585
ACH-000116,-0.510424596057
ACH-000118,-1.08326697081
ACH-000120,-0.901941692921
ACH-000123,-0.9466610089899999
ACH-000127,-0.7012462254449999
ACH-000128,-0.519546851243
ACH-000132,-0.9836909234669999
ACH-000133,-0.442205670163
ACH-000137,-0.658081621905
ACH-000138,-0.778952646249
ACH-000142,-0.701280690432
ACH-000143,-0.849340444934
ACH-000146,-0.31726943940499996
ACH-000148,-0.7827418960420001
ACH-000150,-0.538330977749
ACH-000152,-0.9652186158439999
ACH-000153,-0.8491817329989999
ACH-000159,-0.752566360997
ACH-000160,0.0208933789785
ACH-000163,-0.549980520249
ACH-000167,0.016886376518399998
ACH-000168,-0.608496722857
ACH-000169,-0.935647521496
ACH-000178,-0.428692742708
ACH-000182,-0.5516727664609999
ACH-000183,-0.8020415652320001
ACH-000188,-0.766830840765
ACH-000189,-0.946189865493
ACH-000190,-0.16033488354599998
ACH-000198,-0.5361379179110001
ACH-000204,-0.465790623227
ACH-000206,-0.9835098601569999
ACH-000207,-0.466217962739
ACH-000211,-0.81589031713
ACH-000215,-0.626102700593
ACH-000221,-0.985344656954
ACH-000222,-0.702591247446
ACH-000223,-0.8611042965060001
ACH-000226,-0.912860568331
ACH-000227,-0.586578161321
ACH-000228,-1.38128321623
ACH-000231,-0.815924816401
ACH-000232,-0.858405454782
ACH-000233,-0.65700119433
ACH-000234,-0.574628147206
ACH-000235,-0.802116113625
ACH-000237,-0.796322718741
ACH-000238,-0.557610823228
ACH-000243,-0.747436005324
ACH-000244,-0.8958088524519999
ACH-000246,-0.743331345664
ACH-000248,-0.7956768063930001
ACH-000250,-0.533580171021
ACH-000251,-1.23236125748
ACH-000253,-0.233427686188
ACH-000255,-0.978701590278
ACH-000256,-0.668016890014
ACH-000257,-0.745205448981
ACH-000258,-1.11656081856
ACH-000259,-0.7974672391069999
ACH-000260,-0.743110436942
ACH-000261,-1.10383528622
ACH-000262,-0.7872331794249999
ACH-000263,-0.301285513557
ACH-000264,-0.6748855892260001
ACH-000265,-1.06324372873
ACH-000266,-0.8674290541509999
ACH-000272,-0.49824320365
ACH-000273,-0.510566971695
ACH-000274,-0.6165302784800001
ACH-000277,-0.40647289585699997
ACH-000278,-0.917790484809
ACH-000279,-0.781362932025
ACH-000280,-0.680010003078
ACH-000281,-0.48305214168899996
ACH-000288,-0.533492135788
ACH-000291,-0.709817801548
ACH-000293,-0.897057731246
ACH-000294,-0.765441676217
ACH-000295,-0.29288903241500003
ACH-000296,-0.751630538528
ACH-000302,-0.733507568536
ACH-000304,-0.810552066278
ACH-000307,-0.730180495212
ACH-000308,-0.542973645011
ACH-000310,-0.955341511919
ACH-000311,-0.734924909295
ACH-000312,-0.618355679666
ACH-000315,-0.669954334791
ACH-000316,-0.933759609805
ACH-000317,-1.34215985646
ACH-000318,-0.895542889466
ACH-000319,-0.814881609893
ACH-000320,-0.797687803082
ACH-000322,-0.779021272677
ACH-000323,-0.933023183495
ACH-000324,-0.8788421072750001
ACH-000329,-0.233412023261
ACH-000330,-0.478153967879
ACH-000331,-0.777453083865
ACH-000332,-0.53656111857
ACH-000334,-0.871187088935
ACH-000335,-0.696088746133
ACH-000336,-0.678624882375
ACH-000337,-0.583621196141
ACH-000339,-0.8771339924770001
ACH-000341,-0.9568024744210001
ACH-000348,-0.9407823853820001
ACH-000350,-0.203494019287
ACH-000352,-1.10501148732
ACH-000356,-0.757369422262
ACH-000361,-1.09831283301
ACH-000362,-0.5480258568
ACH-000363,-0.665715551756
ACH-000364,-0.9451099076739999
ACH-000365,-0.533769812378
ACH-000366,-0.7531585758310001
ACH-000368,-0.6983860003740001
ACH-000374,-0.9487462580320001
ACH-000375,-0.635575157688
ACH-000376,-0.6303721707859999
ACH-000381,-0.8026849316570001
ACH-000383,-0.394532030453
ACH-000387,-0.676386797222
ACH-000389,-0.827765322695
ACH-000390,-0.9042940067290001
ACH-000393,-0.9443187893420001
ACH-000395,-0.32202307959800003
ACH-000397,-1.04160461429
ACH-000401,-0.474648240395
ACH-000402,-0.885173564491
ACH-000403,-0.479760982415
ACH-000404,-0.972539481867
ACH-000406,-0.736557910255
ACH-000407,-0.9554007163189999
ACH-000408,-0.8758072776989999
ACH-000410,-0.474755100709
ACH-000411,-0.7467353134729999
ACH-000414,-0.7537085425910001
ACH-000415,-0.854243326547
ACH-000416,-0.574962597174
ACH-000420,-0.7756318318559999
ACH-000421,-0.9780403211650001
ACH-000424,-0.814100314223
ACH-000425,-0.8559211969380001
ACH-000426,-1.51501760796
ACH-000427,-0.43177264275399996
ACH-000433,-0.540768993683
ACH-000436,-1.00273378029
ACH-000444,-0.798982723182
ACH-000445,-0.6689820454209999
ACH-000448,-0.613778318548
ACH-000450,-0.558467625493
ACH-000452,-0.661569463066
ACH-000454,-0.5880823176759999
ACH-000458,-0.864220685089
ACH-000459,-1.04329809136
ACH-000460,-0.817110462723
ACH-000461,-0.498066307698
ACH-000463,-0.8013208815389999
ACH-000464,-0.358196669521
ACH-000466,-0.35227097312
ACH-000467,-0.627164820471
ACH-000468,-0.464883251298
ACH-000469,-0.536644063208
ACH-000470,0.443706453381
ACH-000471,-0.7931287706910001
ACH-000472,-0.523457037822
ACH-000473,-0.644497838342
ACH-000475,-0.674926237086
ACH-000476,-0.457849914022
ACH-000477,-1.0829450976700001
ACH-000480,-0.8351176217399999
ACH-000481,-0.859147917803
ACH-000483,-0.761285487648
ACH-000484,-0.565167335456
ACH-000485,-0.633497833697
ACH-000486,-0.75946994568
ACH-000487,-0.7493005940899999
ACH-000488,-0.5470690016659999
ACH-000490,-0.521581592128
ACH-000491,0.080010716424
ACH-000495,-0.627936529463
ACH-000496,-1.0942876510700001
ACH-000499,-0.745736629523
ACH-000500,-0.5970995942740001
ACH-000502,-0.734238158188
ACH-000503,-0.911656090826
ACH-000505,-0.752981900203
ACH-000507,-0.6730357101379999
ACH-000510,-0.696581230253
ACH-000511,-0.868613961791
ACH-000512,-0.8906739062190001
ACH-000516,-0.635780764543
ACH-000517,-0.578449551235
ACH-000518,-0.582796590472
ACH-000520,-0.9821250905619999
ACH-000521,-1.01954503019
ACH-000522,-0.818706555913
ACH-000524,-0.603688856873
ACH-000527,-1.0236007628200001
ACH-000528,-1.2063161400700002
ACH-000537,-0.8208678714929999
ACH-000541,-0.7156906937999999
ACH-000542,-0.606473283666
ACH-000544,-0.798115927811
ACH-000545,-0.642199297231
ACH-000547,-1.12608571719
ACH-000548,-0.764089387226
ACH-000549,-0.88385309668
ACH-000550,-0.550290163256
ACH-000552,-0.493292910696
ACH-000556,-0.8174543431029999
ACH-000557,-0.3886516565
ACH-000570,-0.688391764133
ACH-000571,-0.39548499731799996
ACH-000573,-0.268123987488
ACH-000576,-0.488205691476
ACH-000580,-0.824725991813
ACH-000584,-0.989113387039
ACH-000585,-0.623114554118
ACH-000588,-0.890858776975
ACH-000589,-0.583877373275
ACH-000591,-0.47678897567
ACH-000593,-0.39945844032600003
ACH-000600,-0.250542956829
ACH-000601,-0.6843802409790001
ACH-000604,-0.635888395278
ACH-000605,-0.5732256969489999
ACH-000606,-0.700058901174
ACH-000608,-0.7520626723010001
ACH-000614,-0.872626713823
ACH-000616,-1.02091207165
ACH-000618,-0.649493069982
ACH-000619,-0.594675954881
ACH-000620,-0.9126887243870001
ACH-000621,-0.633539757768
ACH-000622,-0.466608544429
ACH-000623,-0.802524980591
ACH-000624,-0.436169326556
ACH-000627,-0.513442792079
ACH-000630,-0.683866735138
ACH-000632,-0.8227795114899998
ACH-000633,-0.18880274290500001
ACH-000637,-0.969844712712
ACH-000638,-1.08270509716
ACH-000646,-0.423882456502
ACH-000647,-0.876271158803
ACH-000648,-0.359490553905
ACH-000649,-0.615960711966
ACH-000651,-0.8943063919320001
ACH-000652,-0.537898964776
ACH-000653,-0.930118394519
ACH-000657,-0.805534213676
ACH-000658,-0.476873211555
ACH-000661,-0.7252000385359999
ACH-000662,-0.374813752178
ACH-000663,-0.74161789325
ACH-000665,-0.900800342599
ACH-000671,-0.712843676443
ACH-000673,-0.370615427998
ACH-000676,-0.6582352313409999
ACH-000677,-0.902051576148
ACH-000681,-1.02969792226
ACH-000682,-0.634842745325
ACH-000683,-0.791240805014
ACH-000684,-1.13952370689
ACH-000688,-0.558763025927
ACH-000693,-0.8356873000980001
ACH-000694,-0.40341577326399997
ACH-000695,-0.711079633307
ACH-000696,-0.7087183023549999
ACH-000697,-0.8500510468529999
ACH-000699,-0.486420886401
