,LZIC (84328)
ACH-000004,-0.017119766600699998
ACH-000007,-0.167687775036
ACH-000009,-0.25171999144699997
ACH-000011,0.13559629483
ACH-000012,0.0163758705546
ACH-000013,0.0443842978005
ACH-000014,-0.11402377105799999
ACH-000015,-0.0320644814416
ACH-000017,0.0769591823514
ACH-000018,0.009886517430500001
ACH-000019,0.184835645461
ACH-000021,0.027704028877500002
ACH-000022,0.057756810908
ACH-000025,0.0384607493693
ACH-000028,0.08719261452230001
ACH-000030,-0.0411804613691
ACH-000035,-0.224711126946
ACH-000036,0.07028486415469999
ACH-000037,-0.12828470240700002
ACH-000039,-0.0795027225213
ACH-000040,-0.21196675203200002
ACH-000041,-0.132317455034
ACH-000042,-0.142088652623
ACH-000045,-0.21954926141199999
ACH-000047,0.14708504781099999
ACH-000052,-0.028137221252
ACH-000053,-0.13360748743599998
ACH-000054,0.144154512519
ACH-000055,0.241322384988
ACH-000060,0.155053575427
ACH-000067,-0.26746430588500003
ACH-000070,-0.11032865263399999
ACH-000075,-0.11967249330999999
ACH-000078,-0.14863874117999998
ACH-000082,0.1428546984
ACH-000085,-0.0684637279999
ACH-000086,0.06261368736589999
ACH-000087,0.107347982891
ACH-000092,-0.09408622133339999
ACH-000095,0.04251104111409999
ACH-000097,-0.04532947221469999
ACH-000098,0.0738533379378
ACH-000099,-0.16686602216
ACH-000108,-0.140015712531
ACH-000113,0.0453974035089
ACH-000115,-0.133413268038
ACH-000116,0.08692601881090001
ACH-000118,-0.0672219601745
ACH-000120,0.026417230155400002
ACH-000123,-0.0645665609733
ACH-000127,0.103700889289
ACH-000128,-0.236951778211
ACH-000132,-0.100799221465
ACH-000133,-0.08177049619580001
ACH-000137,-0.14217253220599999
ACH-000138,0.00829329820147
ACH-000142,-0.197304971547
ACH-000143,-0.21595891709399997
ACH-000146,-0.0535362249216
ACH-000148,0.132386205312
ACH-000150,-0.15920365932299999
ACH-000152,-0.0862719981802
ACH-000153,0.052058400410900006
ACH-000159,0.0899028357909
