,LUC7L3 (51747)
ACH-000004,-1.7250703665599998
ACH-000007,-1.6608148820500002
ACH-000009,-1.7747046346400002
ACH-000011,-1.81240691677
ACH-000012,-1.75651280979
ACH-000013,-1.6785137122799998
ACH-000014,-1.9179816049
ACH-000015,-1.7090025934
ACH-000017,-2.0037086900400003
ACH-000018,-1.83057935752
ACH-000019,-1.8044011857599997
ACH-000021,-1.69123621612
ACH-000022,-1.60466392792
ACH-000025,-1.6533623763499998
ACH-000028,-1.5846997038400001
ACH-000030,-1.7557261444299999
ACH-000035,-1.7283935729
ACH-000036,-1.67073273742
ACH-000037,-2.21753588155
ACH-000039,-2.00981110601
ACH-000040,-1.8053617546
ACH-000041,-2.09547949058
ACH-000042,-1.57438566368
ACH-000045,-1.8541513706900001
ACH-000047,-1.64039337611
ACH-000052,-1.90001686107
ACH-000053,-1.7770410431499999
ACH-000054,-1.7313211738699998
ACH-000055,-1.55690470138
ACH-000060,-1.61195236755
ACH-000067,-1.51825476996
ACH-000070,-1.8991101662599998
ACH-000075,-1.7210631654700002
ACH-000078,-1.90986142322
ACH-000082,-1.92273432224
ACH-000085,-1.68798940946
ACH-000086,-1.6353353413499998
ACH-000087,-1.8276087495900002
ACH-000092,-1.6746096471899998
ACH-000095,-1.7646130645400002
ACH-000097,-1.8156812014800001
ACH-000098,-1.73323611317
ACH-000099,-1.68534553895
ACH-000108,-1.7613312727400001
ACH-000113,-1.7676833214900003
ACH-000115,-1.40183558127
ACH-000116,-1.7448143708500001
ACH-000118,-1.4466833759399997
ACH-000120,-1.78752450944
ACH-000123,-1.7870281500099998
ACH-000127,-1.74551504013
ACH-000128,-1.74617350211
ACH-000132,-1.66846029399
ACH-000133,-1.7623107197099999
ACH-000137,-1.4578337108300001
ACH-000138,-1.69443022556
ACH-000142,-1.85406318188
ACH-000143,-1.85333838255
ACH-000146,-1.8850848876400004
ACH-000148,-2.0258491741099998
ACH-000150,-1.71071310955
ACH-000152,-1.76462632436
ACH-000153,-1.9091575376199998
ACH-000159,-1.80172841306
ACH-000160,-1.7649965297299999
ACH-000163,-1.46419920793
ACH-000167,-2.01558012877
ACH-000168,-1.8442363272599998
ACH-000169,-1.4569668142899999
ACH-000178,-1.7627285660900003
ACH-000182,-1.6568929496200002
ACH-000183,-1.71596696549
ACH-000188,-1.63464881723
ACH-000189,-1.33049644676
ACH-000190,-1.9279596773099998
ACH-000198,-1.7003934207299998
ACH-000204,-1.75454052887
ACH-000206,-1.52050563687
ACH-000207,-2.0374967081
ACH-000211,-1.9400854460699999
ACH-000215,-1.6401123099500001
ACH-000221,-1.8014776070400003
ACH-000222,-2.10181429592
ACH-000223,-1.57607703903
ACH-000226,-1.7883958219
ACH-000227,-1.68237312785
ACH-000228,-1.90441166638
ACH-000231,-1.7048911957600001
ACH-000232,-1.7112943446200002
ACH-000233,-1.8019898945599997
ACH-000234,-1.89286599971
ACH-000235,-1.8828562754900002
ACH-000237,-1.86625831528
ACH-000238,-1.9891717678299998
ACH-000243,-1.7656129793400002
ACH-000244,-1.68158136433
ACH-000246,-1.61232161949
ACH-000248,-1.9475635205200001
ACH-000250,-1.77628876354
ACH-000251,-1.7540607755400002
ACH-000253,-1.56094405638
ACH-000255,-1.5902969573299999
ACH-000256,-1.95218017556
ACH-000257,-1.6848153590000001
ACH-000258,-1.8301670692200003
ACH-000259,-1.75152717408
ACH-000260,-1.72066538108
ACH-000261,-1.56426982275
ACH-000262,-1.58410947507
ACH-000263,-1.54871338768
ACH-000264,-2.03895572365
ACH-000265,-1.7994925766099998
ACH-000266,-1.2239126310600001
ACH-000272,-1.73427559762
ACH-000273,-1.73051576437
ACH-000274,-2.0218151461900002
ACH-000277,-1.88728785026
ACH-000278,-1.62453419385
ACH-000279,-2.0132215422099997
ACH-000280,-1.65470809056
ACH-000281,-1.75589090037
ACH-000288,-1.69585047813
ACH-000291,-1.7456772542200003
ACH-000293,-2.06339113039
ACH-000294,-1.5723550077500001
ACH-000295,-1.70086336004
ACH-000296,-2.0083350652000003
ACH-000302,-1.74644885653
ACH-000304,-1.5551067174899997
ACH-000307,-1.6420072059200002
ACH-000308,-1.92467004252
ACH-000310,-1.93581586628
ACH-000311,-1.56149297586
ACH-000312,-1.67345161541
ACH-000315,-1.6023732730899998
ACH-000316,-1.7079531448299998
ACH-000317,-1.56367125401
ACH-000318,-1.46332372679
ACH-000319,-1.78436725107
ACH-000320,-1.9620159152
ACH-000322,-1.8870065576099997
ACH-000323,-1.91099924303
ACH-000324,-1.60660267135
ACH-000329,-1.93248576285
ACH-000330,-2.4155832461099997
ACH-000331,-1.5024377056099998
ACH-000332,-1.66785940852
ACH-000334,-1.47651457143
ACH-000335,-1.79638676426
ACH-000336,-1.97978791336
ACH-000337,-1.08530201486
ACH-000339,-1.9331915202400003
ACH-000341,-1.47764780971
ACH-000348,-1.6022512302
ACH-000350,-1.90211441398
ACH-000352,-1.56470373126
ACH-000356,-1.70517429381
ACH-000361,-1.6919942238299999
ACH-000362,-2.12772418982
ACH-000363,-1.9066679443
ACH-000364,-1.84364039255
ACH-000365,-1.95615729833
ACH-000366,-1.6950610429
ACH-000368,-1.73657955428
ACH-000374,-1.5220795760299999
ACH-000375,-1.8244563242700003
ACH-000376,-1.56200255019
ACH-000381,-1.81012765406
ACH-000383,-1.93805157942
ACH-000387,-1.7331443953499999
ACH-000389,-1.5275920081
ACH-000390,-1.8917038320700001
ACH-000393,-1.55956098903
ACH-000395,-1.8295076399
ACH-000397,-1.4268433141499999
ACH-000401,-1.76099272532
ACH-000402,-1.6408371459600002
ACH-000403,-1.71449946361
ACH-000404,-1.9469635506999998
ACH-000406,-1.8937329846900002
ACH-000407,-1.6863247381
ACH-000408,-1.90489794372
ACH-000410,-1.5209053088999998
ACH-000411,-1.61892524625
ACH-000414,-2.04219738074
ACH-000415,-1.8567204858400002
ACH-000416,-1.7226514838799998
ACH-000420,-1.2724009840000001
ACH-000421,-1.6070618408300001
ACH-000424,-1.55511521602
ACH-000425,-2.01076975198
ACH-000426,-1.7729085075599997
ACH-000427,-1.8346234238599999
ACH-000433,-1.77183530768
ACH-000436,-1.964637577
ACH-000444,-1.56335219757
ACH-000445,-1.8968044006
ACH-000448,-1.56840287221
ACH-000450,-1.46633592801
ACH-000452,-1.58709292963
ACH-000454,-1.48381918609
ACH-000458,-1.49425229503
ACH-000459,-1.25698401187
ACH-000460,-1.5275392379700001
ACH-000461,-1.60043467414
ACH-000463,-1.54825215033
ACH-000464,-1.49958053259
ACH-000466,-1.70664509581
ACH-000467,-1.6897255096200001
ACH-000468,-2.05603864963
ACH-000469,-1.80843052258
ACH-000470,-1.15767923747
ACH-000471,-1.84057501092
ACH-000472,-1.57067726194
ACH-000473,-1.61662749809
ACH-000475,-1.7775732258599999
ACH-000476,-1.5273382477000002
ACH-000477,-1.87144153907
ACH-000480,-1.5814683720500002
ACH-000481,-1.74340222535
ACH-000483,-1.41684055086
ACH-000484,-1.94016476747
ACH-000485,-1.7038012771000002
ACH-000486,-1.6429507518700002
ACH-000487,-1.7126435535
ACH-000488,-1.52248856049
ACH-000490,-1.4913644892500002
ACH-000491,-2.12103270107
ACH-000495,-1.32442080388
ACH-000496,-1.73341292276
ACH-000499,-1.4824298302399999
ACH-000500,-1.8276091125799998
ACH-000502,-1.64331371024
ACH-000503,-2.07138442377
ACH-000505,-1.80290389071
ACH-000507,-1.4742746634000001
ACH-000510,-1.6599330044
ACH-000511,-1.43268689195
ACH-000512,-1.6480590368599999
ACH-000516,-1.99615654317
ACH-000517,-1.51407005912
ACH-000518,-1.6385815054100001
ACH-000520,-1.7943387687
ACH-000521,-2.0097548874
ACH-000522,-1.66970113983
ACH-000524,-1.9638410472599999
ACH-000527,-1.7653705907799997
ACH-000528,-1.6581732464899999
ACH-000537,-1.4887531572900001
ACH-000541,-1.4660189898700002
ACH-000542,-1.8039529399400003
ACH-000544,-1.8140177859
ACH-000545,-1.4825827493500001
ACH-000547,-1.67979327854
ACH-000548,-1.59630834336
ACH-000549,-1.35937096947
ACH-000550,-1.54468102428
ACH-000552,-1.61978996375
ACH-000556,-1.89079526857
ACH-000557,-2.16261451943
ACH-000570,-1.89582445937
ACH-000571,-1.64529940181
ACH-000573,-1.73683785767
ACH-000576,-1.6703008109600002
ACH-000580,-1.97130718599
ACH-000584,-1.8876846460099999
ACH-000585,-1.90776953593
ACH-000588,-1.61814441937
ACH-000589,-1.6165107791100002
ACH-000591,-1.56479753664
ACH-000593,-1.7187808038900003
ACH-000600,-2.00879784431
ACH-000601,-1.68163871742
ACH-000604,-2.0343193320700004
ACH-000605,-1.7757312132799998
ACH-000606,-1.5308889079199999
ACH-000608,-2.09455689987
ACH-000614,-2.3534612772
ACH-000616,-1.5052653267700002
ACH-000618,-1.70237679266
ACH-000619,-1.7686650141599998
ACH-000620,-1.7145361801499999
ACH-000621,-1.81374795948
ACH-000622,-1.5353590305000002
ACH-000623,-1.5168952065999999
ACH-000624,-1.6168100722299998
ACH-000627,-1.9872485176499999
ACH-000630,-1.54766758363
ACH-000632,-1.9359166590299999
ACH-000633,-1.9115263337700001
ACH-000637,-1.5367956348299998
ACH-000638,-2.00221908701
ACH-000646,-1.9443488777000002
ACH-000647,-1.50322108868
ACH-000648,-1.5691137423800001
ACH-000649,-1.70226473938
ACH-000651,-1.69872751185
ACH-000652,-1.7448854535900002
ACH-000653,-1.64494405609
ACH-000657,-1.6463672129499998
ACH-000658,-2.0015507003799997
ACH-000661,-1.62441282572
ACH-000662,-1.9268377652400002
ACH-000663,-2.1635471916299998
ACH-000665,-1.74759120658
ACH-000671,-1.7968383333700002
ACH-000673,-1.6269620775
ACH-000676,-1.70438298234
ACH-000677,-1.69840654217
ACH-000681,-1.6386989462600001
ACH-000682,-1.6906730926700002
ACH-000683,-2.0235061981099998
ACH-000684,-1.65343094686
ACH-000688,-1.6651918510600001
ACH-000693,-1.73307945967
ACH-000694,-1.73900917137
ACH-000695,-1.8209035120500001
ACH-000696,-1.6973138224000002
ACH-000697,-1.48646578158
ACH-000699,-1.8073325617900002
ACH-000701,-1.8684532968599998
ACH-000706,-1.40663815678
ACH-000711,-1.3539098122100002
ACH-000713,-1.80770440664
ACH-000714,-1.82436755259
ACH-000718,-1.94732901619
ACH-000720,-1.82825763432
ACH-000721,-1.59064930757
ACH-000724,-2.5833020763
ACH-000725,-1.9097826180900002
ACH-000732,-1.8531322825799998
ACH-000734,-1.6428961913999998
ACH-000735,-1.92647695322
ACH-000736,-1.7011675239500001
ACH-000738,-1.51707726368
ACH-000746,-1.4470525115200001
ACH-000747,-1.58962468259
ACH-000748,-1.49402883289
ACH-000753,-1.63917268974
ACH-000756,-1.9189722227200001
ACH-000757,-1.98538923602
ACH-000758,-1.36243979002
ACH-000760,-1.83221278655
ACH-000763,-1.8276175657299998
ACH-000764,-1.77150640699
