,PFDN6 (10471)
ACH-000004,-1.42800010672
ACH-000007,-1.5493032630799999
ACH-000009,-1.13317399567
ACH-000011,-1.59476411242
ACH-000012,-1.13873538154
ACH-000013,-1.69652805405
ACH-000014,-1.1635479599
ACH-000015,-1.16955412881
ACH-000017,-1.2270725684200001
ACH-000018,-1.3783558900100001
ACH-000019,-1.23647761165
ACH-000021,-1.25600318617
ACH-000022,-1.08141082703
ACH-000025,-1.17416541611
ACH-000028,-1.4485315962799998
ACH-000030,-1.4834987285799999
ACH-000035,-1.29554187329
ACH-000036,-1.41228386458
ACH-000037,-1.28081225772
ACH-000039,-1.09446708984
ACH-000040,-1.2191204894499998
ACH-000041,-1.40866041469
ACH-000042,-1.4604016270500002
ACH-000045,-1.30533961733
ACH-000047,-1.01233620294
ACH-000052,-1.0354774572799998
ACH-000053,-1.19507394681
ACH-000054,-1.40684171069
ACH-000055,-1.4565985033500002
ACH-000060,-1.20633773284
ACH-000067,-1.32855634489
ACH-000070,-1.20236336807
ACH-000075,-1.28962924993
ACH-000078,-1.4023169820399999
ACH-000082,-1.19292126612
ACH-000085,-1.39842088854
ACH-000086,-1.14118390734
ACH-000087,-1.374945082
ACH-000092,-1.0871665712899998
ACH-000095,-1.1424622985200001
ACH-000097,-1.50331100558
ACH-000098,-1.1354681346
ACH-000099,-1.21048086895
ACH-000108,-1.36679462391
ACH-000113,-1.28514053795
ACH-000115,-1.00098157877
ACH-000116,-1.2725021971
ACH-000118,-1.46929908634
ACH-000120,-1.04773782496
ACH-000123,-1.27513492077
ACH-000127,-1.47989893945
ACH-000128,-1.1414415442899999
ACH-000132,-1.2047323168600002
ACH-000133,-1.13209485154
ACH-000137,-1.0912507771200002
ACH-000138,-1.12131941818
ACH-000142,-1.13077704467
ACH-000143,-1.33966291404
ACH-000146,-1.1917085778
ACH-000148,-1.00987762434
ACH-000150,-1.0024078729399999
ACH-000152,-1.10621982843
ACH-000153,-1.50746691141
ACH-000159,-1.20428380934
ACH-000160,-1.4495758276
ACH-000163,-1.5252793522299999
ACH-000167,-1.46573296216
ACH-000168,-1.2015260020899998
ACH-000169,-1.28218229593
ACH-000178,-1.31737282048
ACH-000182,-1.3902909804199999
ACH-000183,-1.0857578052099999
ACH-000188,-1.26234539161
ACH-000189,-1.09428600176
ACH-000190,-1.11551247796
ACH-000198,-1.10674724022
ACH-000204,-1.4467115202599998
ACH-000206,-0.939051555193
ACH-000207,-1.6133530838499999
ACH-000211,-1.26916924512
ACH-000215,-1.09895013576
ACH-000221,-1.3755612643900001
ACH-000222,-1.1547890377399999
ACH-000223,-1.24171921085
ACH-000226,-1.15230939002
ACH-000227,-0.991957001438
ACH-000228,-1.56725032686
ACH-000231,-1.13729536546
ACH-000232,-1.21658594022
ACH-000233,-1.08571755784
ACH-000234,-1.0857901515100001
ACH-000235,-1.4041114928100003
ACH-000237,-1.0260963881999998
ACH-000238,-1.69607233902
ACH-000243,-1.32580423062
ACH-000244,-1.61085804848
ACH-000246,-1.1485406312200002
ACH-000248,-1.4611706101100002
ACH-000250,-1.2080207786700001
ACH-000251,-1.1233596875
ACH-000253,-1.3425727599200001
ACH-000255,-1.16141985997
ACH-000256,-1.1001552548
ACH-000257,-1.14114103245
ACH-000258,-1.1896973504000001
ACH-000259,-1.34101107881
ACH-000260,-1.14318458248
ACH-000261,-1.20914323474
ACH-000262,-1.2908338750200001
ACH-000263,-1.4326075425799998
ACH-000264,-1.4629085042399999
ACH-000265,-1.3510124328600002
ACH-000266,-1.3484328462200001
ACH-000272,-1.0301442218
ACH-000273,-1.3177789751
ACH-000274,-1.29987821636
ACH-000277,-1.11662636692
ACH-000278,-1.07840230978
ACH-000279,-1.0633702896200001
ACH-000280,-1.30967077089
ACH-000281,-1.20605227679
ACH-000288,-0.8739205413510001
ACH-000291,-1.22672325088
ACH-000293,-1.1627088081399999
ACH-000294,-1.21050890859
ACH-000295,-1.37873457465
ACH-000296,-1.1006514326899999
ACH-000302,-1.09983984269
ACH-000304,-1.6969874981400002
ACH-000307,-1.37182706416
ACH-000308,-1.53742132083
ACH-000310,-0.9186469695139999
ACH-000311,-1.45007936217
