,IMPACT (55364)
ACH-000004,0.0529338538072
ACH-000007,-0.320496372197
ACH-000009,-0.104862907565
ACH-000011,-0.37986122798199995
ACH-000012,-0.173958127995
ACH-000013,-0.16529323746400001
ACH-000014,-0.084917874583
ACH-000015,-0.109188669057
ACH-000017,-0.224969364655
ACH-000018,-0.15912818215
ACH-000019,-0.304295547455
ACH-000021,-0.166910422048
ACH-000022,-0.26456440744000004
ACH-000025,-0.36703655611999997
ACH-000028,-0.403812310913
ACH-000030,-0.22581115588599998
ACH-000035,-0.0724219831532
ACH-000036,-0.332165242909
ACH-000037,-0.385117492888
ACH-000039,-0.108733461972
ACH-000040,-0.39811099548900003
ACH-000041,-0.214125999007
ACH-000042,-0.27862905553000006
ACH-000045,-0.09849115112029999
ACH-000047,-0.013007273926299998
ACH-000052,-0.18592710583500002
ACH-000053,-0.0991652696725
ACH-000054,-0.193603689003
ACH-000055,-0.193558763789
ACH-000060,-0.329179619755
ACH-000067,-0.021849475361900003
ACH-000070,-0.158066294431
ACH-000075,-0.242324597386
ACH-000078,-0.153345912575
ACH-000082,-0.203445514616
ACH-000085,-0.20124394809300003
ACH-000086,-0.102203942548
ACH-000087,0.0625583905099
ACH-000092,-0.17654365960700003
ACH-000095,-0.21885971046100003
ACH-000097,-0.243717831244
ACH-000098,-0.188587654234
ACH-000099,-0.167424591202
ACH-000108,0.102881669578
ACH-000113,-0.099875885823
ACH-000115,-0.0343000984343
ACH-000116,-0.266395333595
ACH-000118,-0.16814547742400002
ACH-000120,0.0838639519167
ACH-000123,-0.169925734406
ACH-000127,-0.0342176475489
ACH-000128,0.13334698521299998
ACH-000132,-0.380545500057
ACH-000133,-0.202724240423
ACH-000137,-0.058465966291399996
ACH-000138,-0.291154741396
ACH-000142,-0.230491305001
ACH-000143,-0.273554637436
ACH-000146,-0.061057311344099995
ACH-000148,-0.00910721373853
ACH-000150,-0.024829775838799997
ACH-000152,-0.00074654194693
ACH-000153,-0.0912825662966
ACH-000159,-0.15209533989000001
ACH-000160,-0.0188161981072
ACH-000163,-0.234851722784
ACH-000167,-0.14660737619
ACH-000168,-0.211627379022
ACH-000169,-0.184302681443
ACH-000178,-0.0586192896788
ACH-000182,-0.14611141704299999
ACH-000183,-0.182929057101
ACH-000188,-0.1234053949
ACH-000189,0.00183837858609
ACH-000190,-0.063765463448
ACH-000198,-0.0319609040917
ACH-000204,0.0710568607195
ACH-000206,-0.170231931895
ACH-000207,0.0272602453999
ACH-000211,-0.37163673192
ACH-000215,-0.305830893206
ACH-000221,0.052900445323400005
ACH-000222,-0.16049244966600001
ACH-000223,-0.245866760958
ACH-000226,-0.447455061025
ACH-000227,-0.40365577599799995
ACH-000228,-0.30432008515000003
ACH-000231,-0.23666396335499998
ACH-000232,-0.371438016052
ACH-000233,-0.020376587950099997
ACH-000234,-0.34912013131499997
ACH-000235,-0.09863927510260001
ACH-000237,-0.139278121302
ACH-000238,-0.212218352038
ACH-000243,-0.106120022553
ACH-000244,-0.382137668446
ACH-000246,-0.370594378078
ACH-000248,-0.260832028183
ACH-000250,-0.155627364106
ACH-000251,-0.105923530849
ACH-000253,-0.19393780838799998
ACH-000255,-0.255946808073
ACH-000256,-0.14761816875199998
ACH-000257,0.135240024018
ACH-000258,-0.42327629637599995
ACH-000259,-0.185175123468
ACH-000260,-0.174173511063
ACH-000261,-0.166233152829
ACH-000262,-0.09339224244660001
ACH-000263,-0.299905905904
ACH-000264,-0.341272857092
ACH-000265,-0.140699877935
ACH-000266,-0.176431465852
ACH-000272,-0.134389594412
ACH-000273,-0.399979631161
ACH-000274,-0.236993427296
ACH-000277,-0.328956773101
ACH-000278,-0.194570103751
ACH-000279,-0.07626008429930001
ACH-000280,-0.17440014125
ACH-000281,-0.37018828801
ACH-000288,-0.0399274040307
ACH-000291,-0.21562744695799999
ACH-000293,-0.0686436234834
ACH-000294,0.0536308073977
ACH-000295,-0.42664645945699997
ACH-000296,0.0869757061719
ACH-000302,-0.256811891028
ACH-000304,-0.08115416368419999
ACH-000307,-0.0690269740482
ACH-000308,-0.139730107586
ACH-000310,-0.238095509654
ACH-000311,-0.174124346824
ACH-000312,-0.180719198299
ACH-000315,0.014877560126799999
ACH-000316,-0.07776597968280001
ACH-000317,-0.0554982563133
ACH-000318,-0.0897711499983
ACH-000319,-0.06883674679480001
ACH-000320,0.08277279347310001
ACH-000322,-0.379441000926
ACH-000323,-0.407388178409
ACH-000324,-0.19934844802
ACH-000329,-0.191673912857
ACH-000330,-0.117188220815
ACH-000331,-0.168330886672
ACH-000332,-0.310063471386
