,TAF4B (6875)
ACH-000004,0.229920325002
ACH-000007,0.105359615023
ACH-000009,0.15669467952299998
ACH-000011,0.0250337840681
ACH-000012,0.32918563901299996
ACH-000013,0.183457408623
ACH-000014,0.296373256729
ACH-000015,0.23841645558200003
ACH-000017,0.18972987807799999
ACH-000018,-0.033467256842200005
ACH-000019,-0.0034741165812399995
ACH-000021,0.23905559220199998
ACH-000022,0.019561401489400002
ACH-000025,0.0563569173576
ACH-000028,0.07238895099039999
ACH-000030,0.0689726806811
ACH-000035,0.11735338908399999
ACH-000036,-0.06124201409419999
ACH-000037,0.22311912487399999
ACH-000039,0.12026300071799999
ACH-000040,0.0915132744795
ACH-000041,0.154625741643
ACH-000042,0.10211838501
ACH-000045,0.0208602856566
ACH-000047,0.144600664405
ACH-000052,0.25296070171999996
ACH-000053,0.244246932196
ACH-000054,0.0918421583078
ACH-000055,0.25180481981999997
ACH-000060,0.137184142927
ACH-000067,0.12136000781999999
ACH-000070,0.0668139171999
ACH-000075,0.41257073008100004
ACH-000078,-0.015117265370399998
ACH-000082,0.128766654056
ACH-000085,0.18788725023699998
ACH-000086,0.15072949579000003
ACH-000087,0.185610972656
ACH-000092,0.173275773992
ACH-000095,0.0796910036954
ACH-000097,0.0648721516127
ACH-000098,0.23742410579300002
ACH-000099,0.151681447577
ACH-000108,0.178983713359
ACH-000113,-0.017570919137200002
ACH-000115,0.17526966975699998
ACH-000116,0.153786803947
ACH-000118,0.142561065906
ACH-000120,0.229186686327
ACH-000123,0.006410657027069999
ACH-000127,0.0765384272679
ACH-000128,0.220830167936
ACH-000132,0.15887386542
ACH-000133,0.25910231415
ACH-000137,0.214743029141
ACH-000138,0.154616571944
ACH-000142,0.245651317531
ACH-000143,0.0613359886158
ACH-000146,0.24465339418
ACH-000148,0.18373313131299998
ACH-000150,0.215204948222
ACH-000152,0.210945949764
ACH-000153,0.17876074568300002
ACH-000159,0.202700609232
ACH-000160,0.605708255656
ACH-000163,0.115378114531
ACH-000167,0.765544563126
ACH-000168,-0.0841250402564
ACH-000169,0.042949735302200004
ACH-000178,0.247318396136
ACH-000182,0.13796731623400002
ACH-000183,0.329448953545
ACH-000188,0.109136779572
ACH-000189,0.023045389633400002
