,ENTPD8 (377841)
ACH-000004,-0.32607106616500003
ACH-000007,-0.116054182338
ACH-000009,-0.102875221236
ACH-000011,-0.28705061217300004
ACH-000012,-0.21867179896400002
ACH-000013,-0.247599779566
ACH-000014,-0.248575865216
ACH-000015,-0.137593245074
ACH-000017,-0.144445773724
ACH-000018,-0.191333452537
ACH-000019,-0.25196884004299996
ACH-000021,-0.13798681717
ACH-000022,-0.216389324131
ACH-000025,-0.0879332376097
ACH-000028,0.00408790004742
ACH-000030,-0.0807501650728
ACH-000035,0.134554158769
ACH-000036,-0.251399892643
ACH-000037,-0.19097815253800002
ACH-000039,-0.07041552604330001
ACH-000040,-0.126287169837
ACH-000041,-0.044977157355899994
ACH-000042,-0.204368063483
ACH-000045,-0.016825390942799997
ACH-000047,-0.193187468015
ACH-000052,-0.37428622441299997
ACH-000053,-0.029655694582700003
ACH-000054,-0.330538477283
ACH-000055,0.149873398208
ACH-000060,-0.24654320140900002
ACH-000067,-0.164286554714
ACH-000070,-0.398773040546
ACH-000075,-0.07708188724239999
ACH-000078,-0.241306269199
ACH-000082,-0.156734581272
ACH-000085,-0.276230718758
ACH-000086,-0.131284107602
ACH-000087,-0.10236157854
ACH-000092,-0.24227747934
ACH-000095,-0.203525746063
ACH-000097,-0.294021146566
ACH-000098,-0.147715141169
ACH-000099,-0.21331346237100002
ACH-000108,-0.185493281902
ACH-000113,-0.057094568291699996
ACH-000115,-0.165469020866
ACH-000116,-0.0409092029755
ACH-000118,-0.016907468526899998
ACH-000120,-0.162631249894
ACH-000123,-0.122184046621
ACH-000127,-0.125777000493
ACH-000128,0.00483023621557
ACH-000132,-0.161307393982
ACH-000133,-0.0639197653701
ACH-000137,-0.0259181164725
ACH-000138,-0.12296310140200001
ACH-000142,-0.30034734547200004
ACH-000143,-0.187618594719
ACH-000146,-0.13096855149800002
ACH-000148,-0.0713876572394
ACH-000150,-0.0128477697062
ACH-000152,-0.16720569960999998
ACH-000153,-0.135654905714
ACH-000159,-0.00305945113017
ACH-000160,-0.24627493589699997
ACH-000163,0.020930355751900002
ACH-000167,-0.0847240234834
ACH-000168,0.0367216694977
ACH-000169,-0.17153013303300002
ACH-000178,-0.149749339746
ACH-000182,-0.140117826878
ACH-000183,0.116206108115
ACH-000188,-0.140369769285
ACH-000189,-0.230146090866
ACH-000190,0.027160377328599997
ACH-000198,0.135295573418
ACH-000204,-0.22175820561299997
ACH-000206,0.0363943370755
ACH-000207,-0.18321352557300002
ACH-000211,-0.0780727618355
ACH-000215,-0.090717308842
ACH-000221,-0.0756526051688
ACH-000222,-0.0403483636345
ACH-000223,-0.142500193027
ACH-000226,-0.256897568529
ACH-000227,-0.252249965009
ACH-000228,-0.203804061219
ACH-000231,-0.17104044677900002
ACH-000232,-0.254335438926
ACH-000233,0.00392849547543
ACH-000234,-0.164338228719
ACH-000235,-0.12647167052000002
ACH-000237,-0.14721681021400002
ACH-000238,-0.278168596211
ACH-000243,-0.08397328934319999
ACH-000244,-0.271314858312
ACH-000246,-0.0129255096199
ACH-000248,-0.029239126081300002
ACH-000250,-0.296965265903
ACH-000251,-0.296648256285
ACH-000253,-0.346585738072
ACH-000255,-0.09941166403860001
ACH-000256,-0.134640554612
ACH-000257,-0.386189796606
ACH-000258,0.0990270408729
ACH-000259,-0.247141328761
ACH-000260,-0.157140795575
ACH-000261,-0.148978962559
ACH-000262,-0.29137552598
ACH-000263,-0.118783529144
ACH-000264,-0.19301253708500002
ACH-000265,0.026934754728200002
ACH-000266,-0.16939303972300002
ACH-000272,-0.12583582836100002
ACH-000273,-0.267728952423
ACH-000274,-0.29257522902399996
ACH-000277,-0.145025774747
ACH-000278,-0.15722012522700002
ACH-000279,-0.127138387985
ACH-000280,-0.13198270388699998
ACH-000281,-0.050718619466399995
ACH-000288,-0.174076347262
ACH-000291,-0.418781882939
ACH-000293,-0.10446704226800001
ACH-000294,-0.048771262077699995
ACH-000295,0.18903061467
ACH-000296,0.0704646934722
ACH-000302,-0.146529651757
ACH-000304,-0.1452351417
ACH-000307,-0.315220287083
ACH-000308,-0.14537425710000001
ACH-000310,-0.22687720844300002
ACH-000311,-0.157191660067
ACH-000312,-0.208946487219
ACH-000315,-0.264157654967
ACH-000316,-0.09892338909250001
ACH-000317,0.041851851217
ACH-000318,-0.15167853201
ACH-000319,-0.109526548838
ACH-000320,-0.023746784227100002
ACH-000322,-0.34196214630099997
ACH-000323,-0.130208822858
ACH-000324,-0.28883466232
ACH-000329,-0.037296609123699996
ACH-000330,-0.0507849260327
ACH-000331,-0.304300032794
ACH-000332,-0.138064983126
ACH-000334,0.124039172226
ACH-000335,-0.141095355655
ACH-000336,-0.183504238419
ACH-000337,-0.373944034737
ACH-000339,-0.160040291329
ACH-000341,-0.20494099690200002
ACH-000348,-0.248717115317
ACH-000350,-0.12382337222100001
ACH-000352,-0.17396924932
ACH-000356,-0.222082166466
ACH-000361,-0.13048236681199998
ACH-000362,-0.08567260588549999
ACH-000363,-0.09144696656120001
ACH-000364,-0.0355191094834
ACH-000365,-0.0728989896231
ACH-000366,-0.23109166937
ACH-000368,-0.176146696294
ACH-000374,-0.13606109464900001
ACH-000375,-0.145182965877
ACH-000376,-0.21619507902399998
ACH-000381,0.09960868328739998
ACH-000383,-0.226130183149
ACH-000387,-0.0180131081018
ACH-000389,-0.08825858520580002
ACH-000390,-0.12764712585100002
ACH-000393,-0.212983439533
ACH-000395,-0.153524483782
ACH-000397,-0.18054627594500003
ACH-000401,-0.09197199600360001
ACH-000402,-0.223707863226
ACH-000403,-0.256223920687
ACH-000404,-0.102820421984
ACH-000406,-0.047793257679300004
ACH-000407,-0.0735661169588
ACH-000408,-0.194570608033
ACH-000410,-0.114191666402
ACH-000411,-0.46471418601099995
ACH-000414,-0.09313307611369999
ACH-000415,-0.16199232163799998
ACH-000416,-0.238493659029
ACH-000420,-0.318620951158
ACH-000421,-0.0441714257157
ACH-000424,-0.47284149759800004
ACH-000425,-0.171001849754
ACH-000426,0.295713584743
ACH-000427,-0.151257730411
ACH-000433,-0.37340022727
ACH-000436,-0.174446127537
ACH-000444,-0.347147644687
ACH-000445,0.0300396661753
ACH-000448,-0.17584733922499998
ACH-000450,-0.27147445973
