,CRYZ (1429)
ACH-000004,0.0303477481127
ACH-000007,-0.019109436675099997
ACH-000009,-0.0170125939031
ACH-000011,-0.117628099682
ACH-000012,0.0420542939807
ACH-000013,-0.0315185802191
ACH-000014,-0.0639425343144
ACH-000015,-0.0683502822106
ACH-000017,0.0717675983703
ACH-000018,0.06527166381869999
ACH-000019,-0.31410923378
ACH-000021,-0.30313699672600003
ACH-000022,-0.0419114242581
ACH-000025,-0.110369779613
ACH-000028,-0.22981844543000002
ACH-000030,-0.0273713388244
ACH-000035,-0.0130529499894
ACH-000036,-0.00386808278414
ACH-000037,0.132610882951
ACH-000039,0.04036575826680001
ACH-000040,0.150286240179
ACH-000041,-0.12298028952199999
ACH-000042,0.0203430601408
ACH-000045,-0.0379883223662
ACH-000047,-0.243885000234
ACH-000052,0.12935003888399998
ACH-000053,-0.06858452817430001
ACH-000054,-0.0400905857293
ACH-000055,0.0661920426708
ACH-000060,-0.00243556814189
ACH-000067,-0.004273567705840001
ACH-000070,-0.0607364460865
ACH-000075,-0.0503023550375
ACH-000078,-0.36810571335000003
ACH-000082,0.0303620325188
ACH-000085,0.0633258393447
ACH-000086,-0.009423821831709998
ACH-000087,-0.123019435171
ACH-000092,-0.0516453080148
ACH-000095,-0.0797378875
ACH-000097,-0.119622072197
ACH-000098,-0.14927496457699999
ACH-000099,-0.21868442085499998
ACH-000108,-0.0316558159261
ACH-000113,-0.012870726629700001
ACH-000115,0.0656863676665
ACH-000116,-0.0383675177
ACH-000118,-0.05409640726
ACH-000120,0.0299382272852
ACH-000123,0.0067102765000299994
ACH-000127,-0.0492057634688
ACH-000128,0.0320348238446
ACH-000132,-0.12579325342800002
ACH-000133,-0.10568299740499999
ACH-000137,-0.13066946324
ACH-000138,0.0532822373084
ACH-000142,-0.0519381716809
ACH-000143,0.14924598052100002
ACH-000146,-0.0129817066571
ACH-000148,-0.140599464106
ACH-000150,-0.118645768776
ACH-000152,-0.132795907442
ACH-000153,-0.12283674085000001
ACH-000159,-0.150252493228
ACH-000160,-0.0279720934771
ACH-000163,-0.028139620923900002
ACH-000167,0.201443396638
ACH-000168,-0.0786400437362
ACH-000169,-0.0578897071665
ACH-000178,-0.109651107173
ACH-000182,-0.0106477424749
ACH-000183,0.0912359247821
ACH-000188,-0.079721694535
ACH-000189,0.041153290426199994
ACH-000190,0.039147217535699996
ACH-000198,0.00792194178479
ACH-000204,-0.0434510150054
ACH-000206,-0.22901285324499998
ACH-000207,-0.0165085703594
ACH-000211,-0.0652409880645
ACH-000215,-0.0603703584767
ACH-000221,0.00260234460404
ACH-000222,-0.19824030425
ACH-000223,-0.012518622853
ACH-000226,-0.124989366775
ACH-000227,-0.059755264287300006
ACH-000228,0.041590504779
ACH-000231,-0.170933208457
ACH-000232,0.00690575958559
ACH-000233,0.049055519931800004
ACH-000234,-0.054929260646000004
ACH-000235,-0.0306702499439
ACH-000237,-0.224688906208
ACH-000238,-0.186163101039
ACH-000243,-0.04381157963190001
ACH-000244,0.0469050943796
ACH-000246,-0.25844186206799996
ACH-000248,-0.0357164853783
ACH-000250,0.025699279555700002
