,OSBP (5007)
ACH-000004,-0.44684730515500004
ACH-000007,-0.316548700354
ACH-000009,-0.37648036696500004
ACH-000011,-0.668045713411
ACH-000012,-0.35009145825800003
ACH-000013,-0.5369797738750001
ACH-000014,-0.306208220377
ACH-000015,-0.250993026961
ACH-000017,-0.399335339442
ACH-000018,-0.11372861704600001
ACH-000019,-0.814238062359
ACH-000021,-0.405152231334
ACH-000022,-0.43281143961699997
ACH-000025,-0.22704236588100002
ACH-000028,-0.700412094408
ACH-000030,-0.3193092009
ACH-000035,-0.239851436074
ACH-000036,-0.246874185075
ACH-000037,-0.354332134458
ACH-000039,-0.498207016134
ACH-000040,-0.426850542567
ACH-000041,-0.45837534210299996
ACH-000042,-0.19557225620700003
ACH-000045,-0.450824566878
ACH-000047,-0.518767703916
ACH-000052,-0.310928801197
ACH-000053,-0.513491597606
ACH-000054,-0.5814474822169999
ACH-000055,-0.441363606549
ACH-000060,-0.507992877758
ACH-000067,-0.139033852524
ACH-000070,-0.389169822495
ACH-000075,-0.631046329465
ACH-000078,-0.323629934837
ACH-000082,-0.27017587696
ACH-000085,-0.308114541589
ACH-000086,-0.43149320662699997
ACH-000087,-0.228298914198
ACH-000092,-0.503469519208
ACH-000095,-0.642473704795
ACH-000097,-0.8113186603620001
ACH-000098,-0.420838226726
ACH-000099,-0.540708892479
ACH-000108,-0.280328202184
ACH-000113,-0.362597804674
ACH-000115,-0.316300575071
ACH-000116,-0.6819890298610001
ACH-000118,-0.42368796670599995
ACH-000120,-0.5406372096600001
ACH-000123,-0.478210995012
ACH-000127,-0.455209408636
ACH-000128,-0.356263169785
ACH-000132,-0.607395155008
ACH-000133,-0.514436843961
ACH-000137,-0.7010849593359999
ACH-000138,-0.36862966873400005
ACH-000142,-0.546590942658
ACH-000143,-0.39727357619599996
ACH-000146,-0.369092862964
ACH-000148,-0.31548804207
ACH-000150,-0.658468051795
ACH-000152,-0.5660732225949999
ACH-000153,-0.589797639265
ACH-000159,-0.846245337332
ACH-000160,-0.462333121764
ACH-000163,-0.298427877676
ACH-000167,-0.715471782494
ACH-000168,-0.473769138001
ACH-000169,-0.7628034233490001
ACH-000178,-0.335004790406
ACH-000182,-0.456815638535
ACH-000183,-0.565284326769
ACH-000188,-0.489660282666
ACH-000189,-0.638166440224
ACH-000190,-0.5238842639119999
ACH-000198,-0.437247652852
ACH-000204,-0.535201902282
ACH-000206,-0.79079509736
ACH-000207,-0.553588072354
ACH-000211,-0.317649579293
ACH-000215,-0.539378339968
ACH-000221,-0.329366924435
ACH-000222,-0.21142207435600002
ACH-000223,-0.364573334126
ACH-000226,-0.619944701441
ACH-000227,-0.580292377893
ACH-000228,-0.45507714700900004
ACH-000231,-0.46894219077200006
ACH-000232,-0.36669211155599996
ACH-000233,-0.634552878298
ACH-000234,-0.618113800669
ACH-000235,-0.421182430591
ACH-000237,-0.5256978535279999
ACH-000238,-0.431596254801
ACH-000243,-0.460615911247
ACH-000244,-0.603389357995
ACH-000246,-0.521248689626
ACH-000248,-0.390157663794
ACH-000250,-0.579823807344
ACH-000251,-0.174471393213
ACH-000253,-0.611644254903
ACH-000255,-0.71859408603
