,TAGLN (6876)
ACH-000004,-0.15920502644200002
ACH-000007,-0.06886462972289999
ACH-000009,-0.043249137378400006
ACH-000011,-0.0472626555351
ACH-000012,-0.07485714578939999
ACH-000013,-0.230440356041
ACH-000014,0.0129394517484
ACH-000015,-0.0350693128928
ACH-000017,-0.13301606043
ACH-000018,-0.146823002807
ACH-000019,-0.292883921365
ACH-000021,0.0118187114728
ACH-000022,-0.0129697327825
ACH-000025,-0.0688866355791
ACH-000028,0.0109297423149
ACH-000030,-0.08877244869010001
ACH-000035,-0.24326490054699998
ACH-000036,-0.09125999409160002
ACH-000037,-0.566755537957
ACH-000039,0.08473124444420001
ACH-000040,-0.143425014685
ACH-000041,-0.309472010249
ACH-000042,-0.0779966435784
ACH-000045,-0.195503720982
ACH-000047,-0.0753655787028
ACH-000052,-0.0480345614515
ACH-000053,-0.171990749448
ACH-000054,-0.0701451646765
ACH-000055,-0.011003956298
ACH-000060,-0.126925603965
ACH-000067,0.262342352537
ACH-000070,-0.129031795101
ACH-000075,-0.357593773987
ACH-000078,-0.0129447828557
ACH-000082,-0.463554245426
ACH-000085,-0.342422948693
ACH-000086,-0.107353403114
ACH-000087,-0.331527992065
ACH-000092,-0.120745863538
ACH-000095,-0.200258822553
ACH-000097,-0.189344687524
ACH-000098,-0.142361011059
ACH-000099,-0.113350993193
ACH-000108,-0.000128765776023
ACH-000113,-0.10919829748700001
ACH-000115,-0.07221911882460001
ACH-000116,-0.134212508182
ACH-000118,-0.040728460200199997
ACH-000120,-0.150918891824
ACH-000123,-0.0708800151135
ACH-000127,-0.148082220829
ACH-000128,-0.102595059224
ACH-000132,-0.284410118833
ACH-000133,-0.183736799353
ACH-000137,-0.193617943695
ACH-000138,-0.119005753354
ACH-000142,-0.07188090296189999
ACH-000143,-0.010718261836899999
ACH-000146,-0.188975248905
ACH-000148,-0.18901515931200003
ACH-000150,-0.09658189392330001
ACH-000152,-0.406316305877
ACH-000153,-0.18137295353
ACH-000159,-0.140010379055
ACH-000160,-0.0181890957975
ACH-000163,-0.076098094081
ACH-000167,-0.25972668135000004
ACH-000168,-0.168266758673
ACH-000169,-0.164501596433
