,OSBPL1A (114876)
ACH-000004,-0.0676453806658
ACH-000007,-0.14273399773
ACH-000009,-0.149980683128
ACH-000011,-0.147286367458
ACH-000012,-0.225468499878
ACH-000013,-0.158171178367
ACH-000014,-0.0636354034981
ACH-000015,0.0601523394163
ACH-000017,-0.0107957652221
ACH-000018,-0.202271070592
ACH-000019,-0.18797961295
ACH-000021,-0.174326115951
ACH-000022,-0.297283342274
ACH-000025,-0.0504487906444
ACH-000028,-0.00773047317829
ACH-000030,-0.12322662227499999
ACH-000035,-0.028533308585
ACH-000036,-0.18716851046900002
ACH-000037,-0.35166762303000004
ACH-000039,-0.141137741899
ACH-000040,0.11451957458699999
ACH-000041,-0.144556833647
ACH-000042,-0.26544698001899997
ACH-000045,-0.0569028900268
ACH-000047,0.0534082052549
ACH-000052,-0.29847468831999996
ACH-000053,-0.14909337172700002
ACH-000054,-0.000299089752228
ACH-000055,-0.119201590556
ACH-000060,-0.08675434822820001
ACH-000067,-0.13757570968399999
ACH-000070,-0.13609525756
ACH-000075,0.058992476368699996
ACH-000078,-0.243519948013
ACH-000082,-0.11675192910599999
ACH-000085,-0.204559968771
ACH-000086,0.007393347408539999
ACH-000087,0.24747364808699998
ACH-000092,-0.121327094814
ACH-000095,-0.138675795288
ACH-000097,-0.23861827434
ACH-000098,-0.09044242909320001
ACH-000099,-0.176205714698
ACH-000108,0.0306970701811
ACH-000113,-0.0842583963502
ACH-000115,-0.225709300552
ACH-000116,-0.0378178024228
ACH-000118,-0.0834798033992
ACH-000120,-0.10811883713199999
ACH-000123,-0.0971715158455
ACH-000127,-0.0939333028511
ACH-000128,-0.10506915811499999
ACH-000132,-0.270394568669
ACH-000133,-0.047229695985699996
ACH-000137,-0.25498960413000005
ACH-000138,-0.163526679055
ACH-000142,-0.113655429776
ACH-000143,-0.074726879356
ACH-000146,-0.10919543002800002
ACH-000148,-0.120234237445
ACH-000150,-0.111245537771
ACH-000152,-0.0213230503395
ACH-000153,-0.0749029930614
ACH-000159,-0.0556137512796
ACH-000160,-0.134658537434
ACH-000163,-0.216831214918
ACH-000167,-0.00507293788599
ACH-000168,-0.354957712521
ACH-000169,0.0192464741172
ACH-000178,-0.131597380106
ACH-000182,-0.11181983237
ACH-000183,0.07207646463169999
ACH-000188,-0.095627818047
ACH-000189,-0.256338004797
ACH-000190,-0.0588968353357
ACH-000198,-0.114883616207
ACH-000204,0.0614224433069
ACH-000206,-0.119345919866
ACH-000207,-0.10134142440400001
ACH-000211,-0.164698854417
ACH-000215,-0.19416305810400003
ACH-000221,-0.0446396226476
ACH-000222,-0.24479572168299998
ACH-000223,0.0061464367161
ACH-000226,-0.223990424279
ACH-000227,-0.474565777841
ACH-000228,-0.23512813830499998
ACH-000231,-0.0432358982864
ACH-000232,-0.19776222598700002
ACH-000233,-0.14264941283500002
ACH-000234,-0.0799773803471
ACH-000235,-0.17139393015700002
ACH-000237,-0.109126235276
ACH-000238,0.0252473985616
ACH-000243,-0.0797620482898
ACH-000244,-0.316384649659
ACH-000246,-0.260179652843
ACH-000248,0.103281282526
ACH-000250,-0.157289137723
ACH-000251,-0.0552834536543
ACH-000253,-0.174171936582
ACH-000255,-0.00459635221863
ACH-000256,0.09825436240419999
ACH-000257,0.08235463632239999
ACH-000258,-0.322173218952
ACH-000259,-0.259966643788
ACH-000260,-0.046458466614499996
ACH-000261,-0.09131203556970001
ACH-000262,-0.173136319899
ACH-000263,-0.552970333369
ACH-000264,-0.20154400836800002
ACH-000265,-0.102158591526
ACH-000266,-0.10777804093900001
ACH-000272,-0.21603654039500003
ACH-000273,-0.09569856936820001
ACH-000274,-0.105625138804
ACH-000277,-0.07390294867439999
ACH-000278,-0.193706829855
ACH-000279,0.0076581665953
ACH-000280,-0.00428974180027
ACH-000281,-0.329626307171
ACH-000288,-0.14849391140100002
ACH-000291,0.015597409131
ACH-000293,0.0523631202571
ACH-000294,0.0695598008037
ACH-000295,-0.153559963335
ACH-000296,-0.16595441117999998
ACH-000302,-0.09093980787660001
ACH-000304,-0.179262551909
ACH-000307,-0.11161352293
ACH-000308,-0.17879944036200002
ACH-000310,-0.09084441502650001
ACH-000311,-0.212190446891
ACH-000312,-0.154843734669
ACH-000315,0.208283578946
ACH-000316,-0.187048110698
ACH-000317,-0.0299419355224
ACH-000318,-0.12884884824200002
ACH-000319,-0.0717376657879
ACH-000320,-0.27344801649
ACH-000322,0.0753589848725
ACH-000323,-0.240505122878
ACH-000324,-0.0697086372293
ACH-000329,-0.108962287884
ACH-000330,-0.159936224333
ACH-000331,-0.0908046935076
ACH-000332,-0.211262966141
ACH-000334,-0.112458022552
ACH-000335,0.021309826896099997
ACH-000336,-0.16329057283600001
ACH-000337,-0.232140827147
ACH-000339,-0.136732340604
ACH-000341,-0.15627937934299999
ACH-000348,-0.0681794728737
ACH-000350,-0.165299745493
ACH-000352,-0.0497972759351
ACH-000356,-0.163126102928
ACH-000361,-0.207844298673
ACH-000362,-0.183902246116
ACH-000363,-0.0758876335903
ACH-000364,-0.191947253462
ACH-000365,-0.11105515226099999
ACH-000366,-0.169802597887
ACH-000368,-0.208921914628
ACH-000374,0.05869540891419999
ACH-000375,-0.0660755415668
ACH-000376,-0.0794169475125
ACH-000381,-0.188428034523
ACH-000383,-0.183289960924
ACH-000387,-0.187893272272
ACH-000389,0.0163624337784
ACH-000390,-0.0383791147756
ACH-000393,-0.08889104970689998
ACH-000395,-0.045538244212
ACH-000397,-0.268338445413
ACH-000401,-0.09825267324680001
ACH-000402,-0.044664582131599996
ACH-000403,-0.0998681305655
ACH-000404,-0.49986015327600003
ACH-000406,-0.0757098982123
ACH-000407,-0.18792832263
ACH-000408,0.023203100910200003
ACH-000410,-0.0174299349594
ACH-000411,-0.15956177890599998
ACH-000414,-0.218143530349
ACH-000415,-0.0985762444812
ACH-000416,-0.227871318406
ACH-000420,0.0350993135208
ACH-000421,-0.16892127647900002
ACH-000424,-0.149157585252
ACH-000425,-0.200900986255
ACH-000426,-0.122908768081
ACH-000427,-0.0256562324375
ACH-000433,-0.479773508706
ACH-000436,-0.0951803978045
ACH-000444,-0.06285792905740001
ACH-000445,-0.268308422841
ACH-000448,-0.183744629265
ACH-000450,-0.00412984956395
ACH-000452,-0.103573703262
ACH-000454,0.048817339750699996
ACH-000458,-0.0641717663577
ACH-000459,0.10793336033399999
ACH-000460,0.0255121348427
ACH-000461,-0.11817567996600001
ACH-000463,-0.108760893662
ACH-000464,-0.0439877996909
ACH-000466,-0.0707653704739
ACH-000467,-0.177991490163
ACH-000468,0.00633111795617
ACH-000469,-0.130123999715
ACH-000470,-0.11659699122400001
ACH-000471,-0.0374615457076
ACH-000472,-0.15504604643300002
ACH-000473,-0.146696836618
ACH-000475,-0.12828043392400001
ACH-000476,-0.028712861666599997
ACH-000477,-0.0835869306426
ACH-000480,-0.07928449821189999
ACH-000481,-0.030185429902
ACH-000483,0.0514903537142
ACH-000484,-0.022727368226400004
ACH-000485,0.094855963094
ACH-000486,-0.11672633043099999
ACH-000487,0.0298012665268
ACH-000488,-0.126123059973
ACH-000490,-0.133398113043
ACH-000491,-0.08541184121470001
ACH-000495,-0.149214190246
ACH-000496,-0.142534728054
ACH-000499,-0.201281373813
ACH-000500,0.0156588215536
ACH-000502,-0.180081146749
ACH-000503,0.251275560555
ACH-000505,-0.17000867985800003
ACH-000507,-0.106402031576
ACH-000510,-0.09674281721860001
ACH-000511,-0.00410649888935
ACH-000512,-0.13658532391699998
ACH-000516,-0.0243555349155
ACH-000517,-0.15060336580999997
ACH-000518,-0.0659688513843
ACH-000520,-0.167819310868
ACH-000521,-0.180974322704
ACH-000522,-0.0674985101311
ACH-000524,-0.111588559414
ACH-000527,-0.187695215999
ACH-000528,-0.07151022883010001
ACH-000537,0.00184343507048
ACH-000541,-0.264202339839
ACH-000542,-0.23213808015999998
ACH-000544,-0.27926273717300004
ACH-000545,-0.22581638836399998
ACH-000547,0.016526494048899998
ACH-000548,-0.121272267719
ACH-000549,0.117682075878
ACH-000550,-0.0900036190336
ACH-000552,-0.131897283621
ACH-000556,-0.107536822663
ACH-000557,-0.0851152997423
ACH-000570,0.0469356936377
ACH-000571,-0.19593861135200002
ACH-000573,-0.0797305095127
ACH-000576,-0.07475448012369999
ACH-000580,-0.180241952013
ACH-000584,0.0401256845669
ACH-000585,-0.213793754351
ACH-000588,0.0022262193119699995
ACH-000589,-0.10569884491
ACH-000591,-0.0629753977578
ACH-000593,-0.146633038881
ACH-000600,-0.208123697317
ACH-000601,-0.0439430555051
ACH-000604,0.08001028035539999
ACH-000605,-0.0854033327378
ACH-000606,-0.165743542188
ACH-000608,-0.189579880804
ACH-000614,-0.174790047172
ACH-000616,-0.07085575331249999
ACH-000618,-0.048296982269
ACH-000619,-0.06545543555990001
ACH-000620,0.13969799300799998
ACH-000621,-0.179282843504
ACH-000622,-0.0768444114988
ACH-000623,-0.177483215774
ACH-000624,-0.176047766523
ACH-000627,-0.136081202446
ACH-000630,-0.17556711284200002
ACH-000632,-0.0904325025161
ACH-000633,0.0260551051125
ACH-000637,-0.046145177231400006
ACH-000638,-0.147357632046
ACH-000646,0.0102981062156
ACH-000647,-0.110301508073
ACH-000648,-0.126736676786
ACH-000649,-0.0939998219018
ACH-000651,-0.141558728159
ACH-000652,0.0169234111953
ACH-000653,-0.175968524879
ACH-000657,-0.0619297500049
ACH-000658,-0.080792804189
ACH-000661,-0.036395183189300004
ACH-000662,-0.0775442504708
ACH-000663,-0.08549922135330001
ACH-000665,-0.0651695211621
ACH-000671,-0.187540785649
ACH-000673,-0.26782360453299997
ACH-000676,-0.0709349695646
ACH-000677,-0.0274031588674
ACH-000681,-0.0631848529056
ACH-000682,-0.15326480318
ACH-000683,-0.139644275924
ACH-000684,-0.0908699081325
ACH-000688,-0.06209960407119999
ACH-000693,-0.025888874697699998
ACH-000694,-0.11470865792099999
ACH-000695,0.48033255442199996
ACH-000696,-0.167401459161
ACH-000697,-0.08185719608030001
ACH-000699,-0.279895133585
ACH-000701,-0.281950000111
ACH-000706,-0.0412190120249
ACH-000711,-0.177833350502
ACH-000713,0.007034969996299999
