,TSNARE1 (203062)
ACH-000004,-0.0783514900501
ACH-000007,-0.27302332950999997
ACH-000009,0.0037262215038400006
ACH-000011,0.00560099223013
ACH-000012,-0.154823752329
ACH-000013,0.028421273827400003
ACH-000014,-0.174492912121
ACH-000015,0.0669626181432
ACH-000017,-0.127383815664
ACH-000018,-0.0632150569655
ACH-000019,0.232046941136
ACH-000021,-0.0784602732968
ACH-000022,-0.34526971074100005
ACH-000025,-0.0248236650488
ACH-000028,0.036627567339
ACH-000030,-0.120190424759
ACH-000035,-0.05197418923330001
ACH-000036,-0.0447992546021
ACH-000037,-0.114502525683
ACH-000039,-0.0311648806406
ACH-000040,-0.0142895193701
ACH-000041,-0.144270242742
ACH-000042,-0.198232199849
ACH-000045,-0.25280015545
ACH-000047,-0.011475728284
ACH-000052,0.0761667911411
ACH-000053,-0.17320814459800002
ACH-000054,-0.18101442934300002
ACH-000055,0.040001118281900006
ACH-000060,-0.256363987044
ACH-000067,-0.012941767106
ACH-000070,0.0749225199135
ACH-000075,-0.037596284802900004
ACH-000078,-0.13516717028300002
ACH-000082,-0.077240133345
ACH-000085,-0.251623388841
ACH-000086,-0.024414634579599997
ACH-000087,-0.138102613202
ACH-000092,-0.018343873274
ACH-000095,0.0838643513322
ACH-000097,0.0298353186713
ACH-000098,-0.0414372734519
ACH-000099,0.0435795901744
ACH-000108,-0.0786172816235
ACH-000113,0.00743646305771
ACH-000115,-0.024887982125300002
ACH-000116,0.0660110475475
ACH-000118,-0.042622656643900005
ACH-000120,-0.07203994446419999
ACH-000123,-0.208513608943
ACH-000127,-0.07776582245510001
ACH-000128,-0.0510299292423
ACH-000132,0.052012492174199995
ACH-000133,-0.038244751828199995
ACH-000137,-0.012902765214799999
ACH-000138,-0.143035461798
ACH-000142,0.03981194026069999
ACH-000143,-0.0759883889255
ACH-000146,-0.144827377901
ACH-000148,-0.04336715675430001
ACH-000150,-0.5103131072980001
ACH-000152,-0.0629817422017
ACH-000153,-0.381002502054
ACH-000159,-0.171839760112
ACH-000160,0.014601407024299998
ACH-000163,-0.077778166054
ACH-000167,0.160046911363
ACH-000168,-0.21487215923099998
ACH-000169,-0.103984679202
