,SMAD9 (4093)
ACH-000004,-0.222630403342
ACH-000007,-0.20585086927299998
ACH-000009,0.00121045552094
ACH-000011,-0.0989007198219
ACH-000012,-0.149181860064
ACH-000013,-0.255689424373
ACH-000014,-0.288694332036
ACH-000015,-0.244633845639
ACH-000017,-0.23349584179000002
ACH-000018,-0.0472377053237
ACH-000019,-0.00366584990376
ACH-000021,-0.215148505394
ACH-000022,-0.148890824551
ACH-000025,-0.219203522669
ACH-000028,-0.0326361617971
ACH-000030,-0.128579039681
ACH-000035,-0.131139169969
ACH-000036,-0.152311555492
ACH-000037,-0.264140433182
ACH-000039,-0.151899234782
ACH-000040,0.0804630292501
ACH-000041,-0.23664615429900002
ACH-000042,-0.297716324747
ACH-000045,-0.205699976763
ACH-000047,-0.0126312048416
ACH-000052,-0.470540303186
ACH-000053,-0.09089243353910001
ACH-000054,-0.110508522468
ACH-000055,-0.297428983398
ACH-000060,-0.24345431153299998
ACH-000067,-0.116630895594
ACH-000070,-0.0580809044063
ACH-000075,-0.36441080950800003
ACH-000078,-0.445998139801
ACH-000082,-0.24486665336
ACH-000085,-0.149376876475
ACH-000086,-0.202548710591
ACH-000087,-0.139237121759
ACH-000092,-0.141941563771
ACH-000095,-0.112116595766
ACH-000097,-0.09895314852569999
ACH-000098,-0.132052818272
ACH-000099,-0.119676273671
ACH-000108,-0.0696687858842
ACH-000113,-0.22902237023400002
ACH-000115,-0.39949492781900003
ACH-000116,-0.0916049307077
ACH-000118,-0.20418355460700002
ACH-000120,-0.216907342045
ACH-000123,-0.105074800789
ACH-000127,-0.214623098579
ACH-000128,-0.19480497216200002
ACH-000132,-0.12323772996400001
ACH-000133,-0.08545624287669999
ACH-000137,-0.032533949426
ACH-000138,-0.15550007487
ACH-000142,-0.158543735713
ACH-000143,-0.067927466686
ACH-000146,-0.033909430269100004
ACH-000148,-0.204650075116
ACH-000150,-0.214650378169
ACH-000152,-0.169293606111
ACH-000153,-0.20384357136300002
ACH-000159,-0.10149542280400001
ACH-000160,-0.299188048025
ACH-000163,-0.334821900811
ACH-000167,-0.217716726232
ACH-000168,-0.169173593292
ACH-000169,-0.120064701183
ACH-000178,0.007119562379779999
ACH-000182,-0.107539612541
ACH-000183,-0.162249014501
ACH-000188,-0.11933304866800001
ACH-000189,-0.157696862336
ACH-000190,-0.203609921972
ACH-000198,-0.0498302432734
ACH-000204,0.061347896695300004
ACH-000206,-0.0207854749807
ACH-000207,-0.110668575826
ACH-000211,0.0102972318394
ACH-000215,-0.10315936340199999
ACH-000221,-0.10986298561100001
ACH-000222,-0.164110940975
ACH-000223,-0.15823190332
ACH-000226,-0.26732083026000003
ACH-000227,-0.143431323758
ACH-000228,-0.310332364907
ACH-000231,-0.0784057971498
ACH-000232,-0.181391969071
ACH-000233,-0.0220424461733
ACH-000234,-0.07245179298139999
ACH-000235,-0.130807737387
ACH-000237,-0.103587219582
ACH-000238,-0.198469701743
ACH-000243,0.04434868339840001
ACH-000244,-0.298594517551
ACH-000246,-0.0925352016299
ACH-000248,0.0386765704492
ACH-000250,-0.199557246057
ACH-000251,-0.321160207909
ACH-000253,-0.144444662078
ACH-000255,-0.194263998224
ACH-000256,-0.151567940761
ACH-000257,0.10449607671700001
ACH-000258,-0.154660433895
ACH-000259,-0.10455755600299999
ACH-000260,-0.126483457689
ACH-000261,-0.10094778408199999
ACH-000262,-0.260658598158
ACH-000263,-0.176337686844
ACH-000264,-0.144540268582
ACH-000265,-0.0496541574175
ACH-000266,-0.0861121909475
ACH-000272,-0.26538959673900003
ACH-000273,-0.147388570552
ACH-000274,-0.0831908954913
ACH-000277,-0.0380555983079
ACH-000278,-0.273288586757
ACH-000279,-0.00403724344392
ACH-000280,-0.123120012558
ACH-000281,-0.0067762887177800005
ACH-000288,-0.271178097731
ACH-000291,-0.0381448684855
ACH-000293,-0.19595677345899998
ACH-000294,-0.11373061242
ACH-000295,-0.241229180453
ACH-000296,-0.010357182932299999
ACH-000302,-0.16755712040100001
ACH-000304,0.0177268369305
ACH-000307,-0.179393336061
ACH-000308,-0.10089901024700001
ACH-000310,-0.235540165138
ACH-000311,-0.17234832096900002
ACH-000312,-0.143648313789
ACH-000315,-0.221350510838
ACH-000316,-0.0774538321508
ACH-000317,-0.111018180305
ACH-000318,-0.228928787511
ACH-000319,-0.046196328707
ACH-000320,-0.138405776851
ACH-000322,-0.139621495096
ACH-000323,-0.21154986012899998
ACH-000324,-0.21642148654399998
ACH-000329,-0.0624664770961
ACH-000330,0.0335790210788
ACH-000331,-0.0914070712222
ACH-000332,-0.0623853745258
ACH-000334,-0.30228754516999995
ACH-000335,-0.282575675521
ACH-000336,0.15863981781199998
ACH-000337,0.10406125227299999
ACH-000339,-0.0842881028971
ACH-000341,-0.19929721500999997
ACH-000348,-0.11422623326300001
ACH-000350,-0.128521115651
ACH-000352,-0.22415491119800002
ACH-000356,-0.021709559194799995
ACH-000361,-0.254359645819
ACH-000362,-0.14800970575
ACH-000363,-0.156564365112
ACH-000364,0.0370844778157
ACH-000365,-0.209946327016
ACH-000366,0.00184454185398
ACH-000368,-0.197961949865
ACH-000374,-0.11561655713300001
ACH-000375,-0.23586058373000005
ACH-000376,-0.134804151076
ACH-000381,-0.11236837487700001
ACH-000383,-0.23522468844099997
ACH-000387,-0.190015174206
ACH-000389,-0.236389426278
ACH-000390,-0.164868905504
ACH-000393,-0.19862744057
ACH-000395,-0.221075044587
ACH-000397,-0.078302576965
ACH-000401,0.0403474733626
ACH-000402,-0.42089683238799996
ACH-000403,-0.0895683791915
ACH-000404,-0.00134156242161
ACH-000406,-0.206189086764
ACH-000407,0.09704708570769999
ACH-000408,0.0575123321929
ACH-000410,0.07443445963999999
ACH-000411,-0.0668258847722
ACH-000414,-0.09291134027619999
ACH-000415,-0.15222333690099998
ACH-000416,-0.20656777511500002
ACH-000420,-0.0680900580904
ACH-000421,-0.07086526021049999
ACH-000424,-0.190652521679
ACH-000425,-0.157163923953
ACH-000426,-0.32946409692
ACH-000427,-0.05121522996180001
ACH-000433,-0.20886506843
ACH-000436,0.025152808651600002
ACH-000444,0.00371188152045
ACH-000445,-0.181698381113
ACH-000448,-0.0112356470464
ACH-000450,-0.39907475508699997
ACH-000452,-0.18026717884799998
ACH-000454,-0.287125818727
ACH-000458,-0.0450935283567
ACH-000459,-0.0207178625975
ACH-000460,-0.132454389651
ACH-000461,-0.270281632236
ACH-000463,-0.155125310514
ACH-000464,-0.08149766783410001
ACH-000466,-0.168217957945
ACH-000467,-0.143702225454
ACH-000468,-0.354937831194
ACH-000469,-0.190424343123
ACH-000470,0.12244897979199999
ACH-000471,-0.145659192768
ACH-000472,-0.128999006341
ACH-000473,-0.167526507489
ACH-000475,-0.06478832049
ACH-000476,-0.2761167556
ACH-000477,-0.44673270064900006
ACH-000480,-0.21985516305999997
ACH-000481,-0.141805020974
ACH-000483,-0.124791132783
