,TF (7018)
ACH-000004,0.0168616736818
ACH-000007,-0.321797135304
ACH-000009,-0.259505286924
ACH-000011,-0.17039649028700002
ACH-000012,-0.188832524229
ACH-000013,-0.152649803382
ACH-000014,-0.284636397973
ACH-000015,-0.143634931141
ACH-000017,-0.124661239365
ACH-000018,-0.07813794637839999
ACH-000019,-0.162916733599
ACH-000021,-0.32136105950800004
ACH-000022,-0.38557947484399996
ACH-000025,-0.300886343587
ACH-000028,-0.299373716122
ACH-000030,-0.10340872571000001
ACH-000035,-0.343752891884
ACH-000036,-0.262985726437
ACH-000037,-0.25906664573399996
ACH-000039,-0.432595530382
ACH-000040,0.009629197273
ACH-000041,-0.0947645917299
ACH-000042,-0.322643943274
ACH-000045,-0.101397236339
ACH-000047,-0.267116835225
ACH-000052,-0.398281617205
ACH-000053,-0.163918502448
ACH-000054,-0.0858806225002
ACH-000055,-0.17434463715100001
ACH-000060,-0.270980302686
ACH-000067,0.008878746230139999
ACH-000070,-0.22242800431899998
ACH-000075,-0.20735798223299998
ACH-000078,-0.19203617678800003
ACH-000082,-0.209103603849
ACH-000085,-0.11180594602
ACH-000086,-0.259159078727
ACH-000087,-0.0969610166242
ACH-000092,-0.12069910998099999
ACH-000095,-0.0424638552707
ACH-000097,-0.12430844847999999
ACH-000098,-0.17582448599599998
ACH-000099,-0.12277710330399999
ACH-000108,-0.303003174208
ACH-000113,-0.09776548604049999
ACH-000115,-0.297178838941
ACH-000116,-0.155868568465
ACH-000118,-0.274114872617
ACH-000120,-0.308937431639
ACH-000123,-0.0786757981669
ACH-000127,-0.0553436100385
ACH-000128,-0.306717193558
ACH-000132,-0.11466301235200001
ACH-000133,-0.17519701927900003
ACH-000137,-0.19565215527899998
ACH-000138,-0.15995894575300001
ACH-000142,-0.140293705783
ACH-000143,-0.167417845175
ACH-000146,-0.10524986409800001
ACH-000148,-0.10755247893400001
ACH-000150,0.135125181613
ACH-000152,-0.0625769879825
ACH-000153,-0.35945579881899997
ACH-000159,-0.35633799512599995
ACH-000160,-0.328213069779
ACH-000163,-0.047907831212800005
ACH-000167,-0.295692226726
ACH-000168,-0.0530304491192
ACH-000169,-0.087553733859
ACH-000178,-0.165306671228
ACH-000182,-0.0363812647373
ACH-000183,-0.157576340147
ACH-000188,-0.042538672768199996
ACH-000189,-0.0417686634337
