,TRMT10C (54931)
ACH-000004,-0.431552091184
ACH-000007,-0.570631438064
ACH-000009,-0.400071533128
ACH-000011,-0.292073922171
ACH-000012,-0.607524872504
ACH-000013,-0.393592600453
ACH-000014,-0.421669088498
ACH-000015,-0.41918500760099997
ACH-000017,-0.439494914697
ACH-000018,-0.560276263165
ACH-000019,-0.5458971037979999
ACH-000021,-0.63952894138
ACH-000022,-0.34316485965899995
ACH-000025,-0.497265779992
ACH-000028,-0.5618466105650001
ACH-000030,-0.33152499715
ACH-000035,-0.7155665209559999
ACH-000036,-0.292440786497
ACH-000037,-0.136273347698
ACH-000039,-0.809323985071
ACH-000040,-0.28275927158799996
ACH-000041,-0.544200054882
ACH-000042,-0.40948383734300003
ACH-000045,-0.6501437972240001
ACH-000047,-0.7407300888680001
ACH-000052,-0.260135348019
ACH-000053,-0.454489193846
ACH-000054,-0.5385627160890001
ACH-000055,-0.309193731676
ACH-000060,-0.608036252572
ACH-000067,-0.665928958259
ACH-000070,-0.321452189554
ACH-000075,-0.313633613533
ACH-000078,-0.46068427453
ACH-000082,-0.232872252292
ACH-000085,-0.434894285342
ACH-000086,-0.614708994668
ACH-000087,-0.270447844465
ACH-000092,-0.368343359321
ACH-000095,-0.249587891094
ACH-000097,-0.605876968169
ACH-000098,-0.294586362979
ACH-000099,-0.545990074712
ACH-000108,-0.47470167176600003
ACH-000113,-0.642831430484
ACH-000115,-0.496613661341
ACH-000116,-0.501153656594
ACH-000118,-0.6086365543119999
ACH-000120,-0.426925420551
ACH-000123,-0.615391175765
ACH-000127,-0.5263078817069999
ACH-000128,-0.668890720339
ACH-000132,-0.44886115416199995
ACH-000133,-0.532129263526
ACH-000137,-0.367956076847
ACH-000138,-0.46049547754299996
ACH-000142,-0.260208993908
ACH-000143,-0.559807440638
ACH-000146,-0.640374380012
ACH-000148,-0.36123899244900004
ACH-000150,-0.47620996631800006
ACH-000152,-0.514690159519
ACH-000153,-0.8675142277590001
ACH-000159,-0.46139030259499997
ACH-000160,-0.718401832661
ACH-000163,-0.47934282383999993
ACH-000167,-0.40404832538900004
ACH-000168,-0.287067070268
ACH-000169,-0.636895156919
ACH-000178,-0.557330268837
ACH-000182,-0.779075507714
ACH-000183,-0.41836022432
ACH-000188,-0.38399268848000007
ACH-000189,-0.603716826555
ACH-000190,-0.435496664498
ACH-000198,-0.637650013101
ACH-000204,-0.7900954912100001
ACH-000206,-0.270140275047
ACH-000207,-0.867058155159
ACH-000211,-0.382708757851
ACH-000215,-0.406677000668
ACH-000221,-0.9965138122239999
ACH-000222,-0.505957182508
ACH-000223,-0.344019419269
ACH-000226,-0.49522044314400004
ACH-000227,-0.34308624655500003
