,SLC4A1AP (22950)
ACH-000004,-0.062185133828600005
ACH-000007,-0.24767928788600002
ACH-000009,-0.512477698645
ACH-000011,-0.0795588227975
ACH-000012,-0.16951512041900002
ACH-000013,-0.276873032034
ACH-000014,-0.41864913053099995
ACH-000015,-0.243947053527
ACH-000017,-0.369317909146
ACH-000018,-0.36456628927100004
ACH-000019,-0.401037624275
ACH-000021,-0.269448505783
ACH-000022,-0.28314846491
ACH-000025,-0.249964773333
ACH-000028,-0.357423834411
ACH-000030,-0.252225659652
ACH-000035,-0.0742468074917
ACH-000036,-0.5111678026600001
ACH-000037,-0.337060374342
ACH-000039,-0.1307453392
ACH-000040,-0.338689952444
ACH-000041,-0.612999297016
ACH-000042,-0.356400613473
ACH-000045,-0.210352746902
ACH-000047,-0.489729657653
ACH-000052,-0.12410087147500001
ACH-000053,-0.122635248016
ACH-000054,-0.266172079197
ACH-000055,-0.135049245599
ACH-000060,-0.20989989444200002
ACH-000067,-0.209988069913
ACH-000070,-0.297661520847
ACH-000075,-0.394697333115
ACH-000078,-0.309005443971
ACH-000082,-0.327944903327
ACH-000085,-0.241945392319
ACH-000086,-0.300867751222
ACH-000087,-0.281607023874
ACH-000092,-0.17556951808
ACH-000095,-0.285898565411
ACH-000097,-0.15388476417000002
ACH-000098,-0.34946556519500005
ACH-000099,-0.19940590887499998
ACH-000108,-0.29456133273699997
ACH-000113,-0.187955243121
ACH-000115,-0.25025656375
ACH-000116,-0.426038672381
ACH-000118,-0.46474805659999996
ACH-000120,-0.322241294551
ACH-000123,-0.31850538567
ACH-000127,-0.259852041411
ACH-000128,-0.21057346469000002
ACH-000132,-0.281951848253
ACH-000133,-0.370201494854
ACH-000137,-0.332581844587
ACH-000138,-0.21015513223700003
ACH-000142,-0.39438948111199995
ACH-000143,-0.256592728703
ACH-000146,-0.152475057099
ACH-000148,-0.22595714264800001
ACH-000150,-0.228552955748
ACH-000152,-0.256610416513
ACH-000153,-0.409802313994
ACH-000159,-0.276132345494
ACH-000160,-0.156921375148
ACH-000163,0.011627607307799999
ACH-000167,-0.0658239272528
ACH-000168,-0.43223202240599995
ACH-000169,-0.39779567744499994
ACH-000178,-0.340198421801
ACH-000182,-0.150886977933
ACH-000183,-0.149819217478
ACH-000188,-0.558239372459
ACH-000189,0.11927393531099999
ACH-000190,-0.29275585223
ACH-000198,-0.243011406975
ACH-000204,-0.30498473850499996
ACH-000206,-0.536951603588
ACH-000207,-0.196788955755
ACH-000211,-0.559340602451
ACH-000215,-0.262499517103
ACH-000221,-0.16401295383700001
ACH-000222,-0.490659307615
ACH-000223,-0.309652156517
ACH-000226,-0.39294651673500003
ACH-000227,-0.115496476472
ACH-000228,-0.17848593565499998
ACH-000231,-0.198334477132
ACH-000232,-0.30571129573
ACH-000233,-0.299829753953
ACH-000234,-0.395167890202
ACH-000235,-0.261788337617
ACH-000237,-0.37243493950199996
ACH-000238,-0.48785069478999993
ACH-000243,-0.319009344579
ACH-000244,-0.35902573899400003
ACH-000246,-0.26928923763
ACH-000248,-0.19485729186099998
ACH-000250,-0.30585443185899996
ACH-000251,-0.298381490686
ACH-000253,-0.337012612664
ACH-000255,-0.182253406683
ACH-000256,-0.39194782086400004
ACH-000257,-0.375198237953
ACH-000258,-0.234109943066
ACH-000259,-0.393824417343
ACH-000260,-0.351382004121
ACH-000261,-0.293179607512
ACH-000262,-0.47816081406000005
ACH-000263,-0.330107946536
ACH-000264,-0.40711567512100005
ACH-000265,-0.209882083523
ACH-000266,-0.34500159926
ACH-000272,-0.286088889457
ACH-000273,-0.574805613724
ACH-000274,-0.313381993204
ACH-000277,-0.251570114012
ACH-000278,-0.333602494034
ACH-000279,-0.32063660669599997
ACH-000280,-0.28333821959100003
ACH-000281,-0.24860840087900002
ACH-000288,-0.601395738738
ACH-000291,-0.24313285414500002
ACH-000293,-0.109763245134
ACH-000294,-0.23700990698199997
ACH-000295,-0.012496996939900001
ACH-000296,-0.028557357596999997
ACH-000302,-0.223186336208
ACH-000304,-0.540481245654
ACH-000307,-0.27200956565900003
ACH-000308,-0.39506375282399997
ACH-000310,-0.0475056778364
ACH-000311,-0.335879707651
ACH-000312,-0.42323112427799997
ACH-000315,-0.346940988563
ACH-000316,-0.311746623873
ACH-000317,-0.23273597693599998
ACH-000318,-0.24389022103500002
ACH-000319,-0.277439208348
ACH-000320,-0.10416382709899999
ACH-000322,-0.500520219432
ACH-000323,-0.307085047052
ACH-000324,-0.23558542862
ACH-000329,0.0347580268841
ACH-000330,-0.5210211772300001
ACH-000331,-0.257399145048
ACH-000332,-0.31755219724100003
ACH-000334,-0.11380525227600001
ACH-000335,-0.46482204205600003
ACH-000336,-0.305290706319
ACH-000337,-0.239621724192
ACH-000339,-0.214330541947
ACH-000341,-0.36904877026199995
ACH-000348,-0.434821232655
ACH-000350,-0.262037500187
ACH-000352,-0.312077425365
ACH-000356,-0.264931417822
ACH-000361,-0.350628474987
ACH-000362,-0.285469526466
ACH-000363,-0.193486186711
ACH-000364,-0.13934558517200002
ACH-000365,-0.302704824921
ACH-000366,-0.302658795007
ACH-000368,-0.24339622570500002
ACH-000374,-0.24273903616
ACH-000375,-0.305138682065
ACH-000376,-0.478619502187
ACH-000381,-0.305018882626
ACH-000383,-0.18551642017900002
ACH-000387,-0.0748331749813
ACH-000389,-0.105181110583
ACH-000390,-0.263122900979
ACH-000393,-0.42762440384000006
ACH-000395,-0.548229741522
ACH-000397,-0.174760863243
ACH-000401,-0.409781795371
ACH-000402,-0.23575260044399998
ACH-000403,-0.456790318879
ACH-000404,-0.130369432531
ACH-000406,-0.259778171273
ACH-000407,-0.45821574127
ACH-000408,-0.12708145387
ACH-000410,-0.38276249991800004
ACH-000411,-0.304106537342
ACH-000414,-0.34719883803499996
ACH-000415,-0.264656173393
ACH-000416,-0.283811085163
ACH-000420,-0.46470015524499997
ACH-000421,-0.367653318098
ACH-000424,-0.433764991862
ACH-000425,-0.308046593988
ACH-000426,-0.589895945841
ACH-000427,-0.439437872936
ACH-000433,-0.156797427835
ACH-000436,0.0567925150459
ACH-000444,-0.265715490117
ACH-000445,-0.564009745327
ACH-000448,-0.240412353757
ACH-000450,-0.359874763948
ACH-000452,-0.25295623200399997
ACH-000454,-0.281029430664
ACH-000458,-0.0411292194741
ACH-000459,-0.561346979602
ACH-000460,-0.246700492234
ACH-000461,-0.182009887297
ACH-000463,-0.402199095945
ACH-000464,-0.26426347164
ACH-000466,-0.295925964716
ACH-000467,-0.289169315001
ACH-000468,-0.262528380658
ACH-000469,-0.115653841721
ACH-000470,-0.49483158032700003
ACH-000471,-0.207084758935
ACH-000472,-0.317673973055
ACH-000473,-0.612832748504
ACH-000475,-0.29117293238499997
ACH-000476,-0.40106008316299996
ACH-000477,-0.223946155204
ACH-000480,-0.391125440615
ACH-000481,-0.37384991721199995
ACH-000483,-0.360546719809
ACH-000484,-0.716217320398
ACH-000485,-0.170417038687
ACH-000486,-0.328650289935
ACH-000487,-0.367029767812
ACH-000488,-0.24062846043000002
ACH-000490,-0.534534736424
ACH-000491,-0.33143031667
ACH-000495,-0.58665235232
ACH-000496,-0.403003025703
ACH-000499,-0.105400522134
ACH-000500,0.062009076113900004
ACH-000502,-0.37041428008
ACH-000503,-0.806607880642
ACH-000505,-0.281133721921
ACH-000507,-0.361358404231
ACH-000510,-0.315946917092
ACH-000511,-0.386868378656
ACH-000512,-0.36163966159
ACH-000516,-0.586498602059
ACH-000517,-0.42942131509099996
ACH-000518,-0.328135598447
ACH-000520,-0.219868559716
ACH-000521,-0.241668681956
ACH-000522,-0.252172539385
ACH-000524,-0.30803315605099996
ACH-000527,-0.199486596763
ACH-000528,-0.23304515936
ACH-000537,-0.466717785686
ACH-000541,-0.570546675442
ACH-000542,-0.37095665314900006
ACH-000544,-0.284798752975
ACH-000545,-0.196746998846
ACH-000547,-0.451957612239
ACH-000548,-0.452425261774
ACH-000549,-0.519178056425
