,USF2 (7392)
ACH-000004,-0.37752689537699996
ACH-000007,-0.493387585919
ACH-000009,-0.758492442961
ACH-000011,-0.536627507659
ACH-000012,-0.988606536046
ACH-000013,-0.903003198374
ACH-000014,-0.689502541078
ACH-000015,-0.759706280078
ACH-000017,-0.61166311549
ACH-000018,-0.405752444815
ACH-000019,-0.88129930329
ACH-000021,-0.55960259742
ACH-000022,-0.648478446127
ACH-000025,-0.52782697567
ACH-000028,-0.577109671422
ACH-000030,-0.7110460178419999
ACH-000035,-0.566217108488
ACH-000036,-0.57838014225
ACH-000037,-0.449430779975
ACH-000039,-0.732028898296
ACH-000040,-0.299647824076
ACH-000041,-0.6672359441800001
ACH-000042,-0.681662758853
ACH-000045,-0.34664827258
ACH-000047,-0.37105727230499996
ACH-000052,-0.383481330405
ACH-000053,-0.746244957412
ACH-000054,-0.59764878746
ACH-000055,-0.649386062311
ACH-000060,-0.728294793563
ACH-000067,-0.530724612014
ACH-000070,-0.7400719065979999
ACH-000075,-0.129686099132
ACH-000078,-0.431500069332
ACH-000082,-0.226610103739
ACH-000085,-0.223878636159
ACH-000086,-0.591441494732
ACH-000087,-0.783033079491
ACH-000092,-0.6977479215979999
ACH-000095,-0.542268622884
ACH-000097,-0.616975906646
ACH-000098,-0.9465242268240001
ACH-000099,-0.5313837705969999
ACH-000108,-0.8776330486599999
ACH-000113,-0.31188326770999997
ACH-000115,-0.764120728917
ACH-000116,-0.5028617997879999
ACH-000118,-0.739689505578
ACH-000120,-0.646751546132
ACH-000123,-0.991104382144
ACH-000127,-0.45887345481200004
ACH-000128,-0.359254279849
ACH-000132,-0.668811886572
ACH-000133,-0.812923431505
ACH-000137,-0.8812899230940001
ACH-000138,-0.44322886538500006
ACH-000142,-0.50367276093
ACH-000143,-0.497325037711
ACH-000146,-0.327928439342
ACH-000148,-0.462778931479
ACH-000150,-0.564495074766
ACH-000152,-0.6413177198100001
ACH-000153,-0.652947037847
ACH-000159,-0.623049893402
ACH-000160,-0.64983174394
ACH-000163,-0.37178460273599995
ACH-000167,-0.316448444853
ACH-000168,-0.337747804925
ACH-000169,-0.313288574998
ACH-000178,-0.765224039012
ACH-000182,-0.643161431623
ACH-000183,-0.501363327157
ACH-000188,-0.8243578345620001
ACH-000189,-0.9235103104119999
ACH-000190,-0.723242095933
ACH-000198,-0.632237469605
ACH-000204,-0.25978752211
ACH-000206,-0.7057164895370001
ACH-000207,-0.757569566097
ACH-000211,-0.573079808879
ACH-000215,-0.441106339821
ACH-000221,-0.539171583122
ACH-000222,-0.605252031257
ACH-000223,-0.571914592869
ACH-000226,-0.8963915761660001
ACH-000227,-0.811836508105
ACH-000228,-0.47503815156199997
ACH-000231,-0.334827750126
ACH-000232,-0.702879406294
ACH-000233,-0.51223546
ACH-000234,-0.564477682062
ACH-000235,-0.438483855591
ACH-000237,-0.60089673232
ACH-000238,-0.45585348554
ACH-000243,-0.436234374781
ACH-000244,-0.49996643716899997
ACH-000246,-0.360196768576
ACH-000248,-0.771210585773
ACH-000250,-0.727325191556
ACH-000251,-0.8599478977159999
ACH-000253,-0.7578957506899999
ACH-000255,-0.398629593715
ACH-000256,-0.525349518827
ACH-000257,-0.392987201343
ACH-000258,-0.236001948618
ACH-000259,-0.385555687385
ACH-000260,-0.508456828293
ACH-000261,-0.429488430333
ACH-000262,-0.7324104591889999
ACH-000263,-0.334244173945
ACH-000264,-0.350226627947
ACH-000265,-0.616484579713
ACH-000266,-0.48653816181299997
ACH-000272,-0.45998748896700004
ACH-000273,-0.568997863259
ACH-000274,-0.579880626413
ACH-000277,-0.916438527675
ACH-000278,-0.8732042862459999
ACH-000279,-0.320743037313
ACH-000280,-0.696854395647
ACH-000281,-0.09598003367760001
ACH-000288,-0.376437988508
ACH-000291,-0.73492467153
ACH-000293,-1.20193659749
ACH-000294,-0.614127549024
ACH-000295,-0.145571565641
ACH-000296,-0.542909126628
ACH-000302,-0.545485285166
ACH-000304,-0.6442579715460001
ACH-000307,-0.284541815062
ACH-000308,-0.48553959082599996
ACH-000310,-0.591166193406
ACH-000311,-0.81915671734
ACH-000312,-0.453489633279
ACH-000315,-0.510060488808
ACH-000316,-0.265782312058
ACH-000317,-0.35521895448
ACH-000318,-0.410484735183
ACH-000319,-0.489570132266
ACH-000320,-0.503727699251
ACH-000322,-0.58248411657
ACH-000323,-0.383487638715
ACH-000324,-0.49061569633599994
ACH-000329,-0.479423107967
ACH-000330,-0.645013042853
ACH-000331,-0.44447770210299997
ACH-000332,-0.467859442246
ACH-000334,-0.765855232422
