,FGG (2266)
ACH-000004,-0.42532526964
ACH-000007,-0.190496871955
ACH-000009,-0.437708292121
ACH-000011,-0.23169023109900003
ACH-000012,-0.266992255866
ACH-000013,-0.22636510989599998
ACH-000014,-0.236619111145
ACH-000015,-0.376642297711
ACH-000017,-0.251667028821
ACH-000018,-0.42016432106799995
ACH-000019,-0.279661307002
ACH-000021,-0.349600160941
ACH-000022,-0.236487362896
ACH-000025,-0.198770119343
ACH-000028,-0.08496555127599999
ACH-000030,-0.266151965137
ACH-000035,-0.198031845459
ACH-000036,-0.196748760026
ACH-000037,-0.333784902767
ACH-000039,-0.442027048785
ACH-000040,-0.407752133407
ACH-000041,-0.42127922937
ACH-000042,-0.42569285387500005
ACH-000045,-0.180486760505
ACH-000047,-0.156650929168
ACH-000052,-0.0944448373249
ACH-000053,-0.366890609821
ACH-000054,-0.351543785166
ACH-000055,-0.309905783459
ACH-000060,-0.312061225281
ACH-000067,-0.19776160721
ACH-000070,-0.14053758197799998
ACH-000075,-0.683012241378
ACH-000078,-0.56885465675
ACH-000082,-0.129176494325
ACH-000085,-0.188395093321
ACH-000086,-0.166563631871
ACH-000087,0.0313661722853
ACH-000092,-0.32283646250500003
ACH-000095,-0.277884636986
ACH-000097,-0.31407105904800003
ACH-000098,-0.25803679774599997
ACH-000099,-0.47917227854500005
ACH-000108,-0.44759047788199996
ACH-000113,-0.12908452423
ACH-000115,-0.176124517667
ACH-000116,-0.440294235906
ACH-000118,-0.307462500178
ACH-000120,-0.344095938547
ACH-000123,-0.328557231331
ACH-000127,-0.235355468485
ACH-000128,-0.171476368032
ACH-000132,-0.18067260345
ACH-000133,-0.211836852485
ACH-000137,-0.319824824917
ACH-000138,-0.370167110143
ACH-000142,-0.234309255778
ACH-000143,-0.0246005401681
ACH-000146,-0.38482914147200004
ACH-000148,-0.176583176316
ACH-000150,-0.20605900586
ACH-000152,-0.13025914531500002
ACH-000153,-0.218527901127
ACH-000159,-0.117599475318
ACH-000160,-0.329218865257
ACH-000163,-0.242644971842
ACH-000167,-0.149530622139
ACH-000168,-0.363848491409
ACH-000169,-0.302585561104
ACH-000178,-0.147473653599
ACH-000182,-0.285319098774
ACH-000183,-0.441156656558
ACH-000188,-0.32425629086
ACH-000189,-0.23188389415199998
ACH-000190,-0.116898843345
ACH-000198,-0.322355916995
ACH-000204,-0.468443160379
ACH-000206,-0.205386065308
ACH-000207,-0.12275807807900001
ACH-000211,-0.369643879528
ACH-000215,-0.244489853983
ACH-000221,-0.151654317017
ACH-000222,-0.21576435512400002
ACH-000223,-0.243166971895
ACH-000226,-0.14755411628100001
ACH-000227,-0.38331508352399996
ACH-000228,-0.280204664984
ACH-000231,-0.246320770614
ACH-000232,-0.291185300983
ACH-000233,-0.196846041099
ACH-000234,-0.429473685207
ACH-000235,-0.317625582865
ACH-000237,-0.505044497898
ACH-000238,-0.266835363853
ACH-000243,-0.432188748063
ACH-000244,0.0177495132576
ACH-000246,-0.21235887211399998
ACH-000248,-0.145317728773
ACH-000250,-0.21024246462
ACH-000251,-0.323483217073
ACH-000253,-0.12453036314000002
ACH-000255,-0.173584547617
ACH-000256,-0.379428308359
ACH-000257,-0.269917924296
ACH-000258,-0.378850469728
ACH-000259,-0.220105408933
ACH-000260,-0.355729569481
ACH-000261,-0.203765200376
ACH-000262,-0.28662868684
ACH-000263,0.022091511855500002
ACH-000264,-0.22229768399799998
ACH-000265,-0.424079670044
ACH-000266,-0.38661923163199996
ACH-000272,-0.41578681397600004
ACH-000273,-0.334135965374
ACH-000274,-0.36594972261299996
ACH-000277,-0.337570479697
ACH-000278,-0.042515964238800004
ACH-000279,-0.49840066354199997
ACH-000280,-0.350834222176
ACH-000281,-0.446330779261
ACH-000288,-0.26766852353799997
ACH-000291,-0.21667786273200002
ACH-000293,-0.310660044298
ACH-000294,-0.383290716804
ACH-000295,-0.23472520910999997
ACH-000296,-0.146661190173
ACH-000302,-0.231035983357
ACH-000304,-0.053811829371699996
ACH-000307,-0.203607340376
ACH-000308,-0.276906990543
ACH-000310,-0.374764912975
ACH-000311,-0.354467420748
ACH-000312,-0.441853831229
ACH-000315,0.367512986736
ACH-000316,-0.394746443332
ACH-000317,-0.251277399412
ACH-000318,-0.342440247544
ACH-000319,-0.26901432493099997
ACH-000320,-0.35618391417499995
ACH-000322,-0.307233362332
ACH-000323,-0.365576637301
ACH-000324,-0.331862290976
ACH-000329,-0.35575908754
ACH-000330,-0.251390830206
ACH-000331,-0.22380960110999998
ACH-000332,-0.26185285225
ACH-000334,-0.23264003556999996
ACH-000335,-0.196545841134
ACH-000336,0.0563063224759
ACH-000337,-0.264352451292
ACH-000339,-0.275814276885
ACH-000341,-0.190303445325
ACH-000348,-0.303816109408
ACH-000350,-0.370221142334
ACH-000352,-0.238889619236
ACH-000356,-0.445074910779
ACH-000361,-0.244939780376
ACH-000362,-0.314876382093
ACH-000363,-0.262032741738
ACH-000364,-0.145980715858
ACH-000365,-0.34160807166199997
ACH-000366,-0.252456660815
ACH-000368,-0.0185459366532
ACH-000374,-0.329919067525
ACH-000375,-0.36483214592200003
ACH-000376,-0.351489592068
ACH-000381,-0.449667944595
