,PATZ1 (23598)
ACH-000004,-0.0977583142224
ACH-000007,-0.0015308142933399998
ACH-000009,-0.279388071413
ACH-000011,-0.018588449323599997
ACH-000012,-0.243073770891
ACH-000013,-0.213072444065
ACH-000014,-0.38712535259
ACH-000015,-0.41337040120800006
ACH-000017,-0.040335392051300004
ACH-000018,-0.0596691519582
ACH-000019,-0.35717138801299997
ACH-000021,0.054690280023600005
ACH-000022,-0.114849980102
ACH-000025,-0.22285346244100002
ACH-000028,-0.25184757297800003
ACH-000030,-0.308184917302
ACH-000035,-0.308047569974
ACH-000036,-0.19809553362100002
ACH-000037,-0.17393418338
ACH-000039,-0.384782253518
ACH-000040,-0.0012761091338099999
ACH-000041,0.0609716531458
ACH-000042,-0.162445866165
ACH-000045,0.257119251717
ACH-000047,-0.24488870658599998
ACH-000052,-0.262574272203
ACH-000053,-0.169628836477
ACH-000054,-0.160107653888
ACH-000055,-0.590685633574
ACH-000060,-0.153575174233
ACH-000067,-0.18811460834600002
ACH-000070,-0.276361951818
ACH-000075,-0.25233992550900003
ACH-000078,-0.6344544384740001
ACH-000082,-0.053978921975999995
ACH-000085,-0.37507313216300003
ACH-000086,-0.136003625504
ACH-000087,-0.265702941142
ACH-000092,-0.415992320977
ACH-000095,-0.349291774515
ACH-000097,-0.21561416555399998
ACH-000098,-0.21882461710200002
ACH-000099,-0.609174243777
ACH-000108,-0.0505056397907
ACH-000113,-0.28216768286
ACH-000115,0.00397134883551
ACH-000116,-0.198545309319
ACH-000118,-0.07579419342110001
ACH-000120,-0.351317226266
ACH-000123,-0.21596686463599998
ACH-000127,0.06831908456159999
ACH-000128,-0.278981924318
ACH-000132,-0.210386094986
ACH-000133,-0.35298534033600004
ACH-000137,-0.168362485935
ACH-000138,-0.060724171107099996
ACH-000142,-0.274793378702
ACH-000143,0.0130602079544
ACH-000146,-0.2271849677
ACH-000148,-0.183995177049
ACH-000150,-0.341684408555
ACH-000152,-0.171965199303
ACH-000153,0.036528125339
ACH-000159,0.0708099563313
ACH-000160,-0.181300890839
ACH-000163,-0.105397999494
ACH-000167,-0.270899078268
ACH-000168,-0.040313573198000004
ACH-000169,-0.359122939119
ACH-000178,-0.09950567983539998
ACH-000182,-0.00481175247612
ACH-000183,-0.280307393572
ACH-000188,-0.0451800163963
ACH-000189,0.06863182338650001
ACH-000190,0.14840840508300002
ACH-000198,-0.23409275927200002
ACH-000204,-0.174183282951
ACH-000206,-0.155551304208
ACH-000207,-0.156104219973
ACH-000211,-0.30304745282900003
ACH-000215,-0.137312310588
ACH-000221,-0.239269220187
ACH-000222,-0.330917550865
ACH-000223,-0.259971807158
ACH-000226,-0.22229944380999997
ACH-000227,-0.586463995346
ACH-000228,-0.105221461413
ACH-000231,-0.23426744704100003
ACH-000232,-0.094605532111
ACH-000233,-0.370607828724
ACH-000234,-0.0418536970049
ACH-000235,-0.108721055171
ACH-000237,-0.0731266427404
ACH-000238,-0.140143100252
ACH-000243,-0.183383608347
ACH-000244,0.036021691670900004
ACH-000246,-0.0256915501022
ACH-000248,-0.0637859534286
ACH-000250,-0.039355699465099994
ACH-000251,-0.0615099137641
ACH-000253,-0.0823568741573
ACH-000255,-0.271183000688
ACH-000256,-0.403929783664
ACH-000257,-0.16041317985200002
ACH-000258,0.0842430920476
ACH-000259,-0.0982009956945
ACH-000260,-0.33888870872599997
ACH-000261,-0.161121007561
ACH-000262,-0.118288631989
ACH-000263,-0.022706886135299996
ACH-000264,-0.31323443211199997
ACH-000265,-0.285999100066
ACH-000266,-0.21564139288400003
ACH-000272,-0.311831892038
ACH-000273,-0.218869565448
ACH-000274,-0.309834131966
ACH-000277,0.0520001617437
ACH-000278,-0.24918309834199998
ACH-000279,-0.138489839684
ACH-000280,-0.175909337872
ACH-000281,-0.318117323687
ACH-000288,-0.323225186323
ACH-000291,-0.159132969012
ACH-000293,-0.09474758777889998
ACH-000294,-0.288445373796
ACH-000295,-0.119819296103
ACH-000296,-0.306182133978
ACH-000302,-0.472748103666
ACH-000304,-0.240687482037
ACH-000307,-0.21868657938799999
ACH-000308,-0.221572152306
ACH-000310,-0.44635903498400004
ACH-000311,-0.075179951828
ACH-000312,-0.269504514998
ACH-000315,-0.19754599194000003
