,POLR2B (5431)
ACH-000004,-1.78433530947
ACH-000007,-1.66658470243
ACH-000009,-1.28388166073
ACH-000011,-1.26894042227
ACH-000012,-1.50641345068
ACH-000013,-1.36582111652
ACH-000014,-1.3506837893399999
ACH-000015,-1.5297888452000001
ACH-000017,-1.23568310987
ACH-000018,-1.4850475331900002
ACH-000019,-1.8875354585900004
ACH-000021,-1.28914085913
ACH-000022,-1.7277149277300001
ACH-000025,-1.43844837487
ACH-000028,-1.39346569782
ACH-000030,-1.560904824
ACH-000035,-1.2992645279600001
ACH-000036,-1.71375590204
ACH-000037,-2.02515461272
ACH-000039,-1.4862485773899998
ACH-000040,-1.45448408603
ACH-000041,-1.47018014619
ACH-000042,-1.3881349401899998
ACH-000045,-1.66111890398
ACH-000047,-1.56811014572
ACH-000052,-1.8629393128599998
ACH-000053,-1.66429244801
ACH-000054,-1.37710117184
ACH-000055,-1.28145182786
ACH-000060,-1.25597456576
ACH-000067,-1.40707227609
ACH-000070,-1.82956080947
ACH-000075,-1.3809910105
ACH-000078,-1.81876679683
ACH-000082,-1.54771200613
ACH-000085,-1.3707980886500002
ACH-000086,-1.4412325431
ACH-000087,-1.7373328308200002
ACH-000092,-1.4789326096899997
ACH-000095,-1.67929150955
ACH-000097,-1.46077877363
ACH-000098,-1.4288962694299998
ACH-000099,-1.7030159810699999
ACH-000108,-1.54030845655
ACH-000113,-1.95202505771
ACH-000115,-1.3543016198
ACH-000116,-1.6662304738
ACH-000118,-1.4058718667899999
ACH-000120,-1.45800981919
ACH-000123,-1.55766441217
ACH-000127,-1.8267518723400002
ACH-000128,-1.40427813562
ACH-000132,-1.4967380245100002
ACH-000133,-1.4327271743799999
ACH-000137,-1.67295189704
ACH-000138,-1.6490638180000001
ACH-000142,-1.42277822901
ACH-000143,-1.50072567757
ACH-000146,-1.86094491538
ACH-000148,-1.4735469011500002
ACH-000150,-1.4070976817200003
ACH-000152,-1.62406339887
ACH-000153,-1.21919812107
ACH-000159,-1.69748236357
ACH-000160,-1.39053978294
ACH-000163,-1.2634253878100001
ACH-000167,-1.5683461856099998
ACH-000168,-1.4321107446
ACH-000169,-1.6023277277399999
ACH-000178,-1.53258473664
ACH-000182,-1.6142874995299998
ACH-000183,-1.60072588992
ACH-000188,-1.71664118187
ACH-000189,-1.53361928273
ACH-000190,-1.42033450226
ACH-000198,-1.4733221756900001
ACH-000204,-1.7697099429599998
ACH-000206,-1.52510750357
ACH-000207,-1.27940131486
ACH-000211,-1.5297817925400001
ACH-000215,-1.79540302508
ACH-000221,-1.35963082865
ACH-000222,-1.54685582595
ACH-000223,-1.7316254415599999
ACH-000226,-1.5442306153999998
ACH-000227,-1.93726556491
ACH-000228,-1.7322652406999999
ACH-000231,-1.8196381332599998
ACH-000232,-1.36327794995
ACH-000233,-1.5302245954799998
ACH-000234,-1.48067393197
ACH-000235,-1.47827186789
ACH-000237,-1.7314720960299999
ACH-000238,-1.6190262481600002
ACH-000243,-1.52981559449
ACH-000244,-1.46279552454
ACH-000246,-1.47560897591
ACH-000248,-1.66155886079
ACH-000250,-1.4656356140200002
ACH-000251,-1.54243998025
ACH-000253,-1.62711035212
ACH-000255,-1.33782226759
ACH-000256,-1.41507034732
ACH-000257,-1.9932590029700001
ACH-000258,-1.54553953679
ACH-000259,-1.4371441543099999
ACH-000260,-1.4361118608899999
ACH-000261,-1.65343083734
ACH-000262,-1.61327723579
ACH-000263,-1.3212632550599999
ACH-000264,-1.7537896820900003
ACH-000265,-1.44729802541
ACH-000266,-1.5317983987900001
ACH-000272,-1.66490251917
ACH-000273,-1.6902754945700003
ACH-000274,-1.7128249881200002
ACH-000277,-1.5338708192800001
ACH-000278,-1.4249842200799998
ACH-000279,-1.64567559971
ACH-000280,-1.75021165372
ACH-000281,-1.77007535183
ACH-000288,-1.3997964703299999
ACH-000291,-1.48175865826
ACH-000293,-1.45334106782
ACH-000294,-1.37168028551
ACH-000295,-1.8158906125
ACH-000296,-1.3462871197100001
ACH-000302,-1.71097593224
ACH-000304,-1.07248279647
ACH-000307,-1.39947953599
ACH-000308,-1.6338356540399999
ACH-000310,-2.1059251420700003
ACH-000311,-1.56800247985
ACH-000312,-1.5886737588
ACH-000315,-1.46993657842
ACH-000316,-1.53562548208
ACH-000317,-1.40371056475
ACH-000318,-1.7928617158700002
ACH-000319,-1.6916025720299999
ACH-000320,-1.67813867437
ACH-000322,-1.8823106499900002
ACH-000323,-1.7643469398299998
ACH-000324,-1.6123005775600001
ACH-000329,-1.76065030867
ACH-000330,-1.45066992891
ACH-000331,-1.5522450140000001
ACH-000332,-1.43195040094
ACH-000334,-1.9444159128799998
ACH-000335,-1.5433782554299997
ACH-000336,-1.90993480382
ACH-000337,-1.7250200974599998
ACH-000339,-1.60027616824
