,XAF1 (54739)
ACH-000004,-0.31657543401099997
ACH-000007,0.0531777407885
ACH-000009,-0.37988338660300003
ACH-000011,-0.0513773260625
ACH-000012,-0.138944861
ACH-000013,-0.133103034615
ACH-000014,-0.332769390372
ACH-000015,-0.273703778316
ACH-000017,0.07694563606369999
ACH-000018,-0.0678020526596
ACH-000019,-0.09159730787730001
ACH-000021,-0.149403610154
ACH-000022,-0.051547436915300004
ACH-000025,-0.100027507063
ACH-000028,-0.0524818563045
ACH-000030,-0.133354628888
ACH-000035,-0.00447310783455
ACH-000036,-0.09631218085439999
ACH-000037,-0.0495872306886
ACH-000039,-0.243856209663
ACH-000040,-0.15020072101600002
ACH-000041,-0.39280130708899996
ACH-000042,-0.0852517672893
ACH-000045,-0.462093874559
ACH-000047,-0.074462835305
ACH-000052,-0.36405161003
ACH-000053,-0.018616730537299998
ACH-000054,-0.269297279071
ACH-000055,-0.09057451344699999
ACH-000060,-0.139751483683
ACH-000067,-0.24848626012299999
ACH-000070,-0.0773206032992
ACH-000075,0.0289351901614
ACH-000078,-0.21407813967
ACH-000082,-0.20340003969700002
ACH-000085,-0.22985706934500003
ACH-000086,-0.0342489932177
ACH-000087,0.000620066495384
ACH-000092,0.0619108294657
ACH-000095,-0.19808678308400002
ACH-000097,-0.187860730823
ACH-000098,-0.24632742174000002
ACH-000099,-0.184410616256
ACH-000108,-0.125236361667
ACH-000113,-0.192749607858
ACH-000115,-0.0152293721663
ACH-000116,-0.13376229983899998
ACH-000118,-0.188849295198
ACH-000120,-0.053154195804099996
ACH-000123,-0.137587270217
ACH-000127,-0.20544957500100003
ACH-000128,-0.128896339607
ACH-000132,-0.25094869710900003
ACH-000133,-0.311658476704
ACH-000137,-0.20907498237
ACH-000138,-0.287012104292
ACH-000142,-0.11278693164
ACH-000143,-0.10577205781400001
ACH-000146,-0.19788000437
ACH-000148,-0.32951106049199996
ACH-000150,-0.297437325511
ACH-000152,-0.45183049997
ACH-000153,-0.277044518604
ACH-000159,-0.06044694598119999
ACH-000160,-0.15211249154200002
ACH-000163,-0.139542358205
ACH-000167,-0.18523744262699998
ACH-000168,-0.308400897525
ACH-000169,-0.056608079842300006
ACH-000178,-0.0673636082285
ACH-000182,-0.112036098218
ACH-000183,-0.143387915084
ACH-000188,-0.17496758271200002
ACH-000189,-0.226379228171
ACH-000190,-0.21432609575800002
ACH-000198,-0.170485432823
ACH-000204,-0.287245530255
ACH-000206,-0.0860267230792
ACH-000207,-0.355352053186
ACH-000211,-0.08631650724199999
ACH-000215,-0.10332687504100001
ACH-000221,-0.19711486515999999
ACH-000222,-0.0767183659667
ACH-000223,-0.21351331993900002
ACH-000226,-0.183414959802
ACH-000227,-0.433793844344
ACH-000228,-0.24501540146099998
ACH-000231,-0.241021573011
ACH-000232,-0.147092384891
ACH-000233,-0.040108199255400004
ACH-000234,-0.14090334621300002
ACH-000235,-0.21871214992899998
ACH-000237,-0.06597259280119999
ACH-000238,-0.10386246801200001
ACH-000243,-0.311482678402
ACH-000244,-0.09870865488189999
ACH-000246,-0.284947097926
ACH-000248,0.0216670811233
ACH-000250,-0.157635165867
ACH-000251,0.20198514317400001
ACH-000253,-0.10895638557
ACH-000255,-0.246124400533
ACH-000256,-0.183446240935
ACH-000257,-0.17769897463599998
ACH-000258,-0.177210593133
ACH-000259,-0.161693143176
ACH-000260,-0.12091822985799999
ACH-000261,-0.221570032053
ACH-000262,-0.332125632748
ACH-000263,0.0104823996047
ACH-000264,-0.265110000504
ACH-000265,-0.273651999729
ACH-000266,-0.16925085456
ACH-000272,-0.141111144451
ACH-000273,-0.029343211052799998
ACH-000274,-0.26549569105500004
ACH-000277,-0.311456808892
ACH-000278,-0.28362496764
ACH-000279,-0.348397690912
ACH-000280,-0.127355388344
ACH-000281,-0.23773197273899999
ACH-000288,-0.336831989117
ACH-000291,-0.226613013595
ACH-000293,0.008781399682
ACH-000294,-0.35774239912699995
ACH-000295,-0.477070881278
ACH-000296,-0.015743268736199998
ACH-000302,-0.25346679506700004
ACH-000304,-0.24497069657499998
ACH-000307,0.025764553986299996
ACH-000308,-0.0524750504417
ACH-000310,-0.055290778110100004
ACH-000311,-0.193190230537
ACH-000312,-0.104959832063
ACH-000315,-0.0463588147063
ACH-000316,-0.17589457582600002
ACH-000317,-0.0635108588208
ACH-000318,-0.08102052713610002
ACH-000319,-0.185807475586
ACH-000320,-0.26799453211999996
ACH-000322,-0.1183822995
ACH-000323,-0.206049481217
ACH-000324,-0.197791353309
ACH-000329,-0.203731369999
ACH-000330,-0.272048497366
ACH-000331,-0.188760810139
ACH-000332,-0.186642492271
ACH-000334,-0.128247482761
ACH-000335,-0.265967889168
ACH-000336,-0.0882759024228
ACH-000337,0.108553959628
ACH-000339,-0.17494560421500002
ACH-000341,0.0627356646593
ACH-000348,-0.275371569073
ACH-000350,-0.0442165932866
ACH-000352,-0.232287587724
ACH-000356,-0.179101344815
ACH-000361,-0.100807269935
ACH-000362,-0.138206886166
ACH-000363,-0.08061861713139999
ACH-000364,-0.21997397202799998
ACH-000365,-0.215385683627
ACH-000366,-0.34978724199199995
ACH-000368,-0.0121297734122
ACH-000374,0.027486199268200003
ACH-000375,-0.289689384437
ACH-000376,-0.121842040497
ACH-000381,-0.43744897235
ACH-000383,-0.10444347826
ACH-000387,-0.23322152781
ACH-000389,-0.190280149036
ACH-000390,0.017179883107200002
ACH-000393,-0.11292398153899999
ACH-000395,-0.245967627856
ACH-000397,-0.09615064412879999
ACH-000401,0.17385023472199998
ACH-000402,0.0559305668454
ACH-000403,-0.119090463282
ACH-000404,-0.248548872874
ACH-000406,-0.187868391042
ACH-000407,-0.20413027226100003
ACH-000408,-0.026191211581900003
ACH-000410,-0.17807018050700002
ACH-000411,-0.028386903640200002
ACH-000414,-0.11156430185
ACH-000415,-0.13906005525100001
ACH-000416,-0.024623120866400002
ACH-000420,-0.28976565628199996
ACH-000421,-0.12565128303200002
ACH-000424,0.0349531391576
ACH-000425,-0.148256161559
ACH-000426,-0.151326158625
ACH-000427,-0.07147484147460001
ACH-000433,0.0179076864361
ACH-000436,-0.253425037711
ACH-000444,-0.149497602917
ACH-000445,0.192600908957
ACH-000448,-0.186498329048
ACH-000450,-0.316468495794
ACH-000452,-0.11385705123400001
ACH-000454,-0.194841653361
ACH-000458,-0.0725991865763
ACH-000459,-0.114032312102
ACH-000460,-0.07402091196419999
