,PIGL (9487)
ACH-000004,-0.115080654935
ACH-000007,-0.371313507728
ACH-000009,-0.456680083656
ACH-000011,-0.25721794436
ACH-000012,-0.287476781884
ACH-000013,-0.236507214254
ACH-000014,-0.142644923181
ACH-000015,-0.217434321594
ACH-000017,0.0669213005896
ACH-000018,-0.245442600922
ACH-000019,-0.465254196475
ACH-000021,-0.328757199572
ACH-000022,-0.5268210523529999
ACH-000025,-0.113322084181
ACH-000028,-0.174330189736
ACH-000030,-0.186167686568
ACH-000035,-0.19602746767299997
ACH-000036,0.0196700560945
ACH-000037,-0.325910628229
ACH-000039,-0.31113995332
ACH-000040,-0.11297651460000001
ACH-000041,-0.177921502527
ACH-000042,-0.400774679391
ACH-000045,-0.234982334564
ACH-000047,-0.250984196394
ACH-000052,-0.642256222024
ACH-000053,-0.222387922487
ACH-000054,-0.23449843525
ACH-000055,-0.0211570961242
ACH-000060,-0.19548141971900002
ACH-000067,-0.303686263228
ACH-000070,-0.115723830888
ACH-000075,-0.0663271306704
ACH-000078,-0.227749946839
ACH-000082,-0.468758385872
ACH-000085,-0.188078000282
ACH-000086,-0.07786902705019999
ACH-000087,-0.514461619247
ACH-000092,-0.117590023753
ACH-000095,-0.245608141966
ACH-000097,-0.09682760031479999
ACH-000098,-0.48098079556999995
ACH-000099,-0.212998328637
ACH-000108,-0.18500907501
ACH-000113,-0.131974193836
ACH-000115,-0.107040209441
ACH-000116,-0.106279275184
ACH-000118,-0.39209257982100004
ACH-000120,-0.03926890236
ACH-000123,-0.382625646062
ACH-000127,-0.192884883167
ACH-000128,0.000556717149
ACH-000132,-0.27371066679699996
ACH-000133,-0.193663703431
ACH-000137,-0.160607842758
ACH-000138,-0.385428902438
ACH-000142,-0.24069138529599998
ACH-000143,-0.364160223065
ACH-000146,-0.13657552488299998
ACH-000148,-0.122401976028
ACH-000150,-0.0744917569494
ACH-000152,-0.230838191001
ACH-000153,-0.7288619358130001
ACH-000159,-0.06556117673430001
ACH-000160,-0.0968545053171
ACH-000163,-0.166556249277
ACH-000167,-0.726902766514
ACH-000168,-0.101065524408
ACH-000169,-0.200691182047
ACH-000178,-0.174726465448
ACH-000182,-0.274110254595
ACH-000183,-0.214582414712
ACH-000188,-0.229549304309
ACH-000189,-0.291041226007
ACH-000190,-0.0165703454657
ACH-000198,-0.09388080992450001
ACH-000204,0.128454455475
ACH-000206,-0.45834242805799996
ACH-000207,-0.133364260984
ACH-000211,-0.24657050867400002
ACH-000215,-0.23149280941
ACH-000221,-0.34165292500699995
ACH-000222,-0.298892118476
ACH-000223,-0.219889152041
ACH-000226,-0.17463800783599998
ACH-000227,-0.06792580948730001
ACH-000228,-0.346461211004
ACH-000231,-0.0852705839803
ACH-000232,0.0712431204538
ACH-000233,-0.076033159485
ACH-000234,-0.224357022301
ACH-000235,-0.384893748849
ACH-000237,-0.221363047655
ACH-000238,-0.235482755376
ACH-000243,-0.427089515027
ACH-000244,-0.139326071867
ACH-000246,-0.397318849794
ACH-000248,-0.289948210674
ACH-000250,-0.23456145046799998
ACH-000251,-0.449159696602
ACH-000253,-0.330115166297
ACH-000255,-0.230504329066
ACH-000256,-0.487186948902
ACH-000257,-0.38472711566
ACH-000258,-0.218811381123
ACH-000259,-0.361655226803
ACH-000260,-0.136063480747
ACH-000261,-0.108122592073
ACH-000262,-0.136676670461
ACH-000263,0.0324256740107
ACH-000264,-0.19846640582299999
ACH-000265,-0.318624682765
ACH-000266,-0.401238221181
ACH-000272,-0.34200132224299995
ACH-000273,-0.363902675643
ACH-000274,-0.33521946052499996
ACH-000277,-0.29828245217599997
ACH-000278,-0.289905693831
ACH-000279,-0.16847988314800003
ACH-000280,-0.312937261147
ACH-000281,-0.20389563848900003
ACH-000288,-0.260444213376
ACH-000291,-0.282967305471
ACH-000293,0.0405188716277
ACH-000294,-0.16324570444599998
ACH-000295,-0.130637229909
ACH-000296,-0.35862401991099996
ACH-000302,-0.383201341836
ACH-000304,0.150887149059
ACH-000307,-0.393014635115
ACH-000308,-0.168152722868
ACH-000310,-0.319174798714
ACH-000311,-0.437822584353
ACH-000312,-0.295294728071
ACH-000315,-0.16353448078299998
ACH-000316,-0.314668192632
ACH-000317,0.146254422449
ACH-000318,-0.254782297176
