,BRI3 (25798)
ACH-000004,-0.268991180244
ACH-000007,-0.11762532574000001
ACH-000009,-0.0513124919178
ACH-000011,-0.294800642763
ACH-000012,-0.132366053464
ACH-000013,-0.180772861341
ACH-000014,-0.229278250981
ACH-000015,-0.19947800338100002
ACH-000017,-0.385005349847
ACH-000018,-0.10991400048399999
ACH-000019,-0.191174179064
ACH-000021,-0.307255943233
ACH-000022,-0.256146605792
ACH-000025,-0.267915857302
ACH-000028,-0.305916560016
ACH-000030,-0.154616210154
ACH-000035,-0.196809812109
ACH-000036,-0.23485719568799998
ACH-000037,-0.25608543190099997
ACH-000039,0.072622863782
ACH-000040,-0.18790316155200001
ACH-000041,-0.269086700584
ACH-000042,-0.22830860819
ACH-000045,-0.208047442059
ACH-000047,-0.168515748917
ACH-000052,-0.118201311129
ACH-000053,-0.160137113551
ACH-000054,-0.39997731104900003
ACH-000055,-0.211119634738
ACH-000060,-0.47465498546499996
ACH-000067,-0.215579568585
ACH-000070,-0.450501219427
ACH-000075,-0.416183831427
ACH-000078,-0.0691630195711
ACH-000082,-0.19385318462099999
ACH-000085,-0.365948958654
ACH-000086,-0.08329868579819999
ACH-000087,0.0219734531077
ACH-000092,-0.28744337221
ACH-000095,-0.09627433666139999
ACH-000097,-0.17930259808600002
ACH-000098,-0.286039801495
ACH-000099,-0.232976318323
ACH-000108,-0.30003275055100004
ACH-000113,-0.162857628981
ACH-000115,-0.13649746791
ACH-000116,-0.298121392204
ACH-000118,-0.168173129379
ACH-000120,-0.168834343288
ACH-000123,-0.0725971561642
ACH-000127,-0.220448600427
ACH-000128,-0.33745252198200004
ACH-000132,-0.09893843908399999
ACH-000133,-0.31126059644000004
ACH-000137,-0.243128865361
ACH-000138,-0.10599682251499999
ACH-000142,-0.511095982839
ACH-000143,-0.278092638537
ACH-000146,-0.140695057761
ACH-000148,-0.102381540856
ACH-000150,-0.278537922422
ACH-000152,-0.289407208073
ACH-000153,0.274845902805
ACH-000159,-0.314725037304
ACH-000160,-0.220005746212
ACH-000163,-0.30175754116799997
ACH-000167,-0.355034196526
ACH-000168,-0.302146778806
ACH-000169,-0.0646107028855
ACH-000178,-0.36609674383900004
ACH-000182,-0.248053769481
ACH-000183,-0.17919011793499998
ACH-000188,-0.43177448899
ACH-000189,-0.0720838843765
ACH-000190,-0.513085430557
ACH-000198,-0.192397099887
ACH-000204,-0.33612468556900005
ACH-000206,0.0310027775705
ACH-000207,-0.187076627975
ACH-000211,-0.217349983214
ACH-000215,-0.17537638246599999
ACH-000221,-0.367730057883
ACH-000222,-0.44862084631399995
ACH-000223,-0.30271259830499997
ACH-000226,-0.372427084086
ACH-000227,-0.0240278320862
ACH-000228,-0.33049798446
ACH-000231,-0.38218092566600004
ACH-000232,-0.30463726988400003
ACH-000233,-0.317194746978
ACH-000234,-0.107312543773
ACH-000235,-0.20554756772100002
ACH-000237,-0.316493824983
ACH-000238,-0.621591638804
ACH-000243,-0.23468845982099998
ACH-000244,-0.634551297698
ACH-000246,-0.210992894373
ACH-000248,-0.204930689852
ACH-000250,-0.248836630389
ACH-000251,-0.20060106511599998
ACH-000253,-0.273036898467
ACH-000255,-0.305358220462
ACH-000256,-0.100902982784
ACH-000257,-0.44566981613799994
ACH-000258,0.148577676963
ACH-000259,-0.224888895773
ACH-000260,-0.0637499618792
ACH-000261,-0.20095763434900002
ACH-000262,-0.18409621975600002
ACH-000263,-0.141338537747
ACH-000264,-0.201349124152
ACH-000265,-0.0242402830744
ACH-000266,-0.19308526404800003
ACH-000272,-0.40439570214000004
ACH-000273,-0.0351292772725
ACH-000274,-0.0185220237167
ACH-000277,-0.121075069327
ACH-000278,-0.201898830685
ACH-000279,-0.222161718684
ACH-000280,-0.04415645960009999
ACH-000281,-0.189833095239
ACH-000288,-0.166998357741
ACH-000291,-0.226046383936
ACH-000293,-0.753787235659
ACH-000294,-0.0693668101267
ACH-000295,-0.08623238867910002
ACH-000296,-0.0858778073595
ACH-000302,-0.23937736455400002
ACH-000304,-0.19326458731899998
ACH-000307,-0.35597266963600005
ACH-000308,-0.290772314248
ACH-000310,0.016370459972
ACH-000311,-0.266028189001
ACH-000312,-0.17680351942400002
ACH-000315,-0.294382009914
ACH-000316,-0.146243143749
ACH-000317,-0.0946541975041
ACH-000318,-0.15047688143
ACH-000319,-0.34791619631
ACH-000320,-0.31845804261
ACH-000322,-0.386864971808
ACH-000323,-0.201159109956
ACH-000324,-0.18304186106800002
ACH-000329,-0.203922981199
ACH-000330,-0.0007271404134400002
ACH-000331,-0.485731505312
ACH-000332,-0.0683705982705
ACH-000334,-0.796007270801
ACH-000335,-0.255825652452
ACH-000336,-0.29682272152600003
ACH-000337,-0.286565144492
ACH-000339,-0.0795771517833
ACH-000341,-0.208289738262
ACH-000348,-0.167048829067
ACH-000350,0.260853049295
ACH-000352,-0.0851532674308
ACH-000356,-0.433266301192
ACH-000361,-0.373754074532
ACH-000362,0.178517343834
ACH-000363,-0.13284627306500002
ACH-000364,-0.160317361144
ACH-000365,-0.30224101537799997
ACH-000366,-0.331358754739
ACH-000368,-0.38421305814
ACH-000374,-0.211721075579
