,MRE11A (4361)
ACH-000004,-0.556553717773
ACH-000007,-0.606107280261
ACH-000009,-0.529813018585
ACH-000011,-0.815923795675
ACH-000012,-0.8305603444840001
ACH-000013,-0.397609972282
ACH-000014,-0.726082308354
ACH-000015,-0.45980642325599996
ACH-000017,-0.282733651844
ACH-000018,-0.796930571622
ACH-000019,-0.376702101406
ACH-000021,-0.331588288662
ACH-000022,-0.540529796575
ACH-000025,-0.914089780917
ACH-000028,-0.719253978307
ACH-000030,-0.7391434423759999
ACH-000035,-0.5837616439609999
ACH-000036,-0.777943883561
ACH-000037,-0.291136755905
ACH-000039,-0.798529410792
ACH-000040,-0.607745235146
ACH-000041,-0.58681185202
ACH-000042,-0.558167925163
ACH-000045,-0.555037834208
ACH-000047,-0.566468088397
ACH-000052,-0.820300156996
ACH-000053,-0.37387648016
ACH-000054,-0.288094250965
ACH-000055,-1.07628928905
ACH-000060,-0.5462562639199999
ACH-000067,-0.731582180015
ACH-000070,-0.634849745059
ACH-000075,-0.501270511562
ACH-000078,-0.47971894334799997
ACH-000082,-0.453695013781
ACH-000085,-0.388931087816
ACH-000086,-0.923144745809
ACH-000087,-0.776085380254
ACH-000092,-0.339454063335
ACH-000095,-0.528199785476
ACH-000097,-0.319476693168
ACH-000098,-0.722545886142
ACH-000099,-0.809684929006
ACH-000108,-0.23299476356499998
ACH-000113,-0.536905476967
ACH-000115,-0.472585432641
ACH-000116,-0.501428164312
ACH-000118,-0.530152116458
ACH-000120,-0.7050643599680001
ACH-000123,-0.47704777396700004
ACH-000127,-0.655226502628
ACH-000128,-0.6025034235100001
ACH-000132,-0.619604993004
ACH-000133,-0.650805736435
ACH-000137,-0.7375048248880001
ACH-000138,-0.650484245142
ACH-000142,-1.0678144530299998
ACH-000143,-0.6969130817470001
ACH-000146,-0.304666889491
ACH-000148,-0.630603112839
ACH-000150,-0.8686828925929999
ACH-000152,-0.469532785585
ACH-000153,-0.572190832139
ACH-000159,-0.284989164232
ACH-000160,-0.50909140939
ACH-000163,-0.739250092132
ACH-000167,-0.6732606683560001
ACH-000168,-0.48782514763000007
ACH-000169,-0.694750197075
ACH-000178,-0.663796044743
ACH-000182,-0.250185259485
ACH-000183,-0.493390356649
ACH-000188,-0.9133961839929999
ACH-000189,-0.902562741848
ACH-000190,-0.875614952646
ACH-000198,-0.540350012646
ACH-000204,-0.643760181065
ACH-000206,-0.622009405225
ACH-000207,-1.0548832081
ACH-000211,-0.660775539279
ACH-000215,-0.664335466758
ACH-000221,-0.440043043844
ACH-000222,-0.33891289305
ACH-000223,-0.584337071249
ACH-000226,-0.550411758596
ACH-000227,-0.795847813457
ACH-000228,-0.667254440897
ACH-000231,-1.00025303333
ACH-000232,-0.886024095653
ACH-000233,-0.842898062717
ACH-000234,-0.49636311784599996
ACH-000235,-0.414741928195
ACH-000237,-0.7992850645749999
ACH-000238,-0.8531369825949999
ACH-000243,-0.673903600871
ACH-000244,-0.512735212732
ACH-000246,-0.6519238172540001
ACH-000248,-0.61589361782
ACH-000250,-0.594161082935
ACH-000251,-0.889942647755
ACH-000253,-0.284673341805
ACH-000255,-0.8606838138259999
ACH-000256,-0.599935048138
ACH-000257,-0.181647370306
ACH-000258,-0.541232003564
ACH-000259,-0.558465739818
ACH-000260,-0.869713741164
ACH-000261,-0.7626525342739999
ACH-000262,-0.6093518693659999
ACH-000263,-0.281878016271
ACH-000264,-0.279676588587
