,HNRNPA1L2 (144983)
ACH-000004,-0.21226622673700002
ACH-000007,-0.375042459361
ACH-000009,-0.259284366723
ACH-000011,-0.30667163066500003
ACH-000012,-0.444092570378
ACH-000013,-0.337592906844
ACH-000014,-0.412808139717
ACH-000015,-0.404446119433
ACH-000017,-0.29336484886
ACH-000018,-0.660266382439
ACH-000019,-0.523431524915
ACH-000021,-0.303731314854
ACH-000022,-0.387788088852
ACH-000025,-0.46961178419
ACH-000028,-0.42600546381399995
ACH-000030,-0.463302653455
ACH-000035,-0.34990174903399995
ACH-000036,-0.39419375072400004
ACH-000037,-0.219907634524
ACH-000039,-0.813651044951
ACH-000040,-0.500418058069
ACH-000041,-0.39090715372
ACH-000042,-0.284499312891
ACH-000045,-0.32775957239799997
ACH-000047,-0.584908133438
ACH-000052,-0.611576598737
ACH-000053,-0.419343701494
ACH-000054,-0.424204829098
ACH-000055,-0.799385572287
ACH-000060,-0.6222874219100001
ACH-000067,-0.575920562084
ACH-000070,-0.293993779533
ACH-000075,-0.377304752089
ACH-000078,-0.730192683114
ACH-000082,-0.47136894572099997
ACH-000085,-0.500708471786
ACH-000086,-0.305259700414
ACH-000087,-0.2858289515
ACH-000092,-0.464931339473
ACH-000095,-0.38635217786700005
ACH-000097,-0.37728159594000005
ACH-000098,-0.31749998268
ACH-000099,-0.408898104492
ACH-000108,-0.49481146691100003
ACH-000113,-0.317052875832
ACH-000115,-0.474195222046
ACH-000116,-0.47013598914099997
ACH-000118,-0.315780094927
ACH-000120,-0.581193455524
ACH-000123,-0.483072157856
ACH-000127,-0.37972292769599997
ACH-000128,-0.410100355752
ACH-000132,-0.39350192798
ACH-000133,-0.219236571569
ACH-000137,-0.23418280089200003
ACH-000138,-0.458719713545
ACH-000142,-0.492503676611
ACH-000143,-0.383038446118
ACH-000146,-0.308011302853
ACH-000148,-0.407438770237
ACH-000150,-0.34997594175200003
ACH-000152,-0.23228716166700003
ACH-000153,-0.188873866428
ACH-000159,-0.6028341498309999
ACH-000160,-0.20789081301600001
ACH-000163,-0.419837682765
ACH-000167,2.75399340768
ACH-000168,-0.5875754368339999
ACH-000169,-0.455934448522
ACH-000178,-0.329329677289
ACH-000182,-0.437543889313
ACH-000183,-0.29676677385600003
ACH-000188,-0.539015421409
ACH-000189,0.159961990799
ACH-000190,-0.29249154524300003
ACH-000198,-0.369377047176
ACH-000204,-0.679002631463
ACH-000206,-0.494521978698
ACH-000207,-0.517299294992
ACH-000211,-0.47637670094499995
ACH-000215,-0.34750708259499996
