,CRP (1401)
ACH-000004,-0.0896298883781
ACH-000007,-0.016916021304299998
ACH-000009,-0.193615473167
ACH-000011,-0.0017847532330399999
ACH-000012,-0.06026972754869999
ACH-000013,0.0693693795197
ACH-000014,0.0490295590123
ACH-000015,-0.239439639866
ACH-000017,-0.118703160923
ACH-000018,-0.231868853861
ACH-000019,0.102395624716
ACH-000021,-0.148845727092
ACH-000022,-0.19969426163100001
ACH-000025,-0.332774244629
ACH-000028,-0.26197637364799997
ACH-000030,-0.159251621611
ACH-000035,-0.12766426116
ACH-000036,-0.18563041199900002
ACH-000037,-0.0807248475897
ACH-000039,0.01476577043
ACH-000040,-0.11777637784000002
ACH-000041,-0.23696835344
ACH-000042,-0.029144193113099997
ACH-000045,-0.127941586423
ACH-000047,-0.146840374613
ACH-000052,-0.00272791534477
ACH-000053,-0.15579527643899999
ACH-000054,-0.11904717988600001
ACH-000055,-0.314660122999
ACH-000060,-0.0551247341121
ACH-000067,-0.27818302869600003
ACH-000070,-0.197044043244
ACH-000075,-0.141549719258
ACH-000078,0.041606968186
ACH-000082,-0.27574649788100003
ACH-000085,-0.275677944129
ACH-000086,-0.0884716240976
ACH-000087,-0.16670726045
ACH-000092,-0.0548233396518
ACH-000095,-0.12651250289000002
ACH-000097,-0.0361080212579
ACH-000098,-0.117864356011
ACH-000099,-0.0572750298486
ACH-000108,-0.118900240607
ACH-000113,-0.138407944305
ACH-000115,-0.36977850112599997
ACH-000116,-0.264378520923
ACH-000118,-0.147740377151
ACH-000120,-0.13378494287
ACH-000123,0.0631451694659
ACH-000127,-0.23287617821999998
ACH-000128,-0.106328000108
ACH-000132,-0.321416353985
ACH-000133,-0.0910755468283
ACH-000137,-0.44196306481700004
ACH-000138,0.030318903133900003
ACH-000142,-0.23065106365600002
ACH-000143,-0.22537816013599998
ACH-000146,-0.104108480667
ACH-000148,-0.11520961761
ACH-000150,-0.22826209698000002
ACH-000152,-0.268183363232
ACH-000153,-0.056657475392199994
ACH-000159,-0.20071523773299998
ACH-000160,0.176611764688
ACH-000163,-0.477432025855
ACH-000167,-0.0150188190475
ACH-000168,0.00591831081812
ACH-000169,-0.154787755231
ACH-000178,-0.1331005541
ACH-000182,-0.28335928455
ACH-000183,-0.157857114355
ACH-000188,-0.21177507474399998
ACH-000189,-0.058548036678
ACH-000190,0.026927820354
ACH-000198,-0.23281272753
ACH-000204,-0.315295950431
ACH-000206,0.0364152616024
ACH-000207,-0.17458358117199999
ACH-000211,-0.20982668504000002
ACH-000215,-0.239683154206
ACH-000221,-0.38130442021600003
ACH-000222,0.0243602534587
ACH-000223,-0.223768518925
ACH-000226,-0.180309849661
ACH-000227,-0.030946325573299998
ACH-000228,-0.11311114451099999
ACH-000231,0.0015024116284100002
ACH-000232,-0.132761007313
ACH-000233,-0.230416655345
ACH-000234,-0.118812184399
