,GPRIN3 (285513)
ACH-000004,-0.20703973886
ACH-000007,-0.483119090546
ACH-000009,-0.0016625275550999998
ACH-000011,-0.17553548741799999
ACH-000012,-0.281059686542
ACH-000013,-0.166161508094
ACH-000014,-0.0772959843098
ACH-000015,-0.212108311452
ACH-000017,-0.206585361504
ACH-000018,-0.064026109202
ACH-000019,-0.20280542102200003
ACH-000021,-0.128180680246
ACH-000022,-0.209281593667
ACH-000025,-0.0771588096327
ACH-000028,-0.220665009712
ACH-000030,-0.142556837244
ACH-000035,-0.330645350845
ACH-000036,-0.25086109538199997
ACH-000037,-0.197394673285
ACH-000039,-0.12007124714199999
ACH-000040,-0.355094027504
ACH-000041,-0.205682261226
ACH-000042,-0.253629100786
ACH-000045,-0.231564957863
ACH-000047,-0.186092405272
ACH-000052,-0.197437152511
ACH-000053,-0.122248762921
ACH-000054,-0.29161760428399996
ACH-000055,-0.263559323013
ACH-000060,-0.466634384164
ACH-000067,0.062844875778
ACH-000070,-0.290513998475
ACH-000075,-0.16662883195999997
ACH-000078,-0.322069917964
ACH-000082,-0.319384020915
ACH-000085,-0.239943040107
ACH-000086,-0.20207181206
ACH-000087,0.00328035285522
ACH-000092,-0.28060738244600003
ACH-000095,-0.0779145245638
ACH-000097,-0.150272542221
ACH-000098,-0.179215170497
ACH-000099,-0.132903654481
ACH-000108,-0.082115591867
ACH-000113,-0.318386969272
ACH-000115,0.0017376144627099998
ACH-000116,-0.28179575386
ACH-000118,-0.224816805896
ACH-000120,-0.191561939486
ACH-000123,-0.227090243288
ACH-000127,-0.345609447879
ACH-000128,-0.555799179072
ACH-000132,-0.259055710892
ACH-000133,-0.193799998997
ACH-000137,-0.34267694043700003
ACH-000138,-0.1718624493
ACH-000142,-0.290861879005
ACH-000143,-0.20455004175799998
ACH-000146,-0.056309909082500005
ACH-000148,-0.1063537217
ACH-000150,-0.24686665221700002
ACH-000152,-0.301892961976
ACH-000153,-0.293874247919
ACH-000159,-0.106739740405
ACH-000160,-0.032833336223
ACH-000163,-0.267768694794
ACH-000167,-0.356314293116
ACH-000168,0.30945146476700003
ACH-000169,-0.123477404341
ACH-000178,-0.115315632047
ACH-000182,-0.11447258890999999
ACH-000183,-0.07756377047980001
ACH-000188,-0.22801202119300001
ACH-000189,-0.383992687116
ACH-000190,-0.0534191393326
ACH-000198,-0.11746152563100001
ACH-000204,-0.17477303732000002
ACH-000206,-0.39548720006800003
ACH-000207,-0.364349893632
ACH-000211,-0.295878436026
ACH-000215,-0.10784661725500001
ACH-000221,-0.162475028514
ACH-000222,-0.248054023371
ACH-000223,-0.329193209864
ACH-000226,-0.159497564045
ACH-000227,-0.518870274931
ACH-000228,-0.015122435577400001
ACH-000231,-0.0967894542621
ACH-000232,-0.180754039546
ACH-000233,-0.120158570361
ACH-000234,-0.4191284969
ACH-000235,-0.16151603756
ACH-000237,-0.17355259371800003
ACH-000238,-0.119727318451
ACH-000243,-0.237166457853
ACH-000244,-0.326484016584
ACH-000246,-0.207730111944
ACH-000248,-0.230165931153
ACH-000250,-0.211713511665
ACH-000251,-0.0570359627828
ACH-000253,-0.191017059435
ACH-000255,-0.178367830554
ACH-000256,-0.370868636413
ACH-000257,-0.0971748706841
ACH-000258,-0.17495545786400002
ACH-000259,-0.127125368563
ACH-000260,-0.14157262012
ACH-000261,-0.25538780733000005
ACH-000262,-0.055364048975999995
ACH-000263,-0.207905615564
ACH-000264,-0.207497099258
ACH-000265,-0.150890877116
ACH-000266,-0.234855200738
ACH-000272,-0.2766900458
