,SYPL2 (284612)
ACH-000004,-0.338189775273
ACH-000007,-0.274946880045
ACH-000009,-0.436661079557
ACH-000011,-0.327894091265
ACH-000012,-0.371207946359
ACH-000013,-0.368513955833
ACH-000014,-0.131960257664
ACH-000015,-0.410837188631
ACH-000017,-0.0692043172052
ACH-000018,-0.42950266136799997
ACH-000019,-0.163681111509
ACH-000021,-0.333149514805
ACH-000022,-0.282224925553
ACH-000025,-0.456447440265
ACH-000028,-0.5815414008950001
ACH-000030,-0.375867654579
ACH-000035,-0.549016799274
ACH-000036,-0.232002708432
ACH-000037,0.08217014408289999
ACH-000039,-0.508230323076
ACH-000040,-0.184755755451
ACH-000041,-0.432677506826
ACH-000042,-0.249313814026
ACH-000045,-0.341893229405
ACH-000047,-0.359845808257
ACH-000052,0.0282593333483
ACH-000053,-0.322340720537
ACH-000054,-0.346031512942
ACH-000055,-0.221274788544
ACH-000060,-0.311403606744
ACH-000067,-0.28074749458799997
ACH-000070,-0.33668868559
ACH-000075,-0.5396377961509999
ACH-000078,-0.483639672849
ACH-000082,-0.30936739151299997
ACH-000085,-0.47229773563999994
ACH-000086,-0.412617941276
ACH-000087,-0.36027884318899994
ACH-000092,-0.490104405319
ACH-000095,-0.371493689469
ACH-000097,-0.23770747767099998
ACH-000098,-0.24911972808200003
ACH-000099,-0.286297740225
ACH-000108,-0.39471588173699995
ACH-000113,-0.308583936072
ACH-000115,-0.33791524494099995
ACH-000116,-0.276083489602
ACH-000118,-0.177337494489
ACH-000120,-0.313886989233
ACH-000123,-0.322536772395
ACH-000127,-0.326620010816
ACH-000128,-0.418479970506
ACH-000132,-0.197728127972
ACH-000133,-0.320220812561
ACH-000137,-0.48584900448299995
ACH-000138,-0.118613368365
ACH-000142,-0.15720516205600002
ACH-000143,-0.12827036866699998
ACH-000146,-0.298900095921
ACH-000148,-0.189128449287
ACH-000150,-0.15936930792600001
ACH-000152,-0.348699713204
ACH-000153,-0.5380137128019999
ACH-000159,-0.54215528677
ACH-000160,-0.21725191730300003
ACH-000163,-0.340680686508
ACH-000167,-0.273292236343
ACH-000168,-0.184009179149
ACH-000169,-0.0947758802272
ACH-000178,-0.182371859302
ACH-000182,-0.125080631994
ACH-000183,-0.20505408342099998
ACH-000188,-0.434592909071
ACH-000189,-0.269710593522
ACH-000190,-0.16867575368
ACH-000198,-0.374997400576
ACH-000204,-0.226403524937
ACH-000206,-0.20758286186
ACH-000207,-0.399352436813
ACH-000211,-0.18173360994899998
ACH-000215,-0.40509176858400003
ACH-000221,-0.563578932364
ACH-000222,-0.08752250449439998
ACH-000223,-0.194423679764
ACH-000226,-0.36073146595100003
ACH-000227,-0.544299561448
ACH-000228,-0.356133030457
ACH-000231,-0.3509369103
