,CIART (148523)
ACH-000004,-0.36130686701
ACH-000007,-0.41005419716799996
ACH-000009,-0.393647719907
ACH-000011,-0.123560187414
ACH-000012,-0.260980976303
ACH-000013,-0.0719225396316
ACH-000014,-0.37463027753300004
ACH-000015,-0.264384346665
ACH-000017,0.017315969354900002
ACH-000018,-0.45482649064499997
ACH-000019,-0.480079856009
ACH-000021,-0.470490410013
ACH-000022,-0.14295915909600002
ACH-000025,-0.227346587297
ACH-000028,-0.20367165691300002
ACH-000030,-0.20397533413199997
ACH-000035,-0.36329361395099996
ACH-000036,-0.19579819757800002
ACH-000037,-0.0453585281865
ACH-000039,-0.35272907740500004
ACH-000040,-0.0975072479679
ACH-000041,0.018897968745400003
ACH-000042,-0.157414215199
ACH-000045,-0.112665710854
ACH-000047,-0.0851529830595
ACH-000052,-0.331664226761
ACH-000053,-0.5647839664150001
ACH-000054,0.00637053019275
ACH-000055,-0.275814431087
ACH-000060,-0.09065623595760001
ACH-000067,-0.186393306826
ACH-000070,-0.20065418173799998
ACH-000075,-0.18856291105300002
ACH-000078,-0.451736947647
ACH-000082,-0.162307350637
ACH-000085,-0.0762148717738
ACH-000086,-0.378646639402
ACH-000087,0.323043398944
ACH-000092,-0.26822527552299996
ACH-000095,-0.35468902524400003
ACH-000097,-0.199371174246
ACH-000098,-0.291761274109
ACH-000099,-0.139219036201
ACH-000108,-0.169861510585
ACH-000113,-0.363925252915
ACH-000115,-0.516449958601
ACH-000116,-0.2115552174
ACH-000118,-0.17679403923700002
ACH-000120,-0.291551583429
ACH-000123,-0.469361846887
ACH-000127,-0.11147824206700001
ACH-000128,-0.17535215462499998
ACH-000132,-0.0985128138769
ACH-000133,-0.41026459674500004
ACH-000137,-0.190959638789
ACH-000138,-0.160990359468
ACH-000142,-0.25450997291
ACH-000143,-0.12949965113
ACH-000146,-0.17718346197
ACH-000148,-0.22763938267499997
ACH-000150,-0.0998635457824
ACH-000152,-0.09060573792339999
ACH-000153,-0.0311952234483
ACH-000159,-0.29490608976599997
ACH-000160,-0.015055363946
ACH-000163,-0.333604517471
ACH-000167,-0.187071897969
ACH-000168,-0.21691191600499998
ACH-000169,-0.0835092178987
ACH-000178,-0.0883960023762
ACH-000182,-0.0421284033942
ACH-000183,-0.49815062330700005
ACH-000188,-0.17406248905299998
ACH-000189,-0.10206576441
ACH-000190,-0.141480228511
ACH-000198,-0.26696062100900003
ACH-000204,-0.171970945735
ACH-000206,0.120745555933
ACH-000207,-0.058803369143199995
ACH-000211,-0.21608628118099998
ACH-000215,-0.121999927467
ACH-000221,-0.268344849105
ACH-000222,-0.150511910772
ACH-000223,-0.11055505486
ACH-000226,-0.43790977026600003
ACH-000227,-0.00141373772573
ACH-000228,-0.169978444424
ACH-000231,-0.212502850799
ACH-000232,-0.309327320204
ACH-000233,-0.243620333523
ACH-000234,-0.08714985920889999
ACH-000235,-0.187280638919
ACH-000237,-0.160057017555
ACH-000238,-0.146425632198
ACH-000243,-0.158812938388
ACH-000244,-0.192532271656
ACH-000246,-0.132818624465
ACH-000248,-0.24123564800900002
ACH-000250,0.015279712558899998
ACH-000251,-0.106273061359
ACH-000253,-0.126544506204
ACH-000255,-0.19736162968600002
ACH-000256,-0.24621509501299998
ACH-000257,0.0403770930724
ACH-000258,-0.273731866867
ACH-000259,-0.191328700973
ACH-000260,-0.241619413919
ACH-000261,-0.0516676562797
ACH-000262,-0.11459362541099999
ACH-000263,-0.26485230372699997
ACH-000264,-0.299652385973
ACH-000265,-0.0933636378025
ACH-000266,-0.137709440668
ACH-000272,-0.261048762296
ACH-000273,-0.34141121316600004
ACH-000274,0.054283800538
ACH-000277,-0.116199591828
ACH-000278,-0.20781528492899998
ACH-000279,-0.127838578954
ACH-000280,-0.351853978228
ACH-000281,-0.398679286454
ACH-000288,-0.193385144413
ACH-000291,-0.126615989479
ACH-000293,-0.130427673204
ACH-000294,-0.369512218786
ACH-000295,-0.249352205871
ACH-000296,-0.08996180700470001
ACH-000302,-0.139949087636
ACH-000304,0.355325181062
ACH-000307,-0.0634921965795
ACH-000308,-0.0768369117204
ACH-000310,-0.274232102792
ACH-000311,-0.164360084119
ACH-000312,-0.0681850502993
ACH-000315,-0.17294839028499998
ACH-000316,-0.0726129049208
ACH-000317,-0.018305985236099998
ACH-000318,-0.132744158719
ACH-000319,-0.174673655438
ACH-000320,-0.155532988192
ACH-000322,-0.134269430031
ACH-000323,-0.08887883859710001
ACH-000324,-0.21829917222
ACH-000329,-0.22720260946999996
ACH-000330,-0.228612708785
ACH-000331,-0.0917750463999
ACH-000332,-0.105006430546
ACH-000334,-0.379631230185
ACH-000335,-0.29461369515999997
ACH-000336,-0.318651789643
ACH-000337,-0.268432409626
ACH-000339,0.0219818336264
ACH-000341,-0.404393785906
ACH-000348,-0.149833154695
ACH-000350,-0.571940380145
ACH-000352,-0.141703038221
ACH-000356,-0.199751329758
ACH-000361,-0.192005059083
ACH-000362,-0.24276576198000002
ACH-000363,-0.123916668271
ACH-000364,-0.154523536165
ACH-000365,-0.245948841232
ACH-000366,-0.13543415944499998
ACH-000368,-0.0647615629158
ACH-000374,-0.207706605883
ACH-000375,-0.0812671150993
ACH-000376,-0.220803634064
ACH-000381,-0.464458904328
ACH-000383,-0.151712395826
ACH-000387,-0.158416014778
ACH-000389,-0.0647616538877
ACH-000390,-0.45324431396399995
ACH-000393,0.0230655275397
ACH-000395,-0.116534636119
ACH-000397,-0.07303036106619999
ACH-000401,-0.243910533865
ACH-000402,-0.399679158415
ACH-000403,-0.290400577952
ACH-000404,-0.169331650915
