,MEMO1 (51072)
ACH-000004,-0.754401830141
ACH-000007,-0.370881317277
ACH-000009,-0.210308971345
ACH-000011,-0.8350057860789999
ACH-000012,-0.56730102014
ACH-000013,-0.501147900918
ACH-000014,-0.00900800114692
ACH-000015,-0.0968693623887
ACH-000017,-0.44071979613000006
ACH-000018,-0.248691436237
ACH-000019,-0.593052526479
ACH-000021,-0.26077560182799997
ACH-000022,-0.154042835163
ACH-000025,-0.5056322404029999
ACH-000028,-0.697880846909
ACH-000030,-0.566519830498
ACH-000035,-0.522591267038
ACH-000036,-0.76402458581
ACH-000037,-0.5371129624350001
ACH-000039,-0.25074667324
ACH-000040,-0.37049898773199996
ACH-000041,-0.401452057989
ACH-000042,-0.440801208403
ACH-000045,-0.420870060907
ACH-000047,-0.6472351065690001
ACH-000052,-0.052001145635900005
ACH-000053,-0.10450730203099999
ACH-000054,-0.47806258257600004
ACH-000055,-0.413391041508
ACH-000060,-0.399423151186
ACH-000067,-0.218837327307
ACH-000070,-0.22488328358399998
ACH-000075,-0.296657176798
ACH-000078,-0.594133475005
ACH-000082,-0.6599790329699999
ACH-000085,-0.609531041659
ACH-000086,-0.44802065982100003
ACH-000087,-0.537615872777
ACH-000092,-0.829727635175
ACH-000095,-0.36937482282
ACH-000097,-0.561534210138
ACH-000098,-0.41672060140100003
ACH-000099,-0.583138092934
ACH-000108,-0.40465086134800005
ACH-000113,-0.05737664378290001
ACH-000115,-0.581590257477
ACH-000116,-0.710446898372
ACH-000118,-0.662784399444
ACH-000120,-0.576339140215
ACH-000123,-0.436807367944
ACH-000127,-0.445789533388
ACH-000128,-0.413339917046
ACH-000132,-0.429212271844
ACH-000133,-0.390546761729
ACH-000137,-0.225635200189
ACH-000138,-0.40355017860200004
ACH-000142,-0.5805194007069999
ACH-000143,-0.358081002646
ACH-000146,-0.214773240904
ACH-000148,-0.3332800882
ACH-000150,-0.731304614136
ACH-000152,-0.537266010288
ACH-000153,-0.38241334662
ACH-000159,-0.477637374913
ACH-000160,0.29630505235
ACH-000163,-0.116269219825
ACH-000167,0.489966426401
ACH-000168,-0.34099015089199997
ACH-000169,-0.225392628125
ACH-000178,-0.6918255780589999
ACH-000182,-0.281210020687
ACH-000183,-0.191116244466
ACH-000188,-0.687830173216
ACH-000189,-0.435415562338
ACH-000190,0.0980758027464
ACH-000198,-0.281503412633
ACH-000204,-0.074160545486
ACH-000206,-0.543732049071
ACH-000207,0.16641800734099998
ACH-000211,-0.349353553584
ACH-000215,-0.420319134577
ACH-000221,-0.322656822007
ACH-000222,-0.431891677122
ACH-000223,-0.55574947185
ACH-000226,-0.424603261184
ACH-000227,-0.158299217742
ACH-000228,-0.41898738116400003
ACH-000231,-0.640456067461
ACH-000232,-0.479548691228
ACH-000233,-0.16792991037000002
ACH-000234,-0.48352081422399995
ACH-000235,-0.49921626733499996
ACH-000237,-0.503050053693
ACH-000238,-0.9229851197560001
ACH-000243,-0.47969535702699995
