,RAN (5901)
ACH-000004,-2.37193812797
ACH-000007,-2.0437307698400002
ACH-000009,-2.38174754646
ACH-000011,-2.76023164705
ACH-000012,-2.12691667089
ACH-000013,-2.58105346564
ACH-000014,-2.4637590875
ACH-000015,-2.20067491592
ACH-000017,-2.52239321454
ACH-000018,-1.6220461060799998
ACH-000019,-2.7118764531299995
ACH-000021,-2.28400770337
ACH-000022,-2.66808111676
ACH-000025,-2.10982924175
ACH-000028,-2.391770185
ACH-000030,-2.5148315124900003
ACH-000035,-1.63067656223
ACH-000036,-2.12028113803
ACH-000037,-3.0582973154900004
ACH-000039,-2.51675846656
ACH-000040,-2.14832541089
ACH-000041,-2.44876589186
ACH-000042,-2.4631810724200003
ACH-000045,-2.6672349964200004
ACH-000047,-2.5191789949200003
ACH-000052,-1.66768186816
ACH-000053,-2.23557419626
ACH-000054,-2.13992758933
ACH-000055,-2.74818607376
ACH-000060,-2.42185727641
ACH-000067,-1.6481589850100002
ACH-000070,-2.38410270906
ACH-000075,-1.6942483878999999
ACH-000078,-2.4667046863
ACH-000082,-2.61665272602
ACH-000085,-2.0042489948199997
ACH-000086,-1.95104093137
ACH-000087,-2.3513671627900004
ACH-000092,-2.19746875379
ACH-000095,-2.74510727329
ACH-000097,-2.53126072003
ACH-000098,-2.17988219847
ACH-000099,-2.43598291715
ACH-000108,-2.42176311968
ACH-000113,-2.61915912599
ACH-000115,-3.60483862449
ACH-000116,-2.4077461499400004
ACH-000118,-2.10398401509
ACH-000120,-2.2734992138999996
ACH-000123,-2.1488243629599997
ACH-000127,-2.36593585476
ACH-000128,-2.1753702717200003
ACH-000132,-2.31400307622
ACH-000133,-2.15807591586
ACH-000137,-2.04611683247
ACH-000138,-2.29134507776
ACH-000142,-2.3617342253799998
ACH-000143,-2.3759266600099997
ACH-000146,-3.1449342601300003
ACH-000148,-2.5213066488599996
ACH-000150,-2.4306965329400003
ACH-000152,-1.61414966347
ACH-000153,-2.50652447346
ACH-000159,-1.9549111863099997
ACH-000160,-2.04505573457
ACH-000163,-2.45638882506
ACH-000167,-2.05680883915
ACH-000168,-2.4317201534599997
ACH-000169,-2.32235931502
ACH-000178,-2.3038952896500002
ACH-000182,-2.4376193340900003
ACH-000183,-2.54422124937
ACH-000188,-2.14007267543
ACH-000189,-1.58204395507
ACH-000190,-1.85974132352
ACH-000198,-2.80280869977
ACH-000204,-2.16176958471
ACH-000206,-2.7458259709099995
ACH-000207,-2.90511357814
ACH-000211,-1.9990495886400002
ACH-000215,-2.3479824704900003
ACH-000221,-2.32334028847
ACH-000222,-2.24108967467
ACH-000223,-2.2630023417299996
ACH-000226,-2.48471754648
ACH-000227,-2.53972166989
ACH-000228,-2.0139755961700003
ACH-000231,-2.1392908878
ACH-000232,-2.60654691968
ACH-000233,-2.7260971552999997
ACH-000234,-2.7615298393799996
ACH-000235,-2.3623877144599996
ACH-000237,-2.2146294549400003
ACH-000238,-2.20779727391
ACH-000243,-2.34182775275
ACH-000244,-2.0669328365
ACH-000246,-2.34101894371
ACH-000248,-2.0068845351099998
ACH-000250,-2.1783407709400002
ACH-000251,-3.3668538997299997
ACH-000253,-2.37780287526
ACH-000255,-1.9372695833900002
ACH-000256,-2.3807513228099997
ACH-000257,-2.40244716649
ACH-000258,-1.63540780476
ACH-000259,-2.71348621467
ACH-000260,-2.2885511167700003
ACH-000261,-2.50427002812
ACH-000262,-2.1459301588099997
ACH-000263,-2.54934854322
ACH-000264,-2.20461794138
ACH-000265,-2.30358216471
ACH-000266,-2.22732956779
ACH-000272,-2.07843874272
ACH-000273,-2.18588854049
ACH-000274,-2.43707716065
ACH-000277,-2.7198474230699996
ACH-000278,-2.1168687102
ACH-000279,-2.36979454328
ACH-000280,-2.2563817828
ACH-000281,-1.89473790937
ACH-000288,-2.1889661305900003
ACH-000291,-2.57007876338
ACH-000293,-2.82823538145
ACH-000294,-2.59867166188
ACH-000295,-2.26582204643
ACH-000296,-1.9740939895299998
ACH-000302,-2.89247344442
ACH-000304,-3.29257122505
ACH-000307,-2.35397759137
ACH-000308,-2.32477283408
ACH-000310,-2.4282949316
ACH-000311,-2.8041697911799996
ACH-000312,-2.0261226228
ACH-000315,-2.4065036279
ACH-000316,-1.6733415912
ACH-000317,-2.19424962433
ACH-000318,-2.80258028446
ACH-000319,-1.68101296292
ACH-000320,-2.14740601949
ACH-000322,-2.0602125358200003
ACH-000323,-1.7792235358300001
ACH-000324,-2.20976970772
ACH-000329,-2.5519651088499997
ACH-000330,-1.9153183298099998
ACH-000331,-2.10545404663
ACH-000332,-2.4015570573900002
ACH-000334,-3.43354316874
ACH-000335,-2.16360173021
ACH-000336,-2.5484352010799998
ACH-000337,-2.4530156246
ACH-000339,-2.29554059804
ACH-000341,-2.5116698891400002
ACH-000348,-2.6807717832700004
ACH-000350,-3.0062936597400003
ACH-000352,-2.30645892583
ACH-000356,-1.97357828863
ACH-000361,-1.9889626859099998
ACH-000362,-2.8621310184400004
ACH-000363,-2.76600147837
ACH-000364,-2.38010243592
ACH-000365,-2.6185295584
ACH-000366,-2.35604134603
ACH-000368,-1.8345414469499999
ACH-000374,-2.0867891333099995
ACH-000375,-2.54141604853
ACH-000376,-2.16354428931
ACH-000381,-2.1259061405
ACH-000383,-2.43622666933
ACH-000387,-2.61836332811
ACH-000389,-2.01294164868
ACH-000390,-2.39487222505
ACH-000393,-2.16099331036
ACH-000395,-2.33774496125
ACH-000397,-2.26937612575
ACH-000401,-2.50946985535
ACH-000402,-1.98315631259
ACH-000403,-2.63972535045
ACH-000404,-2.34028537851
ACH-000406,-2.80690531698
ACH-000407,-2.0474514364700003
ACH-000408,-1.90559391893
ACH-000410,-2.04484447273
ACH-000411,-2.15644953512
ACH-000414,-2.65945771495
ACH-000415,-2.0547598797799997
ACH-000416,-2.07930557007
ACH-000420,-2.07763721088
ACH-000421,-2.00786184834
