,DIS3 (22894)
ACH-000004,-1.04666202823
ACH-000007,-0.5370364469309999
ACH-000009,-0.7689803501350001
ACH-000011,-0.99245109419
ACH-000012,-1.01579719101
ACH-000013,-1.1227358788
ACH-000014,-0.980597818563
ACH-000015,-1.10763390109
ACH-000017,-0.8604137632359999
ACH-000018,-0.632429852908
ACH-000019,-0.928252251558
ACH-000021,-1.0294004262
ACH-000022,-0.746596994701
ACH-000025,-1.0362560504
ACH-000028,-1.03873057043
ACH-000030,-0.9606187608700001
ACH-000035,-1.20378708813
ACH-000036,-0.8017432648039999
ACH-000037,-1.58180846072
ACH-000039,-0.819323652558
ACH-000040,-0.951824636004
ACH-000041,-0.5512035081669999
ACH-000042,-1.18638270382
ACH-000045,-0.787497300394
ACH-000047,-1.0282119133499998
ACH-000052,-0.9646181872840001
ACH-000053,-0.9422267604539999
ACH-000054,-0.824541435435
ACH-000055,-0.857156915815
ACH-000060,-1.0714348528
ACH-000067,-1.01015350942
ACH-000070,-0.8596818337559999
ACH-000075,-0.901056045445
ACH-000078,-0.64909351662
ACH-000082,-0.8290701567309999
ACH-000085,-0.8079605915279999
ACH-000086,-1.24388569211
ACH-000087,-0.76294240515
ACH-000092,-0.7714898610519999
ACH-000095,-0.803433429689
ACH-000097,-1.08366753974
ACH-000098,-1.06810659001
ACH-000099,-1.0019081200700002
ACH-000108,-0.707493952438
ACH-000113,-0.7892070378110001
ACH-000115,-1.12533400903
ACH-000116,-0.9267347943459999
ACH-000118,-0.8645752432029999
ACH-000120,-0.819526471461
ACH-000123,-0.8626866609530001
ACH-000127,-1.0051112634100001
ACH-000128,-0.79655556155
ACH-000132,-0.900786555349
ACH-000133,-0.907316101884
ACH-000137,-0.701559339752
ACH-000138,-1.06534059784
ACH-000142,-0.8608205335079999
ACH-000143,-1.16368077741
ACH-000146,-1.1539351510100002
ACH-000148,-1.0051987024
ACH-000150,-0.836932122053
ACH-000152,-0.766237554268
ACH-000153,-0.9966528838519999
ACH-000159,-0.9123679157469999
ACH-000160,-1.1468378160100001
ACH-000163,-1.2090669242799998
ACH-000167,-1.2846935622
ACH-000168,-0.8949818550249999
ACH-000169,-1.13611628567
ACH-000178,-0.84922975328
ACH-000182,-0.9586340648430001
ACH-000183,-0.7394571718080001
ACH-000188,-1.115378618
ACH-000189,-1.3306591131899999
ACH-000190,-1.1096124117200001
ACH-000198,-0.985108950013
ACH-000204,-0.9571846857690001
ACH-000206,-0.941963219037
ACH-000207,-0.793357628292
ACH-000211,-0.894503768475
ACH-000215,-1.1201114808700001
ACH-000221,-0.841238483465
ACH-000222,-0.8733713929979999
ACH-000223,-0.8706494887139999
ACH-000226,-0.9256985915870001
ACH-000227,-0.5195144798369999
ACH-000228,-0.7509685858030001
ACH-000231,-0.995163343698
ACH-000232,-0.8545551452269999
ACH-000233,-0.835248900191
ACH-000234,-0.761310074071
ACH-000235,-0.8384928754100001
ACH-000237,-0.988442032614
ACH-000238,-0.806112993433
ACH-000243,-0.831168770976
ACH-000244,-0.924272412009
ACH-000246,-0.984066790887
ACH-000248,-1.07011625864
ACH-000250,-1.0159613027299998
ACH-000251,-1.3162596882
ACH-000253,-0.706790139794
ACH-000255,-0.910925019084
ACH-000256,-1.06391053497
ACH-000257,-0.877076312886
ACH-000258,-0.969623778691
ACH-000259,-1.00349122434
ACH-000260,-0.990609498556
ACH-000261,-0.5667221091870001
ACH-000262,-0.839266604135
ACH-000263,-0.679154127516
ACH-000264,-0.601174641844
ACH-000265,-0.937037237615
ACH-000266,-1.11973293406
ACH-000272,-0.7928120289489999
ACH-000273,-0.9076327913869999
ACH-000274,-0.607639512267
ACH-000277,-0.501892767121
ACH-000278,-1.2267407105600001
ACH-000279,-0.91480165865
ACH-000280,-0.8467690460420001
ACH-000281,-0.9124974452529999
ACH-000288,-0.8920559849899999
ACH-000291,-0.7275766211720001
ACH-000293,-1.3651803977399999
ACH-000294,-1.0925483712200001
ACH-000295,-0.721481366951
ACH-000296,-0.801594392728
ACH-000302,-1.1577517600700002
ACH-000304,-0.74281427764
ACH-000307,-1.0670717029
ACH-000308,-0.783219531922
ACH-000310,-0.8615201561139999
ACH-000311,-1.14058376909
ACH-000312,-0.9357343955299999
ACH-000315,-1.04418354338
ACH-000316,-1.25081602485
ACH-000317,-0.947720878786
ACH-000318,-0.883081229544
ACH-000319,-0.754077401221
ACH-000320,-1.29748176014
ACH-000322,-0.674871298495
ACH-000323,-0.796135020933
ACH-000324,-1.17738357
ACH-000329,-0.6297894325600001
ACH-000330,-0.74732227921
ACH-000331,-1.0848391022200001
ACH-000332,-1.08155164777
ACH-000334,-0.906207850349
ACH-000335,-1.06143579785
ACH-000336,-0.952208198148
ACH-000337,-0.707305200877
ACH-000339,-1.10778993557
ACH-000341,-0.793917780668
ACH-000348,-0.854815745316
ACH-000350,-0.709319561907
ACH-000352,-0.8967678107260001
ACH-000356,-0.900857272577
ACH-000361,-0.913393932135
ACH-000362,-0.914087746752
ACH-000363,-0.450998573051
ACH-000364,-0.882239378009
ACH-000365,-0.775245794272
ACH-000366,-0.735744823682
ACH-000368,-0.864308028989
ACH-000374,-1.0877058488200002
ACH-000375,-0.7506445940559999
ACH-000376,-1.0003922562
ACH-000381,-0.8256939035649999
ACH-000383,-1.1804641380399998
ACH-000387,-1.2032132779
ACH-000389,-1.24696709905
ACH-000390,-0.8033695860160001
ACH-000393,-0.7681523845329999
ACH-000395,-0.9662404290019999
ACH-000397,-0.940229331169
ACH-000401,-0.512972092628
ACH-000402,-0.5206129388
ACH-000403,-0.711281449807
ACH-000404,-0.797219160138
ACH-000406,-0.828174394849
ACH-000407,-0.7490846043539999
ACH-000408,-1.0843560298700001
ACH-000410,-0.853424871633
ACH-000411,-1.01845828818
ACH-000414,-1.0434270694399999
ACH-000415,-1.0286200188299999
ACH-000416,-1.0033964018000001
ACH-000420,-0.959697752225
ACH-000421,-1.03879533596
ACH-000424,-0.735630928801
ACH-000425,-1.02635624378
ACH-000426,-1.0121690903
ACH-000427,-0.8462900818699999
