,LMBR1L (55716)
ACH-000004,-0.16883524110800002
ACH-000007,-0.0938156449388
ACH-000009,-0.211314788958
ACH-000011,-0.229398146272
ACH-000012,-0.09319270578680001
ACH-000013,-0.121887109889
ACH-000014,-0.11404341634000001
ACH-000015,-0.284554380856
ACH-000017,-0.185044587761
ACH-000018,-0.39856770348000004
ACH-000019,-0.046936775107899995
ACH-000021,-0.133123305542
ACH-000022,-0.16369236965199999
ACH-000025,-0.321381516319
ACH-000028,-0.192022943238
ACH-000030,-0.163756106217
ACH-000035,-0.339304864545
ACH-000036,-0.08744510967389998
ACH-000037,-0.25509782589499996
ACH-000039,-0.245256505795
ACH-000040,-0.285914932368
ACH-000041,-0.134185944078
ACH-000042,-0.0689729268069
ACH-000045,-0.008909739044440002
ACH-000047,-0.184190774943
ACH-000052,-0.141412212336
ACH-000053,-0.236630971752
ACH-000054,0.052327384775400006
ACH-000055,-0.144303067053
ACH-000060,0.0494164439411
ACH-000067,-0.23889904192699998
ACH-000070,-0.183923050398
ACH-000075,-0.23469391531
ACH-000078,-0.0484262333603
ACH-000082,-0.110863749938
ACH-000085,-0.16806643379900002
ACH-000086,-0.37892331001900004
ACH-000087,0.00149046345473
ACH-000092,-0.180031394441
ACH-000095,-0.10894349896700001
ACH-000097,-0.21421723615899999
ACH-000098,-0.195912732848
ACH-000099,-0.07607475947970001
ACH-000108,-0.0145156715359
ACH-000113,-0.163315792058
ACH-000115,-0.14431352399
ACH-000116,-0.0034094030136899997
ACH-000118,-0.257067690636
ACH-000120,-0.150466329865
ACH-000123,-0.285192588425
ACH-000127,-0.12312708116599999
ACH-000128,-0.273507152819
ACH-000132,0.043728582191199995
ACH-000133,-0.284200216635
ACH-000137,-0.0309993558899
ACH-000138,-0.24361978392099998
ACH-000142,-0.116133273128
ACH-000143,-0.293404588575
ACH-000146,-0.113744906588
ACH-000148,-0.22802689449400002
ACH-000150,-0.35741369144900004
ACH-000152,-0.17674305355999997
ACH-000153,-0.289717715654
ACH-000159,-0.0811470787578
ACH-000160,-0.131009163371
ACH-000163,-0.278016692593
ACH-000167,-0.340077364085
ACH-000168,-0.21204229126600002
ACH-000169,-0.061702769860000006
ACH-000178,-0.11886258163100001
ACH-000182,-0.183003377064
ACH-000183,0.0201647668626
ACH-000188,0.0233040128768
ACH-000189,-0.206293949073
ACH-000190,-0.00827090795872
ACH-000198,-0.166687155942
ACH-000204,-0.387347499134
ACH-000206,-0.0408608765349
ACH-000207,-0.265557073691
ACH-000211,-0.20604984199
ACH-000215,-0.142576616952
ACH-000221,-0.0776999405127
ACH-000222,-0.180937323651
ACH-000223,-0.12178309032700001
ACH-000226,-0.038526629224699994
ACH-000227,-0.257388123558
ACH-000228,-0.294513950484
ACH-000231,-0.0781100115597
ACH-000232,-0.154070357712
ACH-000233,-0.0200098748479
ACH-000234,-0.15094364515
ACH-000235,-0.216992899463
ACH-000237,-0.244052252568
ACH-000238,-0.103678550251
ACH-000243,-0.11384838357
ACH-000244,0.031637857139
ACH-000246,-0.23579355085099998
ACH-000248,-0.401888797054
ACH-000250,-0.104904561152
ACH-000251,-0.09392032118060001
ACH-000253,-0.058302572722699994
ACH-000255,-0.208127022599
ACH-000256,-0.155632202946
ACH-000257,-0.303228524638
ACH-000258,-0.36157029646600003
ACH-000259,-0.0673561763917
ACH-000260,-0.153686594747
ACH-000261,-0.132627966149
ACH-000262,0.0201566086087
ACH-000263,-0.303650201402
ACH-000264,-0.328579450068
ACH-000265,-0.15957235502999997
ACH-000266,-0.288323712441
ACH-000272,-0.158630812203
ACH-000273,-0.245846245332
ACH-000274,-0.0944259251598
ACH-000277,-0.200691523811
ACH-000278,-0.280192549454
ACH-000279,-0.206913993942
ACH-000280,-0.147301343797
ACH-000281,-0.40944927058499997
ACH-000288,-0.299453593013
ACH-000291,-0.17710072890099998
ACH-000293,0.046513881370900005
ACH-000294,-0.163018297969
ACH-000295,-0.12642990538499999
ACH-000296,-0.25342108573000005
ACH-000302,-0.27367481374
ACH-000304,-0.25395991199900003
ACH-000307,0.07579384192439999
ACH-000308,-0.26832291799
ACH-000310,0.022757906706
ACH-000311,-0.00498270279874
ACH-000312,-0.19940502180599998
ACH-000315,-0.0756861059914
ACH-000316,-0.339152252717
ACH-000317,-0.07271609716199999
ACH-000318,-0.17580747089
ACH-000319,-0.253004001801
ACH-000320,-0.15098017310999998
ACH-000322,-0.265067772105
ACH-000323,-0.000611172326684
ACH-000324,-0.118901676865
ACH-000329,-0.104348587586
ACH-000330,-0.211781242533
ACH-000331,-0.20188641097399998
ACH-000332,-0.181659274301
ACH-000334,-0.304539872524
ACH-000335,-0.271062788008
ACH-000336,-0.303428514727
ACH-000337,-0.184250306187
ACH-000339,-0.189690371597
ACH-000341,0.00805511091088
ACH-000348,-0.26624939431899997
ACH-000350,-0.0680119773461
ACH-000352,-0.189816455009
ACH-000356,-0.425553583714
ACH-000361,0.0456058114678
ACH-000362,-0.0461272533411
ACH-000363,-0.0146848408968
ACH-000364,-0.147996424695
ACH-000365,-0.261992547792
ACH-000366,-0.145213767873
ACH-000368,-0.378474560309
ACH-000374,-0.257396125198
ACH-000375,-0.0669148041107
ACH-000376,-0.124926354931
ACH-000381,0.00924074785881
ACH-000383,-0.100418217817
ACH-000387,-0.274681058737
ACH-000389,-0.101256475022
ACH-000390,0.007977424184560001
ACH-000393,0.00577679944663
ACH-000395,-0.295595057563
ACH-000397,-0.180940669089
ACH-000401,0.044624180719800004
ACH-000402,-0.6625249565829999
ACH-000403,-0.09750411378650001
ACH-000404,-0.331204631602
ACH-000406,-0.260589512335
ACH-000407,-0.20392076857500002
ACH-000408,-0.286003604207
ACH-000410,-0.26533945827100003
ACH-000411,-0.0333080511571
ACH-000414,-0.19494020056699998
ACH-000415,-0.20419230300500002
ACH-000416,-0.09252080844910002
ACH-000420,-0.06478532884190001
ACH-000421,-0.24004377475400002
ACH-000424,-0.341174679674
ACH-000425,-0.132589736511
ACH-000426,-0.22206101473200002
ACH-000427,-0.25064196910500003
ACH-000433,-0.0192992864984
ACH-000436,-0.22572749309300003
ACH-000444,0.0274333017661
ACH-000445,-0.176277602145
ACH-000448,-0.18301478946
ACH-000450,-0.10115235496300001
ACH-000452,-0.34823054502899997
ACH-000454,-0.16837326118299997
ACH-000458,-0.11078958757000001
ACH-000459,-0.025417814961399998
ACH-000460,-0.189902727824
ACH-000461,-0.334727733604
ACH-000463,-0.224046597967
ACH-000464,-0.284563439546
ACH-000466,-0.142496298059
ACH-000467,-0.101045082995
ACH-000468,-0.289900297055
ACH-000469,-0.15096885008400002
ACH-000470,-0.363010169756
ACH-000471,-0.334926867124
ACH-000472,-0.207845217266
ACH-000473,-0.0685440198204
ACH-000475,-0.128890046549
ACH-000476,-0.228005288747
ACH-000477,-0.23046585863699998
ACH-000480,-0.325748216512
ACH-000481,-0.22631493242800002
ACH-000483,-0.13472987620500002
ACH-000484,0.05103491421590001
ACH-000485,-0.331863829168
ACH-000486,-0.119149177249
ACH-000487,-0.254640199374
ACH-000488,-0.24308737305199998
ACH-000490,-0.126828116541
ACH-000491,-0.189023141305
