,PSMG1 (8624)
ACH-000004,-1.04139741531
ACH-000007,-0.8357131013510001
ACH-000009,-1.1389564795
ACH-000011,-1.09693031145
ACH-000012,-0.5785277948800001
ACH-000013,-0.7732030044600001
ACH-000014,-0.725939840544
ACH-000015,-0.877088096789
ACH-000017,-0.42814566424500006
ACH-000018,-1.09871151367
ACH-000019,-0.6214190403450001
ACH-000021,-0.956296109043
ACH-000022,-1.45547920348
ACH-000025,-1.1095689389299999
ACH-000028,-0.974893177544
ACH-000030,-0.6561050999979999
ACH-000035,-0.6363508277090001
ACH-000036,-0.879065665571
ACH-000037,-0.270356847703
ACH-000039,-0.469565119314
ACH-000040,-1.04156695554
ACH-000041,-0.35758503487300003
ACH-000042,-1.24277019925
ACH-000045,-0.972541514569
ACH-000047,-0.22467809574900002
ACH-000052,-0.7031848421
ACH-000053,-0.807021555072
ACH-000054,-0.983125111195
ACH-000055,-1.2467068578799998
ACH-000060,-1.3596477517200003
ACH-000067,-0.979254180562
ACH-000070,-0.965312860861
ACH-000075,-1.3297382787
ACH-000078,-0.576757868875
ACH-000082,-1.22899824481
ACH-000085,-0.782303921899
ACH-000086,-0.145551752178
ACH-000087,-0.792630818752
ACH-000092,-0.552656924908
ACH-000095,-0.9560770141130001
ACH-000097,-0.84583004487
ACH-000098,-0.416781993604
ACH-000099,-0.848891380319
ACH-000108,-0.308561227397
ACH-000113,-0.821020456198
ACH-000115,-0.620126745124
ACH-000116,-1.3548182719600002
ACH-000118,-1.2474922236200001
ACH-000120,-1.16456787336
ACH-000123,-0.726427068494
ACH-000127,-1.19807367036
ACH-000128,-0.982879688672
ACH-000132,-0.346393850527
ACH-000133,-0.767910751978
ACH-000137,-1.02213672969
ACH-000138,-1.3759893959600002
ACH-000142,-1.02486439376
ACH-000143,-1.26862387142
ACH-000146,-1.40603942029
ACH-000148,-0.716762749549
ACH-000150,-0.782249058581
ACH-000152,-0.5135313551089999
ACH-000153,-2.13584134409
ACH-000159,-0.37843793601899994
ACH-000160,-1.55040024977
ACH-000163,-0.580033319593
ACH-000167,-1.07994952525
ACH-000168,-1.33664030268
ACH-000169,-1.1001294694700001
ACH-000178,-0.538394806189
ACH-000182,-1.20424212823
ACH-000183,-0.325320519799
ACH-000188,-0.6771949698790001
ACH-000189,-0.0598322862377
ACH-000190,-0.886762218442
ACH-000198,-0.973424780844
ACH-000204,-0.764393866536
ACH-000206,-1.0699826644700001
ACH-000207,-1.15767548736
ACH-000211,-1.1362517813500002
ACH-000215,-0.46740810446599995
ACH-000221,-0.7842931484569999
ACH-000222,-0.42428621118
ACH-000223,-0.848044840902
ACH-000226,-0.977616439726
ACH-000227,-0.5118038808500001
ACH-000228,-0.6815238044419999
ACH-000231,-0.719503755693
ACH-000232,-1.1560561319
ACH-000233,-0.911384683178
ACH-000234,-0.35109150858000004
ACH-000235,-1.21735337502
ACH-000237,-1.38880325454
ACH-000238,-0.908162245709
ACH-000243,-0.811103082421
ACH-000244,-0.7811232359370001
ACH-000246,-0.936345867457
ACH-000248,-1.3433918127200002
ACH-000250,-0.7317038676530001
ACH-000251,-1.12871815966
ACH-000253,-0.8682949558859999
ACH-000255,-1.2451862600599999
ACH-000256,-0.692375033976
ACH-000257,-0.6916613738899999
ACH-000258,-0.909708211491
ACH-000259,-0.979187063231
ACH-000260,-1.00529962031
ACH-000261,-0.0868131711272
ACH-000262,-0.687980226045
ACH-000263,-0.603558540534
ACH-000264,-0.709431530192
ACH-000265,-1.02975761996
ACH-000266,-1.16789984372
ACH-000272,-0.586642595442
ACH-000273,-0.792245035557
ACH-000274,-0.569907336198
ACH-000277,-1.4322543054299999
ACH-000278,-0.968276900236
ACH-000279,-0.430759191888
ACH-000280,-0.825667090686
ACH-000281,-0.863040297618
ACH-000288,-0.731902342518
ACH-000291,-1.10601185017
ACH-000293,-0.27894706918400003
ACH-000294,-0.37305427760399995
ACH-000295,-0.817454696675
ACH-000296,-0.40006270431900004
ACH-000302,-0.314610277418
ACH-000304,-0.680649728097
ACH-000307,-1.34886478774
ACH-000308,-0.382231733078
ACH-000310,-0.542711897183
ACH-000311,-0.826140713531
ACH-000312,-0.806646208822
ACH-000315,-1.0575793759899998
ACH-000316,-1.09488618927
ACH-000317,-0.2431437793
ACH-000318,-1.07550530426
ACH-000319,-0.258111358749
ACH-000320,-0.8467367864920001
ACH-000322,-1.19292832138
ACH-000323,-0.607324648591
ACH-000324,-1.19088167548
ACH-000329,-0.8144930564
ACH-000330,-0.911802377243
ACH-000331,-0.397635777861
ACH-000332,-1.23967512884
ACH-000334,-0.657659171595
ACH-000335,-0.827468485106
ACH-000336,-0.953650520948
ACH-000337,-0.6757758668580001
ACH-000339,-0.7509480159119999
ACH-000341,-1.05737338276
ACH-000348,-0.859433195009
ACH-000350,-1.3012005693000002
