,VARS2 (57176)
ACH-000004,-0.580136576463
ACH-000007,-0.673422749269
ACH-000009,-0.551740747843
ACH-000011,-0.39836177832599995
ACH-000012,-1.0490022703
ACH-000013,-0.7856162479629999
ACH-000014,-0.6951986976540001
ACH-000015,-0.73938342546
ACH-000017,-0.633594349786
ACH-000018,-0.8822017858319999
ACH-000019,-0.837154870776
ACH-000021,-0.5375998435930001
ACH-000022,-0.625655482799
ACH-000025,-0.940147212465
ACH-000028,-0.7951679214990001
ACH-000030,-0.743767128009
ACH-000035,-0.914118063646
ACH-000036,-0.303897521395
ACH-000037,-0.955636721516
ACH-000039,-0.803496719091
ACH-000040,-0.440600036051
ACH-000041,-0.575042856261
ACH-000042,-0.40611585782700005
ACH-000045,-0.6086005714720001
ACH-000047,-0.808084811976
ACH-000052,-0.612720242584
ACH-000053,-0.33720773209
ACH-000054,-0.676264650301
ACH-000055,-0.33527293099100003
ACH-000060,-0.586937484986
ACH-000067,-0.55580288237
ACH-000070,-0.7522421936679999
ACH-000075,-0.48525966027199996
ACH-000078,-0.572879156053
ACH-000082,-0.701336429208
ACH-000085,-1.00869945405
ACH-000086,-1.0618913612899998
ACH-000087,-0.6435762383020001
ACH-000092,-0.40025417681500003
ACH-000095,-0.272452089753
ACH-000097,-0.514457569172
ACH-000098,-0.566436738087
ACH-000099,-0.694772991399
ACH-000108,-0.5483287097999999
ACH-000113,-0.588461632084
ACH-000115,-0.8575368366509999
ACH-000116,-0.5129017224360001
ACH-000118,-0.814094303105
ACH-000120,-0.639904995312
ACH-000123,-0.7935636472750001
ACH-000127,-0.978906533618
ACH-000128,-0.914691532743
ACH-000132,-0.829560783424
ACH-000133,-0.7174901187489999
ACH-000137,-0.620836488314
ACH-000138,-0.614973091349
ACH-000142,-0.571245989783
ACH-000143,-0.488931001628
ACH-000146,-0.817125504294
ACH-000148,-0.605357959939
ACH-000150,-0.764576179866
ACH-000152,-0.702946270139
ACH-000153,-0.934402143103
ACH-000159,-0.544768459965
ACH-000160,-0.936925478063
ACH-000163,-0.627247527987
ACH-000167,-0.396880513929
ACH-000168,-0.377587265521
ACH-000169,-0.820331865467
ACH-000178,-0.6753427376600001
ACH-000182,-1.0473977363299998
ACH-000183,-0.588089335089
ACH-000188,-0.397601393858
ACH-000189,-0.67221627525
ACH-000190,-0.8123735990500001
ACH-000198,-0.557581716396
ACH-000204,-0.8894808523819999
ACH-000206,-0.223946203354
ACH-000207,-1.18799943187
ACH-000211,-0.544527943385
ACH-000215,-0.7791068677349999
ACH-000221,-0.9594575973780001
ACH-000222,-0.533710380382
ACH-000223,-0.734498053735
ACH-000226,-0.646021872273
ACH-000227,-0.464632451329
ACH-000228,-0.7670082722120001
ACH-000231,-1.0805348397799999
ACH-000232,-0.716258075326
ACH-000233,-0.544465011612
ACH-000234,-0.637437462843
ACH-000235,-0.5505914216300001
ACH-000237,-0.38629469526
ACH-000238,-0.859466500992
ACH-000243,-0.33743323589100005
ACH-000244,-0.8778390331460001
ACH-000246,-0.626385197505
ACH-000248,-1.13373619909
ACH-000250,-0.468256997823
ACH-000251,-0.532770337107
ACH-000253,-0.5345506487789999
ACH-000255,-0.784265444128
ACH-000256,-0.702790743486
ACH-000257,-0.664900373899
ACH-000258,-1.01847851192
ACH-000259,-0.715209827849
ACH-000260,-0.386924371096
ACH-000261,-0.545844870006
ACH-000262,-0.43922886921099996
ACH-000263,-1.0366910171100001
ACH-000264,-0.6396742162919999
ACH-000265,-0.8961013695460001
ACH-000266,-0.378349305413
ACH-000272,-0.37929709864600003
ACH-000273,-0.634720915157
ACH-000274,-0.483670362628
ACH-000277,-0.773395237003
ACH-000278,-0.21491125224899998
ACH-000279,-0.863482879351
ACH-000280,-0.677364960959
ACH-000281,-0.794964067476
ACH-000288,-1.20700735549
ACH-000291,-0.779367563025
ACH-000293,-0.6220735143949999
ACH-000294,-0.669644268649
ACH-000295,-0.860970406157
ACH-000296,-0.656539502741
ACH-000302,-0.854401823692
ACH-000304,-0.7823305469840001
ACH-000307,-0.823820343855
ACH-000308,-0.594315206537
ACH-000310,-0.238116643042
ACH-000311,-0.647693581441
ACH-000312,-0.730190347888
ACH-000315,-0.524910470055
ACH-000316,-0.8550275170730001
ACH-000317,-1.0820972784799998
ACH-000318,-0.583475397183
ACH-000319,-0.477864843055
ACH-000320,-0.72676172425
ACH-000322,-0.46970564827100003
ACH-000323,-0.6911812103849999
ACH-000324,-0.557264723511
ACH-000329,-0.868200345217
ACH-000330,-0.8274497113539999
ACH-000331,-0.674184537474
ACH-000332,-0.24363736416700002
ACH-000334,-0.47042351608000005
ACH-000335,-0.6869438587360001
ACH-000336,-0.750778262429
ACH-000337,-0.880048722942
ACH-000339,-0.6160826838319999
ACH-000341,-0.33579320395999995
ACH-000348,-0.576477000302
ACH-000350,-0.579508707144
ACH-000352,-0.586808871639
ACH-000356,-0.6148358058250001
ACH-000361,-0.752642699788
ACH-000362,-0.475853851589
ACH-000363,-0.647648640541
ACH-000364,-0.591189339977
ACH-000365,-0.815814454604
ACH-000366,-0.452692118719
ACH-000368,-0.532512627097
ACH-000374,-0.7039941669230001
ACH-000375,-0.722278964459
ACH-000376,-0.992498207853
ACH-000381,-0.7552879310889999
ACH-000383,-0.806921834448
ACH-000387,-0.521327506332
ACH-000389,-0.35559786908600005
ACH-000390,-0.606491323609
ACH-000393,-0.569008502893
ACH-000395,-0.666644821557
ACH-000397,-0.34862357351400003
ACH-000401,-0.905014347868
ACH-000402,-0.6829435978049999
ACH-000403,-0.687531004156
ACH-000404,-1.02260596956
ACH-000406,-0.6188186331600001
ACH-000407,-0.627470571277
ACH-000408,-1.0811921722700002
ACH-000410,-0.462682303925
ACH-000411,-0.26508807885
ACH-000414,-0.537395286346
ACH-000415,-0.7348736927889999
ACH-000416,-0.380889078063
ACH-000420,-0.424656099253
ACH-000421,-0.468635100511
ACH-000424,-1.03402277738
ACH-000425,-0.554128404751
ACH-000426,-0.628965899065
ACH-000427,-0.676883073324
ACH-000433,-0.691486958854
ACH-000436,-0.375555546974
ACH-000444,-0.37455112394100004
ACH-000445,-0.8095503026850001
ACH-000448,-0.286951645902
ACH-000450,-0.629361703607
ACH-000452,-0.681876397599
ACH-000454,-1.01490551509
ACH-000458,-0.8050271211679999
ACH-000459,-1.26748256503
ACH-000460,-0.820962437173
ACH-000461,-1.15893638906
ACH-000463,-0.47058236719700003
ACH-000464,-0.7752552725
ACH-000466,-0.710142547429
ACH-000467,-0.831529490019
ACH-000468,-0.867591567503
ACH-000469,-0.854558181661
ACH-000470,-0.615870112255
ACH-000471,-0.463142835842
ACH-000472,-0.561858999228
ACH-000473,-0.798851824807
ACH-000475,-0.751164188866
ACH-000476,-1.02845288641
ACH-000477,-0.778323302791
ACH-000480,-0.869116441083
ACH-000481,-0.581591531732
ACH-000483,-0.8257832750540001
ACH-000484,-0.296070807258
ACH-000485,-0.539863790756
ACH-000486,-0.7444388318899999
ACH-000487,-0.776467498908
ACH-000488,-0.840371029163
ACH-000490,-0.9021753742209999
ACH-000491,-0.9364054231010001
ACH-000495,-0.449315369202
ACH-000496,-0.576792627938
ACH-000499,-0.735846511442
ACH-000500,-0.905534244506
ACH-000502,-0.545935996445
ACH-000503,-0.931149956194
ACH-000505,-0.557546728731
ACH-000507,-1.12178563479
ACH-000510,-0.710698679521
ACH-000511,-0.760520486339
ACH-000512,-1.4077444386000002
ACH-000516,-0.41899003041500005
ACH-000517,-0.44422655397
ACH-000518,-0.570829325998
ACH-000520,-0.26099254806
ACH-000521,-0.5653717216790001
ACH-000522,-0.654403227731
ACH-000524,-0.617006059665
ACH-000527,-0.512722718561
ACH-000528,-0.892250739932
ACH-000537,-0.663860518068
ACH-000541,-0.574430803933
ACH-000542,-0.526117520755
ACH-000544,-0.885796048793
ACH-000545,-1.00805542948
ACH-000547,-0.8138554671989999
ACH-000548,-0.439645095888
ACH-000549,-1.1018250027
ACH-000550,-0.645363180118
ACH-000552,-1.09911795167
ACH-000556,-0.736529195854
ACH-000557,-0.331134298851
ACH-000570,-0.7415215461720001
ACH-000571,-0.842776648421
ACH-000573,-0.616392888692
ACH-000576,-0.227809718779
ACH-000580,-0.449807427147
ACH-000584,-0.583422584256
ACH-000585,-0.40563582535
ACH-000588,-0.9323476525159999
ACH-000589,-0.666466993723
ACH-000591,-0.737658680588
ACH-000593,-0.823886195221
ACH-000600,-0.706502552335
ACH-000601,-0.843412609955
ACH-000604,-0.718003808032
ACH-000605,-0.761374589606
ACH-000606,-0.732161855505
ACH-000608,-0.444188839239
ACH-000614,-0.48728630179300003
ACH-000616,-0.448120954781
ACH-000618,-0.848112579936
ACH-000619,-0.79042526074
ACH-000620,-0.8328384057780001
