,BMF (90427)
ACH-000517,-0.441775993243
ACH-000518,-0.132639389326
ACH-000520,-0.40091820809600004
ACH-000521,-0.23916483937
ACH-000522,-0.188831970095
ACH-000524,-0.209976781164
ACH-000527,-0.19265325338300002
ACH-000528,-0.19018018395300001
ACH-000537,-0.273721065141
ACH-000541,-0.251520230298
ACH-000542,-0.148991332777
ACH-000544,-0.276140553484
ACH-000545,-0.222320383001
ACH-000547,-0.41308569793600003
ACH-000548,-0.193427906295
ACH-000549,-0.07261138160830001
ACH-000550,-0.133728658423
ACH-000552,-0.240113270445
ACH-000556,-0.209360643897
ACH-000557,-0.171737094369
ACH-000570,-0.160021231137
ACH-000571,-0.048565023078500004
ACH-000573,-0.264921171741
ACH-000576,-0.345154969404
ACH-000580,-0.0978365945091
ACH-000584,-0.17531349868700002
ACH-000585,-0.108165211753
ACH-000588,-0.14322819255000002
ACH-000589,-0.32663728108199996
ACH-000591,-0.0548196924048
ACH-000593,-0.21007012201699998
ACH-000600,-0.175509404588
ACH-000601,-0.205145067414
ACH-000604,-0.424429704257
ACH-000605,-0.485593930946
ACH-000606,-0.14318049222999998
ACH-000608,-0.164486491896
ACH-000614,-0.092706002511
ACH-000616,-0.06245035058830001
ACH-000618,-0.27066250764000005
ACH-000619,-0.433713221245
ACH-000620,-0.222849108273
ACH-000621,-0.0338700475785
ACH-000622,-0.363206909916
ACH-000623,-0.311352505077
ACH-000624,-0.169036456719
ACH-000627,-0.130241954264
ACH-000630,-0.132252850254
ACH-000632,-0.205580546929
ACH-000633,-0.0591760218498
ACH-000637,-0.32943684191100003
ACH-000638,-0.256086779195
ACH-000646,-0.40807039346699997
ACH-000647,-0.291192214498
ACH-000648,-0.188358004652
ACH-000649,-0.158989208411
ACH-000651,-0.257233440805
ACH-000652,-0.0672581107655
ACH-000653,-0.295105039567
ACH-000657,-0.18055740255600003
ACH-000658,-0.150777256033
ACH-000661,0.061999748995000006
ACH-000662,0.051679268898900003
ACH-000663,-0.184353638983
ACH-000665,-0.177554618099
ACH-000671,-0.0706672316856
ACH-000673,-0.239675379151
ACH-000676,-0.18830800952100002
ACH-000677,-0.110807964177
ACH-000681,-0.12331877655
ACH-000682,-0.26809979110599996
ACH-000683,-0.0540020039336
