,DET1 (55070)
ACH-000004,-0.57189085473
ACH-000007,-0.995835324229
ACH-000009,-0.346972283227
ACH-000011,-0.588351280728
ACH-000012,-0.34530282307300003
ACH-000013,-0.41949224648
ACH-000014,-0.7875121654999999
ACH-000015,-0.16961481676100001
ACH-000017,-0.19886173633200002
ACH-000018,-0.74259472261
ACH-000019,-0.335825364661
ACH-000021,-0.34584844995499997
ACH-000022,-0.33274234346000003
ACH-000025,-0.7577206000390001
ACH-000028,-0.6970628556630001
ACH-000030,-0.822349729494
ACH-000035,-0.150557766908
ACH-000036,-0.487508335101
ACH-000037,-0.291375394942
ACH-000039,0.0474270979605
ACH-000040,-0.45260002989299997
ACH-000041,0.172053350407
ACH-000042,-0.299263601488
ACH-000045,-0.370914288125
ACH-000047,-0.283685862757
ACH-000052,-0.276335145523
ACH-000053,-0.48072186784599996
ACH-000054,-0.26144692183
ACH-000055,-0.600128609134
ACH-000060,0.16552261405899998
ACH-000067,-0.28500188672
ACH-000070,-1.0304111299299998
ACH-000075,-0.186387351011
ACH-000078,-0.295850754317
ACH-000082,-0.315569089533
ACH-000085,-0.615035881713
ACH-000086,-0.342945919812
ACH-000087,-0.0579993770634
ACH-000092,-0.587590823677
ACH-000095,-0.49533018892499997
ACH-000097,-0.5701610418999999
ACH-000098,-0.653073026596
ACH-000099,-0.0193009465401
ACH-000108,-0.8037673997920001
ACH-000113,-0.414871647851
ACH-000115,-0.433601408375
ACH-000116,-0.0691923437604
ACH-000118,-0.313870485571
ACH-000120,-0.289427280474
ACH-000123,-0.18968395776500002
ACH-000127,-0.425728031185
ACH-000128,-0.7458079047600001
ACH-000132,-0.594375229002
ACH-000133,-0.131993441518
ACH-000137,-0.33765356783100003
ACH-000138,-0.618243893808
ACH-000142,-0.358209768913
ACH-000143,-0.255597366646
ACH-000146,-0.267689941226
ACH-000148,-0.21805703847600003
ACH-000150,-0.187436164449
ACH-000152,-0.44032191008599997
ACH-000153,-0.332909744547
ACH-000159,-0.7269156772300001
ACH-000160,-0.46067651396000003
ACH-000163,-0.538661019443
ACH-000167,-0.521897140438
ACH-000168,-0.491497668124
ACH-000169,-0.386949013534
ACH-000178,-0.572338691028
ACH-000182,-0.40219927645900005
ACH-000183,-0.919995795926
ACH-000188,-0.127494226075
ACH-000189,-0.5430157891699999
ACH-000190,-0.526561113648
ACH-000198,-0.367793731545
ACH-000204,-0.24685387235800002
ACH-000206,-0.38904572652900005
ACH-000207,-0.218063908771
ACH-000211,-0.277701184496
ACH-000215,-0.160914574117
ACH-000221,-0.184490072995
ACH-000222,-0.588833407299
ACH-000223,-0.267210688563
ACH-000226,-0.312409829043
ACH-000227,-0.027544293017500002
ACH-000228,-0.24884452636999999
ACH-000231,-0.434283564737
ACH-000232,-0.428248237646
ACH-000233,-0.390820818655
ACH-000234,-0.89631254438
ACH-000235,-0.36513835044299997
ACH-000237,-0.263073676704
ACH-000238,-0.434515727411
ACH-000243,-0.9507678558149999
ACH-000244,-0.555779644151
ACH-000246,-0.6961519087000001
ACH-000248,-0.136969286094
ACH-000250,-0.27405869219900003
ACH-000251,-0.6588893538880001
ACH-000253,-0.64645534713
ACH-000255,-0.569418832798
ACH-000256,-0.6043532461819999
ACH-000257,-0.07897336830519999
ACH-000258,0.015471578916200001
ACH-000259,0.00386669482952
ACH-000260,-0.740382928261
ACH-000261,-0.5446291956270001
ACH-000262,-0.176440652941
ACH-000263,-0.459990002426
ACH-000264,-0.25598453589299996
ACH-000265,-0.5243598505929999
ACH-000266,-0.289546282887
ACH-000272,-0.560408655172
ACH-000273,-0.5366208565899999
ACH-000274,-0.5527820562770001
ACH-000277,-0.272660493859
ACH-000278,-0.538730806395
ACH-000279,-0.21159824747
ACH-000280,-0.678674018284
ACH-000281,-0.8240003179090001
ACH-000288,-0.420919087451
ACH-000291,-0.420169007379
ACH-000293,-0.296069634635
ACH-000294,-0.29528132085000003
ACH-000295,-0.494681073828
ACH-000296,-0.478661253496
ACH-000302,-0.167702508992
ACH-000304,-0.486641002939
ACH-000307,-0.07471623021900001
ACH-000308,-0.437107983007
ACH-000310,-0.382750016171
ACH-000311,-0.854587324284
ACH-000312,-0.187040664591
ACH-000315,-0.769989964941
ACH-000316,-0.623461928939
ACH-000317,-0.39412293979099994
ACH-000318,-0.6799649917910001
ACH-000319,-0.33605092805299996
ACH-000320,-0.6501506017450001
ACH-000322,-0.662799724849
ACH-000323,-0.318387557298
ACH-000324,-0.572086643913
ACH-000329,-0.0265324794869
ACH-000330,-0.282352569369
ACH-000331,-0.26575614089899996
ACH-000332,-0.830925027107
ACH-000334,-0.304538501054
ACH-000335,-0.9460479277030001
ACH-000336,-0.216973106532
ACH-000337,-0.451382441026
ACH-000339,-0.20538564713
ACH-000341,-0.293672815833
ACH-000348,-0.46442422194399996
ACH-000350,-0.268544433607
ACH-000352,-0.0984553507834
ACH-000356,-0.33724630915700005
ACH-000361,-0.693361028141
