,ATP4B (496)
ACH-000004,0.236593636691
ACH-000007,0.33198776958299997
ACH-000009,0.241173468746
ACH-000011,0.22206867602400002
ACH-000012,0.168524998383
ACH-000013,0.17442162492
ACH-000014,0.20540196832899998
ACH-000015,0.105926572487
ACH-000017,0.237264889789
ACH-000018,0.18989569050900001
ACH-000019,0.174908653626
ACH-000021,0.221420312828
ACH-000022,0.23276743846
ACH-000025,0.121027432914
ACH-000028,0.0960173151157
ACH-000030,0.16836479818
ACH-000035,0.148309085455
ACH-000036,0.041848660039800006
ACH-000037,0.21780004011300003
ACH-000039,0.12198387277
ACH-000040,0.0927278201365
ACH-000041,0.281963700871
ACH-000042,0.0993132021188
ACH-000045,0.197097130697
ACH-000047,0.278716670422
ACH-000052,0.427744862514
ACH-000053,0.259856249867
ACH-000054,0.242494203013
ACH-000055,0.283884010976
ACH-000060,0.23920566600200002
ACH-000067,0.035232180353
ACH-000070,0.13969369459
ACH-000075,0.0917905940007
ACH-000078,0.218163260378
ACH-000082,0.178189643119
ACH-000085,0.214465869463
ACH-000086,0.0590166411685
ACH-000087,0.681879604693
ACH-000092,0.293805526032
ACH-000095,0.333437309817
ACH-000097,0.21937182814
ACH-000098,0.20059338720400002
ACH-000099,0.241946062495
ACH-000108,0.05316480921569999
ACH-000113,0.207244921563
ACH-000115,0.347746098741
ACH-000116,0.18763237633699997
ACH-000118,0.289269246525
ACH-000120,0.0809486528354
ACH-000123,0.017142236923
ACH-000127,0.20389903698399997
ACH-000128,0.255189545686
ACH-000132,0.24304982043200002
ACH-000133,0.149173235107
ACH-000137,0.206401364678
ACH-000138,0.256652118388
ACH-000142,0.140704485814
ACH-000143,0.178429562947
ACH-000146,0.19725336050099998
ACH-000148,0.200221729906
ACH-000150,-0.112879105355
ACH-000152,0.104101048811
ACH-000153,0.487612635355
ACH-000159,0.25591998384500003
ACH-000160,0.207735108761
ACH-000163,0.0720716868464
ACH-000167,0.21632870199299997
ACH-000168,0.33447263044
ACH-000169,0.26528795785799997
ACH-000178,0.35487936459799996
ACH-000182,0.09320713200169999
ACH-000183,0.36320150001
ACH-000188,0.243604082414
ACH-000189,0.169598606884
ACH-000190,0.186097056787
ACH-000198,0.24759471909000003
ACH-000204,0.176161499296
ACH-000206,0.23962143290899998
ACH-000207,0.406664304243
ACH-000211,0.2421738339
ACH-000215,0.18771005586
ACH-000221,0.254210584481
ACH-000222,0.08314142098249999
ACH-000223,0.198355057227
ACH-000226,0.251030893585
ACH-000227,0.226124579339
ACH-000228,0.17741801901999998
ACH-000231,0.146138373979
ACH-000232,0.228269373022
ACH-000233,0.18800892660100002
ACH-000234,0.192123722914
ACH-000235,0.201536650846
ACH-000237,0.200272513199
ACH-000238,0.077981879519
ACH-000243,0.182779966021
ACH-000244,0.21617317832400001
ACH-000246,0.24198799779
ACH-000248,0.0799866797382
ACH-000250,0.14126602841299998
ACH-000251,-0.123691904378
ACH-000253,0.201093266725
ACH-000255,0.308032494509
ACH-000256,0.262088337267
ACH-000257,0.554512044405
ACH-000258,0.202169336687
ACH-000259,-0.0202204558087
ACH-000260,0.234879432363
ACH-000261,0.258494624395
ACH-000262,0.43814425751900005
