,TCN1 (6947)
ACH-000004,-0.07253630583910001
ACH-000007,-0.00270710139027
ACH-000009,-0.101367380703
ACH-000011,-0.17896693246
ACH-000012,-0.141022468205
ACH-000013,-0.120460748495
ACH-000014,0.00625090448366
ACH-000015,-0.0850814627826
ACH-000017,0.0794176325207
ACH-000018,0.0953204442203
ACH-000019,-0.0946515704043
ACH-000021,-0.159002501188
ACH-000022,-0.12844297501
ACH-000025,-0.05875131818
ACH-000028,-0.122286398127
ACH-000030,-0.125040963192
ACH-000035,-0.0951875812337
ACH-000036,-0.0457743623171
ACH-000037,-0.114426312797
ACH-000039,-0.16915058778900002
ACH-000040,-0.0138065260416
ACH-000041,-0.17166333244000004
ACH-000042,-0.2847901624
ACH-000045,-0.11355851040300001
ACH-000047,-0.13468337629799998
ACH-000052,-0.0120219732993
ACH-000053,-0.116187082949
ACH-000054,0.08876706641149999
ACH-000055,-0.022600361855
ACH-000060,0.042533891054199996
ACH-000067,0.112124708794
ACH-000070,-0.0739579066082
ACH-000075,-0.229789290317
ACH-000078,-0.18087960201699999
ACH-000082,-0.10022319498
ACH-000085,-0.213890141859
ACH-000086,-0.308073500612
ACH-000087,-0.0393179167218
ACH-000092,-0.0517866923852
ACH-000095,-0.0160497939568
ACH-000097,-0.15214211595799998
ACH-000098,-0.0659728143198
ACH-000099,-0.0771476275483
ACH-000108,-0.109600733975
ACH-000113,-0.138822978482
ACH-000115,0.0724960778635
ACH-000116,-0.218345422901
ACH-000118,-0.285414075956
ACH-000120,-0.189939971886
ACH-000123,-0.10453798601099999
ACH-000127,-0.144561760414
ACH-000128,0.0207813569407
ACH-000132,-0.0319088054274
ACH-000133,-0.133477737849
ACH-000137,-0.238319985208
ACH-000138,-0.149179894341
ACH-000142,-0.11695157577299999
ACH-000143,0.035394162002400004
ACH-000146,-0.023960098291599997
ACH-000148,-0.178269264386
ACH-000150,-0.0662369326882
ACH-000152,-0.149475065088
ACH-000153,-0.331521815479
ACH-000159,-0.011679503662
ACH-000160,-0.08315951912000001
ACH-000163,-0.0678996040869
ACH-000167,0.121760965748
ACH-000168,-0.157742737037
ACH-000169,-0.238866810874
ACH-000178,-0.08227087486389999
ACH-000182,0.0952621311079
ACH-000183,-0.0578786183742
ACH-000188,-0.286206178126
ACH-000189,-0.152785702677
ACH-000190,-0.20931331921399998
ACH-000198,-0.0212442249407
ACH-000204,-0.338404103803
ACH-000206,-0.04275021210030001
ACH-000207,-0.14911229170600002
ACH-000211,-0.0383955771636
ACH-000215,0.116244100022
ACH-000221,-0.17007689835700002
ACH-000222,-0.38475717888000005
ACH-000223,-0.141824893214
ACH-000226,-0.20715501732299998
ACH-000227,-0.04564976707219999
ACH-000228,-0.132996746371
ACH-000231,-0.121091968949
ACH-000232,-0.0870606452276
ACH-000233,0.0660510616614
ACH-000234,-0.12148582478099999
ACH-000235,-0.129449672311
ACH-000237,-0.0740897898696
ACH-000238,-0.0391490115399
ACH-000243,-0.046192915081
ACH-000244,-0.526115545518
ACH-000246,-0.037819574034099995
ACH-000248,-0.122519965745
ACH-000250,-0.129681769504
ACH-000251,0.0329739176491
ACH-000253,-0.009294333890510001
ACH-000255,-0.0991563252098
ACH-000256,-0.34490040998000004
ACH-000257,0.47978900993699997
ACH-000258,-0.0943185143742
ACH-000259,-0.0795802082253
ACH-000260,-0.0274388337022
ACH-000261,0.333153474661
ACH-000262,-0.39614386506
ACH-000263,-0.143771611919
ACH-000264,-0.0972036508034
ACH-000265,-0.132980972177
ACH-000266,-0.131039688544
ACH-000272,-0.0192603138744
ACH-000273,-0.07464047827260001
ACH-000274,0.0949338975378
ACH-000277,-0.137362235539
ACH-000278,-0.0124168644242
ACH-000279,0.037131931854500005
ACH-000280,-0.0214392134533
ACH-000281,0.0281277321146
ACH-000288,-0.0196915979561
ACH-000291,0.07720349459180001
ACH-000293,-0.336690077879
ACH-000294,-0.133831040836
ACH-000295,0.158559963354
ACH-000296,-0.060891204452400004
ACH-000302,-0.0886556486425
ACH-000304,-0.340492057703
ACH-000307,-0.133415113529
ACH-000308,-0.19296615565900002
ACH-000310,-0.141631962251
ACH-000311,-0.06018584236959999
ACH-000312,-0.0799401370204
ACH-000315,-0.126300392772
ACH-000316,-0.007895523728010001
ACH-000317,-0.138215562886
ACH-000318,-0.335736404612
ACH-000319,-0.265276394267
ACH-000320,0.0167548537433
ACH-000322,0.109091363914
ACH-000323,-0.10926790552200001
ACH-000324,-0.186995604036
ACH-000329,0.0340302044953
ACH-000330,-0.25754614528
ACH-000331,0.0926235304335
ACH-000332,-0.09436971143639998
ACH-000334,-0.115222246478
ACH-000335,-0.36294520986199996
ACH-000336,0.186359485759
ACH-000337,0.011531810836
ACH-000339,-0.07053633379660001
ACH-000341,-0.22264024791700002
ACH-000348,-0.0292587790373
ACH-000350,0.0037397026020999998
ACH-000352,-0.0384379841133
ACH-000356,-0.24197843100400002
ACH-000361,-0.0421043391721
ACH-000362,-0.0920428412308
ACH-000363,0.0712123743497
ACH-000364,-0.252172561552
ACH-000365,-0.144996339039
ACH-000366,-0.25471421441500003
ACH-000368,0.0726687959308
ACH-000374,0.0353187548308
ACH-000375,-0.125189990258
ACH-000376,-0.09749975754760001
ACH-000381,-0.16462490525100001
ACH-000383,-0.21102157153999998
ACH-000387,-0.123291904002
ACH-000389,-0.09153082047800001
ACH-000390,-0.0946772106282
ACH-000393,-0.135319864817
ACH-000395,-0.0160033884819
ACH-000397,-0.0515015698223
ACH-000401,0.0424922672117
ACH-000402,0.0512006387098
ACH-000403,-0.00013558723640900002
ACH-000404,0.145641927996
ACH-000406,-0.137244231698
ACH-000407,0.0351959323138
ACH-000408,-0.0654071072052
ACH-000410,-0.0718597753058
ACH-000411,-0.143842032317
ACH-000414,-0.134568716624
ACH-000415,-0.17362373594500002
ACH-000416,-0.039815137337800004
ACH-000420,-0.258485171189
ACH-000421,-0.17215404231400003
ACH-000424,0.11862912396299999
ACH-000425,-0.147279277663
ACH-000426,-0.156576398631
ACH-000427,-0.0650171639366
ACH-000433,-0.035857412617800004
ACH-000436,-0.276983449851
ACH-000444,-0.09065578835110001
ACH-000445,-0.215490763358
ACH-000448,-0.0689304008276
ACH-000450,-0.042804642198199995
ACH-000452,-0.06244093307580001
ACH-000454,0.0783218641115
ACH-000458,-0.094758415428
ACH-000459,-0.056082353810800005
ACH-000460,-0.134344871215
ACH-000461,-0.182939523671
ACH-000463,-0.142879459464
ACH-000464,-0.106768468438
ACH-000466,-0.0712082912727
ACH-000467,-0.134689210013
ACH-000468,-0.0984054453436
ACH-000469,-0.0555593723174
ACH-000470,0.19791227741599998
ACH-000471,-0.04207783467730001
ACH-000472,0.0317157480386
ACH-000473,0.037199873413
ACH-000475,-0.106427607369
ACH-000476,-0.204681202775
ACH-000477,-0.239044358621
ACH-000480,-0.011698647888799998
ACH-000481,-0.0355107944936
ACH-000483,-0.23767812373199998
ACH-000484,0.013036096149500001
ACH-000485,-0.18977697290399997
ACH-000486,-0.238819861583
ACH-000487,-0.010316495648100001
ACH-000488,-0.015462488929700001
ACH-000490,-0.10226958531300001
ACH-000491,-0.0848980932791
ACH-000495,0.021581999358799998
ACH-000496,-0.226555894038
ACH-000499,-0.276579573802
ACH-000500,0.33806178490999994
ACH-000502,-0.0859691158532
ACH-000503,-0.18301183770799997
ACH-000505,-0.058411759550400004
ACH-000507,-0.027063979797999998
ACH-000510,-0.078158055822
ACH-000511,-0.1853283468
ACH-000512,-0.235446768401
ACH-000516,-0.0008700823429179999
ACH-000517,-0.0194528607361
ACH-000518,0.016056146089299998
ACH-000520,-0.06874268131469999
ACH-000521,0.0568684105511
ACH-000522,-0.14044037191
ACH-000524,-0.057568075278199994
ACH-000527,-0.0264963651299
ACH-000528,-0.152032763076
ACH-000537,-0.0929612035516
ACH-000541,-0.337993432051
ACH-000542,-0.055954012555900004
ACH-000544,-0.200451276505
ACH-000545,-0.41938135579700003
ACH-000547,-0.320586428116
