,SYNDIG1 (79953)
ACH-000004,0.14908460256
ACH-000007,0.313495528059
ACH-000009,0.480720388712
ACH-000011,0.183357579009
ACH-000012,0.320741708259
ACH-000013,0.203893801465
ACH-000014,0.33950425203400003
ACH-000015,0.353289693716
ACH-000017,0.272233795843
ACH-000018,0.390401503232
ACH-000019,0.167405910491
ACH-000021,0.326159517294
ACH-000022,0.35070106760499997
ACH-000025,0.464356027287
ACH-000028,0.379938747347
ACH-000030,0.32805640189
ACH-000035,0.06800927919430001
ACH-000036,0.302452982616
ACH-000037,0.336969352995
ACH-000039,0.35024217827
ACH-000040,0.351683186427
ACH-000041,0.413842687581
ACH-000042,0.245443401028
ACH-000045,0.33601703177599995
ACH-000047,0.35195216663900003
ACH-000052,0.217425092903
ACH-000053,0.359211197799
ACH-000054,0.320797764459
ACH-000055,0.04884217878330001
ACH-000060,0.343755171057
ACH-000067,0.26574998838799996
ACH-000070,0.118791968401
ACH-000075,0.30966796477200004
ACH-000078,0.43796643589100004
ACH-000082,0.2105393524
ACH-000085,0.440177715004
ACH-000086,0.270649548122
ACH-000087,0.152136046974
ACH-000092,0.28631045473
ACH-000095,0.37518456831299996
ACH-000097,0.19271627609499997
ACH-000098,0.360084471501
ACH-000099,0.28921646838599996
ACH-000108,0.401945552731
ACH-000113,0.326122606534
ACH-000115,0.348333069069
ACH-000116,0.393364369193
ACH-000118,0.13526131664899999
ACH-000120,0.351132203123
ACH-000123,0.301897505704
ACH-000127,0.263483533313
ACH-000128,0.262867022424
ACH-000132,0.425457873577
ACH-000133,0.26761411915
ACH-000137,0.336404203261
ACH-000138,0.389908028575
ACH-000142,0.43048536393799997
ACH-000143,0.587920236986
ACH-000146,0.169073061498
ACH-000148,0.289448028347
ACH-000150,0.168747517982
ACH-000152,0.43017581006800004
ACH-000153,0.208693987
ACH-000159,0.472364801444
ACH-000160,0.248122062947
ACH-000163,0.284624357405
ACH-000167,-0.0317469221439
ACH-000168,0.397676176802
ACH-000169,0.17168274169599998
ACH-000178,0.251318043362
ACH-000182,0.247299369572
ACH-000183,0.130188145368
ACH-000188,0.540855998711
ACH-000189,-0.142131251975
ACH-000190,0.149190576071
ACH-000198,0.187875535355
ACH-000204,0.349778953569
ACH-000206,0.260080482573
ACH-000207,0.240549808504
ACH-000211,0.35101844450099995
ACH-000215,0.334412857639
ACH-000221,0.350284561145
ACH-000222,0.43089050408600005
ACH-000223,0.257983533363
ACH-000226,0.249409007271
ACH-000227,0.38384028202799997
ACH-000228,0.299148625475
ACH-000231,0.203495645022
ACH-000232,0.353229457367
ACH-000233,0.261590750354
ACH-000234,0.293885519753
ACH-000235,0.164391939669
ACH-000237,0.24184779906800002
