,SZRD1 (26099)
ACH-000004,-0.0507235307718
ACH-000007,-0.431626318709
ACH-000009,-0.287688474894
ACH-000011,-0.31002444502
ACH-000012,-0.259647530906
ACH-000013,-0.117506389467
ACH-000014,-0.40526021471199997
ACH-000015,-0.125853149312
ACH-000017,-0.336202248978
ACH-000018,-0.500188330133
ACH-000019,-0.359559832315
ACH-000021,-0.120934714374
ACH-000022,-0.16829628102400002
ACH-000025,-0.17025425749200002
ACH-000028,-0.25139132983199997
ACH-000030,-0.149169452816
ACH-000035,-0.36786261621699995
ACH-000036,-0.25618445584399996
ACH-000037,-0.266781290361
ACH-000039,-0.211129059018
ACH-000040,-0.18366490481199998
ACH-000041,-0.0752675640275
ACH-000042,-0.239148549604
ACH-000045,-0.15685762992000002
ACH-000047,-0.160523536875
ACH-000052,-0.08550698859110001
ACH-000053,-0.27965416817600003
ACH-000054,-0.149109656638
ACH-000055,-0.319447694633
ACH-000060,-0.22675090087699998
ACH-000067,-0.34158637739
ACH-000070,-0.39888916641500005
ACH-000075,-0.590922704123
ACH-000078,-0.135175094257
ACH-000082,-0.260283949769
ACH-000085,-0.0834014660002
ACH-000086,-0.43383663894100005
ACH-000087,-0.11085436695800001
ACH-000092,-0.243923634316
ACH-000095,-0.29159302040199997
ACH-000097,-0.442801739869
ACH-000098,-0.16421090484099998
ACH-000099,-0.222235558907
ACH-000108,-0.146564290599
ACH-000113,-0.251037107895
ACH-000115,-0.328592920495
ACH-000116,-0.194263730019
ACH-000118,-0.0422764804055
ACH-000120,-0.266945082889
ACH-000123,-0.130126782842
ACH-000127,-0.318249220042
ACH-000128,0.037999324313199995
ACH-000132,-0.20139493038400003
ACH-000133,-0.39624149298600003
ACH-000137,-0.13187979961899998
ACH-000138,-0.0751589182932
ACH-000142,-0.288955978504
ACH-000143,-0.252316151607
ACH-000146,-0.022421146042299996
ACH-000148,-0.210694645856
ACH-000150,-0.543397504791
ACH-000152,-0.111314278622
ACH-000153,0.077368126176
ACH-000159,-0.309688094714
ACH-000160,-0.199283535363
ACH-000163,-0.31050710441999996
ACH-000167,-0.292917572165
ACH-000168,-0.486314689312
ACH-000169,-0.130695455474
ACH-000178,-0.296679856055
ACH-000182,-0.133655491105
ACH-000183,-0.279763435437
ACH-000188,-0.5010073921670001
ACH-000189,-0.27098452981
ACH-000190,-0.283227445364
ACH-000198,-0.174993751354
ACH-000204,-0.53199303798
ACH-000206,-0.16160494142100001
ACH-000207,-0.22610475022399998
ACH-000211,-0.381601563091
ACH-000215,-0.32424036153
ACH-000221,-0.00802161551657
ACH-000222,-0.19516768405699997
ACH-000223,-0.313073289422
ACH-000226,-0.426192793081
ACH-000227,-0.12128725294199999
ACH-000228,0.106990408727
ACH-000231,-0.33714621691200003
ACH-000232,0.0321806894718
ACH-000233,-0.456108875806
ACH-000234,-0.39583229438199996
ACH-000235,-0.176338604644
ACH-000237,-0.281427582966
ACH-000238,-0.135286946425
ACH-000243,-0.020645378943
ACH-000244,-0.6682934047860001
ACH-000246,-0.450465341413
ACH-000248,-0.167321895655
ACH-000250,-0.301331266683
ACH-000251,-0.407209771127
ACH-000253,-0.147199412408
ACH-000255,-0.321516629583
ACH-000256,-0.455036897483
ACH-000257,0.263547973037
ACH-000258,-0.222617142791
ACH-000259,-0.12349934657600001
ACH-000260,-0.298494922484
ACH-000261,-0.334480299665
ACH-000262,-0.333934063706
ACH-000263,-0.165437800889
ACH-000264,-0.20524332403099999
ACH-000265,-0.183863142658
ACH-000266,-0.0062236362141300005
ACH-000272,-0.205831700049
ACH-000273,-0.187290164273
ACH-000274,-0.18056295923500001
ACH-000277,-0.276845667237
ACH-000278,-0.460697480997
ACH-000279,-0.102793148796
ACH-000280,-0.20187535967099998
ACH-000281,-0.290977966547
ACH-000288,-0.368600167668
ACH-000291,-0.24659837370499998
ACH-000293,-0.537993075965
ACH-000294,0.18094283774599998
ACH-000295,-0.380671437702
ACH-000296,-0.47477196226
ACH-000302,-0.23772349838000004
ACH-000304,-0.342374354112
ACH-000307,-0.222069192656
ACH-000308,-0.149973737224
ACH-000310,-0.16759632914
ACH-000311,-0.0926168780388
ACH-000312,-0.27073522603
ACH-000315,-0.113196679256
ACH-000316,-0.201201084677
ACH-000317,-0.317769416401
ACH-000318,-0.17562688806200003
ACH-000319,-0.354468194184
ACH-000320,-0.170137464003
ACH-000322,-0.26882229641800004
ACH-000323,-0.456159021078
ACH-000324,-0.25983900528000003
ACH-000329,-0.698136220776
ACH-000330,-0.49335025067500005
ACH-000331,-0.402246447329
ACH-000332,-0.127742912418
ACH-000334,0.035970898765199995
ACH-000335,-0.14656722794000002
