,CDKN2AIPNL (91368)
ACH-000004,-0.6309811888710001
ACH-000007,-0.057697186985999994
ACH-000009,-0.33584845639600003
ACH-000011,-0.349549538134
ACH-000012,-0.344387567789
ACH-000013,-0.29462289039
ACH-000014,-0.139146438589
ACH-000015,-0.367849776998
ACH-000017,-0.394307497289
ACH-000018,-0.617745338105
ACH-000019,-0.508181193864
ACH-000021,-0.235089927916
ACH-000022,-0.388241919763
ACH-000025,-0.100851136755
ACH-000028,-0.40333499489600005
ACH-000030,-0.369337953389
ACH-000035,-0.42251068954099996
ACH-000036,-0.293101830079
ACH-000037,-0.373242753067
ACH-000039,-0.356044056815
ACH-000040,-0.521356392705
ACH-000041,-0.187061287198
ACH-000042,-0.40320800888999997
ACH-000045,-0.26132825716200003
ACH-000047,-0.45328350337300005
ACH-000052,-0.33002664222600003
ACH-000053,-0.336420070143
ACH-000054,-0.435031384161
ACH-000055,-0.40675955824199994
ACH-000060,-0.32854943721700003
ACH-000067,-0.375946837609
ACH-000070,-0.327287679659
ACH-000075,-0.21920179415899999
ACH-000078,-0.133269950468
ACH-000082,-0.523718511434
ACH-000085,-0.0929020976059
ACH-000086,-0.353688131462
ACH-000087,-0.16161143114
ACH-000092,-0.35152999658
ACH-000095,-0.184997561986
ACH-000097,-0.367132477935
ACH-000098,-0.317794998391
ACH-000099,-0.35889842241
ACH-000108,-0.174701928103
ACH-000113,-0.229489757682
ACH-000115,-0.142487325889
ACH-000116,-0.418795670206
ACH-000118,-0.263036077086
ACH-000120,-0.392033543619
ACH-000123,-0.29850914057100003
ACH-000127,-0.41153708265100003
ACH-000128,-0.43506629214599996
ACH-000132,-0.17790780864300001
ACH-000133,-0.387929954252
ACH-000137,-0.129030452036
ACH-000138,-0.08926657678960001
ACH-000142,0.014620376519999997
ACH-000143,-0.34106176403000005
ACH-000146,-0.28319283853
ACH-000148,-0.381210721865
ACH-000150,-0.40528403324
ACH-000152,-0.34228888863799994
ACH-000153,-0.178150201994
ACH-000159,-0.39135187127099996
ACH-000160,-0.136670309025
ACH-000163,-0.334638969773
ACH-000167,-0.18635622156599999
ACH-000168,-0.415251513758
ACH-000169,-0.297889609979
ACH-000178,-0.27134726809500004
ACH-000182,-0.24543590926800002
ACH-000183,-0.41607427016099996
ACH-000188,-0.269110867554
ACH-000189,-0.39592589812600004
ACH-000190,-0.489435946257
ACH-000198,-0.40973462433799995
ACH-000204,-0.036172835849199995
ACH-000206,-0.244776337787
ACH-000207,-0.592936087006
ACH-000211,-0.24921100244600003
ACH-000215,-0.196885932107
ACH-000221,0.0703428390357
ACH-000222,-0.38978156275799997
ACH-000223,-0.30644163171100003
ACH-000226,-0.30142723673300004
ACH-000227,-0.37744373823399996
ACH-000228,-0.209297738236
ACH-000231,-0.293818439852
ACH-000232,-0.365769439073
ACH-000233,-0.47189275744099995
ACH-000234,-0.314244187166
ACH-000235,-0.132909210754
ACH-000237,-0.35186553391099995
ACH-000238,-0.34000906736500003
ACH-000243,-0.32440435865899997
ACH-000244,-0.46037622421499996
ACH-000246,-0.355473560845
ACH-000248,-0.362959406324
ACH-000250,-0.35381408903800005
ACH-000251,-0.313179640835
ACH-000253,-0.10411517473899999
ACH-000255,-0.221512449406
