,SEC23IP (11196)
ACH-000004,-0.256696989399
ACH-000007,-0.0628358729079
ACH-000009,-0.14416868557
ACH-000011,0.0192601064455
ACH-000012,-0.18555201755399997
ACH-000013,-0.37280455061499995
ACH-000014,-0.394716282266
ACH-000015,-0.307936296836
ACH-000017,0.10860006267899999
ACH-000018,-0.08016473710239999
ACH-000019,-0.105092871303
ACH-000021,-0.0349785200445
ACH-000022,-0.289173185614
ACH-000025,-0.0645615350157
ACH-000028,-0.24305205085499998
ACH-000030,-0.414498301078
ACH-000035,0.0353625237011
ACH-000036,-0.553079874323
ACH-000037,-0.42158175883
ACH-000039,0.14483528761199999
ACH-000040,-0.150058437755
ACH-000041,-0.167668754241
ACH-000042,-0.105431591183
ACH-000045,-0.258963266192
ACH-000047,-0.22239525373100003
ACH-000052,-0.174024826824
ACH-000053,-0.08784373028480001
ACH-000054,-0.214627138129
ACH-000055,-0.201373451367
ACH-000060,-0.0631549885853
ACH-000067,-0.329732906389
ACH-000070,-0.12116839555
ACH-000075,-0.25650912885
ACH-000078,-0.18518662500900002
ACH-000082,-0.33714513360699994
ACH-000085,0.05860837204080001
ACH-000086,-0.150469200276
ACH-000087,-0.278239480489
ACH-000092,-0.130542543067
ACH-000095,-0.190584922658
ACH-000097,-0.180486397572
ACH-000098,-0.38971154104199995
ACH-000099,-0.295426368884
ACH-000108,-0.659745837295
ACH-000113,-0.256400782152
ACH-000115,-0.147456338099
ACH-000116,-0.151224594602
ACH-000118,-0.393017274573
ACH-000120,-0.7993309149860001
ACH-000123,-0.171411081263
ACH-000127,-0.345897054182
ACH-000128,-0.136627287883
ACH-000132,-0.114920532787
ACH-000133,-0.359674953094
ACH-000137,-0.132903595768
ACH-000138,-0.23092882150600003
ACH-000142,0.13120766557299998
ACH-000143,-0.199604288367
ACH-000146,-0.143476087557
ACH-000148,-0.295803844073
ACH-000150,-0.07938954041280001
ACH-000152,-0.42590719988799997
ACH-000153,0.0739868949773
ACH-000159,-0.06927897433210001
ACH-000160,-0.287989123204
ACH-000163,-0.286383539551
ACH-000167,-0.367563768812
ACH-000168,-0.112482069353
ACH-000169,-0.22481786147900001
ACH-000178,-0.173231508803
ACH-000182,-0.249797721518
ACH-000183,-0.216681637196
ACH-000188,0.0117759669412
ACH-000189,-0.687659886044
ACH-000190,-0.8908918046080001
ACH-000198,-0.312031288482
ACH-000204,-0.264119834701
ACH-000206,-0.19937585808
ACH-000207,-0.154417563698
ACH-000211,-0.15667679990800001
ACH-000215,-0.14540485419000002
ACH-000221,-0.117693604323
ACH-000222,-0.182840588323
ACH-000223,-0.16038203924799999
ACH-000226,0.0269796991467
ACH-000227,0.0270675138917
ACH-000228,-0.0900109521844
ACH-000231,-0.19675047272799998
ACH-000232,-0.11508144378799999
ACH-000233,-0.939406049778
ACH-000234,-0.22837113471200002
ACH-000235,-0.0759651765268
ACH-000237,-0.479523429109
ACH-000238,-0.6085779310980001
ACH-000243,-0.404205892351
ACH-000244,-0.284691569223
ACH-000246,-1.0045164309299999
ACH-000248,-0.116849207006
ACH-000250,-0.5499626807
ACH-000251,-0.127754553774
ACH-000253,-0.39632659130099995
ACH-000255,-0.337922917844
ACH-000256,-0.32559620481699997
ACH-000257,-0.136079119361
ACH-000258,-0.08528468355730001
ACH-000259,-0.19175761116599999
ACH-000260,-0.108708280588
ACH-000261,-0.0427784080215
ACH-000262,-0.575567622206
ACH-000263,-0.146973842518
ACH-000264,-0.07365791080419999
ACH-000265,-0.21995804294100002
ACH-000266,-0.174011818661
ACH-000272,-0.35535113275799995
ACH-000273,-0.30731899563799997
ACH-000274,0.14129124659199999
ACH-000277,-0.0734854758638
ACH-000278,-0.362645312634
ACH-000279,-0.271776783182
ACH-000280,-0.0379968264498
ACH-000281,0.061338564747599994
ACH-000288,-0.16477562646500002
ACH-000291,-0.218397544672
ACH-000293,-0.154665618258
ACH-000294,-0.192182900707
ACH-000295,0.0805809067601
ACH-000296,-0.49079127829400004
ACH-000302,-0.131895097579
ACH-000304,-0.227246799613
ACH-000307,-0.110279619046
ACH-000308,-0.183869241092
ACH-000310,-0.174218030783
ACH-000311,-0.174906280374
ACH-000312,-0.20960588974199998
ACH-000315,-0.372324804261
ACH-000316,-0.0065346277320299994
ACH-000317,-0.404501618501
ACH-000318,-0.16220435144200002
ACH-000319,-0.27975951987799996
ACH-000320,-0.24589420849
ACH-000322,-0.509188933853
ACH-000323,-0.250106126574
ACH-000324,-0.152998643442
ACH-000329,-0.25819782587400003
ACH-000330,-0.128395560558
ACH-000331,-0.549613355268
ACH-000332,-0.320718317517
ACH-000334,-0.211300702522
ACH-000335,-0.09244221178239999
ACH-000336,0.020654643841400002
ACH-000337,-0.256360062227
ACH-000339,-0.08105198261180001
ACH-000341,-0.40183536488399996
