,CDT1 (81620)
ACH-000004,-1.1983670817
ACH-000007,-1.4745050384
ACH-000009,-1.0777590926799998
ACH-000011,-1.73890888021
ACH-000012,-1.3819627534399999
ACH-000013,-1.78182892694
ACH-000014,-1.2838381621200001
ACH-000015,-1.22075814751
ACH-000017,-1.62777859581
ACH-000018,-1.2558259733700001
ACH-000019,-1.56070832358
ACH-000021,-1.37589779838
ACH-000022,-1.41178935225
ACH-000025,-1.43568295813
ACH-000028,-0.963675711119
ACH-000030,-1.32155880724
ACH-000035,-1.45256864269
ACH-000036,-1.47303013061
ACH-000037,-0.581306051842
ACH-000039,-1.25223096136
ACH-000040,-1.27031169837
ACH-000041,-1.28918432528
ACH-000042,-1.2000694424200002
ACH-000045,-1.61227928409
ACH-000047,-1.46612693992
ACH-000052,-1.25428270052
ACH-000053,-1.5311650179700003
ACH-000054,-1.4734540653200001
ACH-000055,-1.4319383615399999
ACH-000060,-1.1788728937000001
ACH-000067,-1.1251835627200002
ACH-000070,-1.19680027429
ACH-000075,-0.830536653071
ACH-000078,-1.09307169385
ACH-000082,-1.44554615664
ACH-000085,-0.997085865258
ACH-000086,-1.3793338326499998
ACH-000087,-1.33397785451
ACH-000092,-1.2862396461
ACH-000095,-1.42925740612
ACH-000097,-1.3698581111300001
ACH-000098,-1.32699416217
ACH-000099,-1.3634147185299998
ACH-000108,-1.33755789195
ACH-000113,-1.4181059727599998
ACH-000115,-2.73624867802
ACH-000116,-1.42986583169
ACH-000118,-1.35250657009
ACH-000120,-1.58041521359
ACH-000123,-1.5243829149500001
ACH-000127,-1.77146951069
ACH-000128,-1.20649011904
ACH-000132,-1.40669168169
ACH-000133,-1.5588636845
ACH-000137,-1.45631619864
ACH-000138,-1.08462661965
ACH-000142,-1.16262889197
ACH-000143,-1.37559176062
ACH-000146,-1.8259571760099997
ACH-000148,-1.28192835722
ACH-000150,-1.43794761576
ACH-000152,-1.67603369997
ACH-000153,-0.989981247585
ACH-000159,-1.4671929936800001
ACH-000160,-1.34398412162
ACH-000163,-1.23321394677
ACH-000167,-1.7644600243200002
ACH-000168,-1.54571804752
ACH-000169,-1.31662576017
ACH-000178,-1.46970018215
ACH-000182,-1.57102103796
ACH-000183,-1.4509877056
ACH-000188,-1.44736338169
