,INMT (11185)
ACH-000004,-0.115307107713
ACH-000007,-0.187863163078
ACH-000009,-0.326390532852
ACH-000011,-0.21808729723499998
ACH-000012,-0.283638283519
ACH-000013,-0.12393632035
ACH-000014,-0.08214913927010001
ACH-000015,-0.0618453936108
ACH-000017,-0.16998415689
ACH-000018,-0.0217942515991
ACH-000019,-0.301112265032
ACH-000021,-0.0986604842574
ACH-000022,-0.306722896986
ACH-000025,-0.122761798338
ACH-000028,-0.0484824132433
ACH-000030,-0.127929339975
ACH-000035,-0.0670304576525
ACH-000036,-0.184380663143
ACH-000037,-0.401232518523
ACH-000039,-0.15198221340600002
ACH-000040,-0.207905883538
ACH-000041,-0.198940704635
ACH-000042,-0.198348133689
ACH-000045,-0.130606648972
ACH-000047,-0.39083954643700003
ACH-000052,-0.0081865097956
ACH-000053,-0.173836602002
ACH-000054,-0.0768606344938
ACH-000055,0.0843456772975
ACH-000060,-0.113680825259
ACH-000067,-0.289463172233
ACH-000070,-0.139254889037
ACH-000075,-0.336476950406
ACH-000078,-0.312430759294
ACH-000082,-0.30879316867199996
ACH-000085,-0.108421729012
ACH-000086,-0.028098128751
ACH-000087,-0.11415381553500001
ACH-000092,0.0672549776762
ACH-000095,-0.168742663399
ACH-000097,-0.114796196196
ACH-000098,-0.15139050497099998
ACH-000099,-0.185102787832
ACH-000108,-0.101177582647
ACH-000113,-0.10948971919099999
ACH-000115,-0.28423947816
ACH-000116,-0.0819196796434
ACH-000118,-0.039037239702300004
ACH-000120,-0.273793987093
ACH-000123,-0.217342835472
ACH-000127,-0.131560749886
ACH-000128,-0.234238117216
ACH-000132,0.007291199607439999
ACH-000133,-0.0972825451695
ACH-000137,-0.110682139685
ACH-000138,-0.124137712347
ACH-000142,-0.0596948873788
ACH-000143,-0.0851473277318
ACH-000146,-0.198100885634
ACH-000148,-0.133996778407
ACH-000150,-0.162956758143
ACH-000152,-0.24463865876999996
ACH-000153,0.185360699755
ACH-000159,-0.277324873745
ACH-000160,-0.119809732667
ACH-000163,0.159798094341
ACH-000167,0.274470924196
ACH-000168,-0.344339601356
ACH-000169,-0.262933088714
ACH-000178,-0.13044682543299999
ACH-000182,-0.114836519491
ACH-000183,-0.265420498154
ACH-000188,-0.0695241236294
ACH-000189,-0.527507321764
ACH-000190,-0.556327801622
ACH-000198,-0.1472937349
ACH-000204,-0.109244183125
ACH-000206,-0.10722498920399999
ACH-000207,-0.274055841717
ACH-000211,-0.43284333621200005
ACH-000215,-0.19879871807100002
ACH-000221,-0.104732601077
ACH-000222,0.0101100268065
ACH-000223,0.0391807570151
ACH-000226,-0.198717047554
ACH-000227,-0.0930599968699
ACH-000228,-0.43410123330399997
ACH-000231,-0.176997701214
ACH-000232,-0.0671783898971
ACH-000233,0.000635099681417
ACH-000234,-0.214946696351
ACH-000235,-0.17832643420400002
ACH-000237,-0.229033157716
ACH-000238,-0.33721721765699997
ACH-000243,-0.340895177191
ACH-000244,-0.22553932692200002
ACH-000246,-0.119936307369
ACH-000248,-0.200048335746
ACH-000250,-0.23683684045400002
ACH-000251,-0.0237551484493
ACH-000253,-0.0533448661962
ACH-000255,-0.103774902387
ACH-000256,-0.221913480318
ACH-000257,-0.238089121811
ACH-000258,0.44770999831200003
ACH-000259,-0.124652125119
ACH-000260,-0.107907562603
ACH-000261,-0.187448561747
ACH-000262,-0.319041211915
ACH-000263,-0.397822382641
ACH-000264,-0.229763912587
ACH-000265,-0.063898742395
ACH-000266,-0.143732280282
ACH-000272,-0.175183348416
ACH-000273,-0.10786934614499999
ACH-000274,0.0158964300263
ACH-000277,0.0416164554182
ACH-000278,-0.175034285689
ACH-000279,-0.131528888097
ACH-000280,-0.107383852951
ACH-000281,-0.184286576358
ACH-000288,-0.300608501679
ACH-000291,-0.211778167386
ACH-000293,-0.06780847614419999
ACH-000294,-0.413441479616
ACH-000295,-0.592795063632
ACH-000296,0.161061741535
ACH-000302,-0.0171072656142
ACH-000304,0.177069670519
ACH-000307,-0.148818699364
ACH-000308,-0.021311215256500003
ACH-000310,-0.0463762653192
ACH-000311,-0.20931314735999998
ACH-000312,-0.08458798649730001
ACH-000315,0.07008193687789999
ACH-000316,-0.20990616341499999
ACH-000317,0.194527247113
ACH-000318,-0.05986471736499999
ACH-000319,-0.136251501995
ACH-000320,0.0420285646358
ACH-000322,-0.112437353289
ACH-000323,-0.034311940865700004
ACH-000324,-0.145157557893
ACH-000329,-0.2102044357
ACH-000330,-0.405336544133
ACH-000331,-0.20396421811700002
ACH-000332,-0.21000812675099997
ACH-000334,-0.042446515669800004
ACH-000335,-0.000516823795737
ACH-000336,0.21651304310400002
ACH-000337,-0.122619344113
ACH-000339,-0.330019926247
ACH-000341,-0.038157048130199996
ACH-000348,-0.100501238861
ACH-000350,-0.196733936416
ACH-000352,-0.000819626059385
ACH-000356,-0.506927556105
ACH-000361,-0.336813102433
ACH-000362,0.0195262518959
