,CERCAM (51148)
ACH-000004,-0.280146638518
ACH-000007,-0.316648245469
ACH-000009,-0.444095933785
ACH-000011,-0.477272289174
ACH-000012,-0.486353876521
ACH-000013,-0.531009926345
ACH-000014,-0.17613451834399999
ACH-000015,-0.471918507588
ACH-000017,-0.38204711474799996
ACH-000018,-0.597820555771
ACH-000019,-0.133821882967
ACH-000021,-0.564108868671
ACH-000022,-0.641670972403
ACH-000025,-0.25929194627700003
ACH-000028,-0.136799440209
ACH-000030,-0.35618993444499997
ACH-000035,-0.350570539966
ACH-000036,-0.346712404693
ACH-000037,-0.189553555187
ACH-000039,-0.432872211201
ACH-000040,-0.67522106064
ACH-000041,-0.266051607536
ACH-000042,-0.535660705041
ACH-000045,-0.41014530679399996
ACH-000047,-0.38560712772
ACH-000052,-0.508785864799
ACH-000053,-0.265551618644
ACH-000054,-0.343270762893
ACH-000055,-0.5771271079829999
ACH-000060,-0.39409546111
ACH-000067,-0.47180775055600005
ACH-000070,-0.345561653253
ACH-000075,-0.5160209233699999
ACH-000078,-0.272569266277
ACH-000082,-0.30373298512200003
ACH-000085,-0.278715641584
ACH-000086,-0.349760417811
ACH-000087,-0.450038455698
ACH-000092,-0.39763390601599996
ACH-000095,-0.255770328276
ACH-000097,-0.321317839045
ACH-000098,-0.201825320561
ACH-000099,-0.383845961083
ACH-000108,-0.36992367064599996
ACH-000113,-0.201891039995
ACH-000115,-0.591762731447
ACH-000116,-0.41034953402900004
ACH-000118,-0.534681287107
ACH-000120,-0.399462987092
ACH-000123,-0.377414894198
ACH-000127,-0.278283169329
ACH-000128,-0.22729119151000002
ACH-000132,-0.38344563100900003
ACH-000133,-0.388229983204
ACH-000137,-0.26244155228599997
ACH-000138,-0.401747999503
ACH-000142,-0.49737375147699997
ACH-000143,-0.338929407572
ACH-000146,-0.212572628893
ACH-000148,-0.416354603878
ACH-000150,-0.357164603279
ACH-000152,-0.499165520431
ACH-000153,-0.21597594774
ACH-000159,-0.349763638141
ACH-000160,-0.281568950094
ACH-000163,-0.407986931053
ACH-000167,-0.090469703145
ACH-000168,-0.41840654077100004
ACH-000169,-0.567700724092
ACH-000178,-0.419206959247
ACH-000182,-0.588905821718
ACH-000183,-0.36141603603600003
ACH-000188,-0.540217204322
ACH-000189,-0.506459693317
ACH-000190,-0.34185072099799996
ACH-000198,-0.41233548670000003
ACH-000204,-0.535752157977
ACH-000206,-0.42090873047899996
ACH-000207,-0.615467240597
ACH-000211,-0.356196909669
ACH-000215,-0.411603723579
ACH-000221,-0.46800153802100003
ACH-000222,-0.459364068715
ACH-000223,-0.316851158229
ACH-000226,-0.26594385447200003
ACH-000227,-0.495173462949
ACH-000228,-0.237667468075
ACH-000231,-0.354612561797
ACH-000232,-0.300168432144
ACH-000233,-0.297587973791
ACH-000234,-0.41657845138899996
ACH-000235,-0.26799066989500003
ACH-000237,-0.470057012143
ACH-000238,-0.520823454581
ACH-000243,-0.352212591677
ACH-000244,-0.33213774559
ACH-000246,-0.390380427743
ACH-000248,-0.568184658556
ACH-000250,-0.35768562694399997
ACH-000251,-0.175456288491
ACH-000253,-0.428855708486
ACH-000255,-0.49963152177299996
ACH-000256,-0.284079064148
ACH-000257,-0.629413117669
ACH-000258,-0.164479770464
ACH-000259,-0.430847518403
ACH-000260,-0.259350291789
ACH-000261,-0.38454817714
ACH-000262,-0.437986954398
ACH-000263,-0.422107042274
ACH-000264,-0.390097536384
ACH-000265,-0.386108277755
ACH-000266,-0.430857784674
ACH-000272,-0.353165558152
ACH-000273,-0.38035427661
ACH-000274,-0.494417439896
ACH-000277,-0.351444734951
ACH-000278,-0.165777955212
ACH-000279,-0.266083527438
ACH-000280,-0.44862997207099997
ACH-000281,-0.281681757688
ACH-000288,-0.15203223373400002
ACH-000291,-0.410425486557
ACH-000293,-0.382749785208
ACH-000294,-0.24914828781
ACH-000295,-0.259870384527
ACH-000296,-0.0645881974345
ACH-000302,-0.25396586303199997
ACH-000304,-0.455725579361
ACH-000307,-0.29869986109900004
ACH-000308,-0.319970656354
ACH-000310,-0.146263325648
ACH-000311,-0.361605787421
ACH-000312,-0.41490440685
ACH-000315,-0.5615674784800001
ACH-000316,-0.464306932755
ACH-000317,-0.416039747259
ACH-000318,-0.330982059983
ACH-000319,-0.347054263067
ACH-000320,-0.439744020117
ACH-000322,-0.37768925170400003
ACH-000323,-0.411043201546
ACH-000324,-0.326980663841
ACH-000329,-0.28059134088300003
ACH-000330,-0.231944262934
ACH-000331,-0.27856790277800003
ACH-000332,-0.443216747272
ACH-000334,-0.39530577700400005
ACH-000335,-0.520911597218
ACH-000336,-0.292299890081
ACH-000337,-0.587285208987
ACH-000339,-0.352312365828
ACH-000341,-0.248586149389
ACH-000348,-0.444163771184
ACH-000350,-0.27382021338
ACH-000352,-0.436624298398
ACH-000356,-0.210469021625
ACH-000361,-0.186397243555
ACH-000362,-0.209858411511
ACH-000363,-0.37009824143299996
ACH-000364,-0.18786874968199999
ACH-000365,-0.225699865808
ACH-000366,-0.480893295841
ACH-000368,-0.569717808018
ACH-000374,-0.34011018365199996
ACH-000375,-0.5802841604510001
ACH-000376,-0.331297749349
ACH-000381,-0.40406742918399996
ACH-000383,-0.322865602212
ACH-000387,-0.270214414891
ACH-000389,-0.6243650685000001
ACH-000390,-0.317235658066
ACH-000393,-0.233691621206
ACH-000395,-0.586611352559
ACH-000397,-0.26187385248399997
ACH-000401,-0.23811142637200003
ACH-000402,-0.577658207159
ACH-000403,-0.348954398533
ACH-000404,-0.42374960591300004
ACH-000406,-0.304096039554
ACH-000407,-0.476878302875
ACH-000408,-0.5697323994669999
ACH-000410,-0.422950518222
ACH-000411,-0.565722428974
ACH-000414,-0.257015451211
ACH-000415,-0.15288651055299998
ACH-000416,-0.506052501868
ACH-000420,-0.685670153051
ACH-000421,-0.38412668193300004
ACH-000424,-0.200768149192
ACH-000425,-0.29817620739
ACH-000426,-0.7069842728810001
ACH-000427,-0.542708172118
ACH-000433,-0.34362153494000003
ACH-000436,-0.26204075939599997
ACH-000444,-0.475339568325
ACH-000445,-0.43879673329400004
ACH-000448,-0.292263839151
ACH-000450,-0.38980006025799996
ACH-000452,-0.222645197043
ACH-000454,-0.205901929879
ACH-000458,-0.616694352824
ACH-000459,-0.290253369129
ACH-000460,-0.33971928294200004
ACH-000461,-0.5217787794300001
ACH-000463,-0.508874181169
ACH-000464,-0.5725182860570001
ACH-000466,-0.200953340093
ACH-000467,-0.33563157312200004
ACH-000468,-0.406108910828
ACH-000469,-0.36155524528899996
ACH-000470,-0.45089573519299997
ACH-000471,-0.351085607586
ACH-000472,-0.303770306576
ACH-000473,-0.306700178353
ACH-000475,-0.40481464533100003
ACH-000476,-0.401014112768
ACH-000477,-0.132129147076
ACH-000480,-0.43052747417900006
ACH-000481,-0.333041683035
ACH-000483,-0.606926665348
ACH-000484,-0.189632655995
ACH-000485,-0.519221790599
ACH-000486,-0.336280957467
ACH-000487,-0.314988535949
ACH-000488,-0.537157303846
ACH-000490,-0.423830067575
ACH-000491,-0.40712243833899997
ACH-000495,-0.44466187170000004
ACH-000496,-0.22517144864799998
ACH-000499,-0.010918028796299998
ACH-000500,-0.33139141323000004
ACH-000502,-0.389776004071
ACH-000503,-0.687280657458
ACH-000505,-0.511869971474
ACH-000507,-0.51818290082
ACH-000510,-0.40610192408699997
ACH-000511,-0.466479970076
ACH-000512,-0.24818705517099998
ACH-000516,-0.39062676285099995
ACH-000517,-0.441214201381
ACH-000518,-0.178608429103
ACH-000520,-0.483597778384
ACH-000521,-0.579731023416
ACH-000522,-0.21725270925
ACH-000524,-0.32417695344700004
ACH-000527,-0.480229463811
ACH-000528,-0.342699807252
ACH-000537,-0.337333415471
ACH-000541,-0.38201165482
ACH-000542,-0.422916860013
ACH-000544,-0.45863379166199997
ACH-000545,-0.425584930387
ACH-000547,-0.510204049647
ACH-000548,-0.27779724968499997
ACH-000549,-0.471799984855
ACH-000550,-0.465065468
ACH-000552,-0.488555522652
ACH-000556,-0.498080604353
ACH-000557,-0.252454787203
ACH-000570,-0.414234386839
ACH-000571,-0.382128169264
ACH-000573,-0.32136835549000003
ACH-000576,-0.376096977584
ACH-000580,-0.353893775884
ACH-000584,-0.425294160362
ACH-000585,-0.308876100547
ACH-000588,-0.363218233996
ACH-000589,-0.47105819541599997
ACH-000591,-0.23471632396899997
ACH-000593,-0.521030460639
ACH-000600,-0.40229102610399997
ACH-000601,-0.46341599948600004
ACH-000604,-0.34940404760399996
ACH-000605,-0.294487621822
ACH-000606,-0.312828912171
ACH-000608,-0.432538675651
ACH-000614,-0.233555132479
ACH-000616,-0.18199474049400002
ACH-000618,-0.333119191352
ACH-000619,-0.465563073584
ACH-000620,-0.222283134312
ACH-000621,-0.468499737715
ACH-000622,-0.336395959552
ACH-000623,-0.34119367652599997
ACH-000624,-0.26412286971099996
ACH-000627,-0.311330213398
