,CYC1 (1537)
ACH-000004,-0.6991671078020001
ACH-000007,-1.32944202448
ACH-000009,-0.8588120719110001
ACH-000011,-0.7040491522600001
ACH-000012,-0.826595281568
ACH-000013,-0.762615980695
ACH-000014,-0.973656690649
ACH-000015,-0.867987398382
ACH-000017,-0.572322738673
ACH-000018,-0.603199392703
ACH-000019,-1.1782326808299999
ACH-000021,-0.834953273672
ACH-000022,-0.806996770994
ACH-000025,-0.836283403768
ACH-000028,-1.05722580876
ACH-000030,-1.1575413427299999
ACH-000035,-0.553795187038
ACH-000036,-0.256527195471
ACH-000037,-0.610892094902
ACH-000039,-0.723621754755
ACH-000040,-0.593184779658
ACH-000041,-0.878242682604
ACH-000042,-0.643440522236
ACH-000045,-0.525173085776
ACH-000047,-1.14777371586
ACH-000052,-0.740453101534
ACH-000053,-0.8205400116920001
ACH-000054,-1.1826655032100002
ACH-000055,-0.543264427499
ACH-000060,-0.800564566626
ACH-000067,-0.62517105359
ACH-000070,-0.750564508093
ACH-000075,-0.741791549551
ACH-000078,-0.916886761409
ACH-000082,-0.587170364094
ACH-000085,-0.532471480317
ACH-000086,-0.7497854884020001
ACH-000087,-0.926205320335
ACH-000092,-0.801998259013
ACH-000095,-0.40888762930699996
ACH-000097,-0.7940285369869999
ACH-000098,-0.572154335784
ACH-000099,-1.02073479143
ACH-000108,-0.623482026348
ACH-000113,-0.7749541488070001
ACH-000115,-0.7165860753389999
ACH-000116,-0.8082351198559999
ACH-000118,-1.16989669172
ACH-000120,-0.9669730558990001
ACH-000123,-0.8956862343549999
ACH-000127,-1.2601783450200001
ACH-000128,-1.0637784836700002
ACH-000132,-0.6509189906239999
ACH-000133,-0.520517995932
ACH-000137,-0.6943936291949999
ACH-000138,-1.2852501406799999
ACH-000142,-0.423909678838
ACH-000143,-0.654363558794
ACH-000146,-0.8842078389700001
ACH-000148,-0.854854706575
ACH-000150,-1.37068799808
ACH-000152,-0.815456934778
ACH-000153,-0.8931574082539999
ACH-000159,-0.969068734195
ACH-000160,-1.2397421565
ACH-000163,-0.725300775764
ACH-000167,-0.832345592441
ACH-000168,-0.546590232287
ACH-000169,-0.694861537509
ACH-000178,-0.699120726831
ACH-000182,-1.69646898215
ACH-000183,-1.08275514905
ACH-000188,-0.590696050911
ACH-000189,-0.850494159561
ACH-000190,-0.900886390245
ACH-000198,-0.7565997187710001
ACH-000204,-0.992535921388
ACH-000206,-1.1016758552500001
ACH-000207,-1.255673783
ACH-000211,-0.712171546997
ACH-000215,-0.780143700389
ACH-000221,-0.970768763417
ACH-000222,-0.939813771466
ACH-000223,-0.7664573289579999
ACH-000226,-0.9185773704369999
ACH-000227,-0.694368098937
ACH-000228,-0.588065418681
ACH-000231,-0.47532418567
ACH-000232,-0.620793828112
ACH-000233,-1.04406448521
ACH-000234,-0.93929767442
ACH-000235,-1.00959308107
ACH-000237,-0.43696907491000003
ACH-000238,-0.7424640121699999
ACH-000243,-0.709440636022
ACH-000244,-0.8864554635070001
ACH-000246,-1.2524797630700002
ACH-000248,-0.858343081854
ACH-000250,-0.640667170185
ACH-000251,-0.964168514134
ACH-000253,-0.9530938144609999
ACH-000255,-0.398891430282
ACH-000256,-0.9838301114799999
ACH-000257,-0.990577090028
ACH-000258,-0.7205194390109999
ACH-000259,-0.7639743733300001
ACH-000260,-0.547364593138
ACH-000261,-0.7271296359180001
ACH-000262,-0.632768589201
ACH-000263,-0.562321729812
ACH-000264,-0.7846170375239999
ACH-000265,-1.02259772981
ACH-000266,-0.7390295364480001
ACH-000272,-0.9093057138700001
ACH-000273,-0.740943511158
ACH-000274,-0.6476965656970001
ACH-000277,-1.3710220705
ACH-000278,-0.696098266632
ACH-000279,-1.08042275675
ACH-000280,-0.864076639731
