,CCRN4L (25819)
ACH-000004,-0.13512908487199998
ACH-000007,-0.312657735557
ACH-000009,-0.30216559303199997
ACH-000011,-0.228623728658
ACH-000012,-0.172224252971
ACH-000013,-0.13015256951600002
ACH-000014,-0.360968277129
ACH-000015,-0.30504424465999996
ACH-000017,-0.357052953821
ACH-000018,-0.41894429908200004
ACH-000019,-0.25531231805
ACH-000021,-0.22117301378100002
ACH-000022,-0.289412238815
ACH-000025,-0.205430692383
ACH-000028,-0.34415541138300004
ACH-000030,-0.33777172333800004
ACH-000035,-0.27141762618500004
ACH-000036,-0.124890461798
ACH-000037,-0.234694026521
ACH-000039,0.005242634118489999
ACH-000040,-0.432452716276
ACH-000041,-0.454235048573
ACH-000042,-0.332496844813
ACH-000045,-0.39402122619
ACH-000047,-0.379234941118
ACH-000052,-0.452189424585
ACH-000053,-0.213004604536
ACH-000054,-0.40593782374700005
ACH-000055,-0.42458511109200003
ACH-000060,-0.44560818276299996
ACH-000067,-0.503150186461
ACH-000070,-0.309368826977
ACH-000075,-0.254686510697
ACH-000078,-0.2217990169
ACH-000082,-0.42232852155699996
ACH-000085,-0.50211600357
ACH-000086,-0.42602200746200003
ACH-000087,-0.648805848074
ACH-000092,-0.363178433995
ACH-000095,-0.466861231873
ACH-000097,-0.252629031104
ACH-000098,-0.442403632178
ACH-000099,-0.157642697347
ACH-000108,-0.17242053879500002
ACH-000113,-0.169106741899
ACH-000115,-0.20043908469500002
ACH-000116,-0.335195969113
ACH-000118,-0.19233675538800002
ACH-000120,-0.313987962781
ACH-000123,-0.40183176758100003
ACH-000127,-0.42808620985299994
ACH-000128,-0.43918891202
ACH-000132,-0.386043227032
ACH-000133,-0.155888993609
ACH-000137,-0.17872376211899998
ACH-000138,-0.22679112782699998
ACH-000142,-0.38310726101099996
ACH-000143,-0.49675257526100003
ACH-000146,-0.19513682465799997
ACH-000148,-0.181964992324
ACH-000150,-0.41414754933200004
ACH-000152,-0.35536833516599997
ACH-000153,-0.322892439439
ACH-000159,-0.35933743024400006
ACH-000160,-0.20893374749200003
ACH-000163,-0.37735035549699997
ACH-000167,-0.24554838875100002
ACH-000168,-0.607381907153
ACH-000169,-0.408991019451
ACH-000178,-0.298077215737
ACH-000182,-0.31556184099
ACH-000183,-0.467332241946
ACH-000188,-0.271179565342
ACH-000189,-0.219766523089
ACH-000190,0.029384594712
ACH-000198,-0.30268776602200004
ACH-000204,-0.36198474321400004
ACH-000206,0.155345213543
ACH-000207,-0.430145706289
ACH-000211,-0.434452553493
ACH-000215,-0.378444151487
ACH-000221,-0.36346502435500005
ACH-000222,-0.27828980516699997
ACH-000223,-0.452584551455
ACH-000226,-0.30025312358399997
ACH-000227,-0.36020298529100003
ACH-000228,-0.315409501479
ACH-000231,-0.370261718926
ACH-000232,-0.367990186518
ACH-000233,-0.28258346722800004
ACH-000234,-0.38199840018299996
ACH-000235,-0.365004685331
ACH-000237,-0.278481785674
ACH-000238,-0.191452318235
ACH-000243,-0.190266564506
ACH-000244,-0.17154027725600002
ACH-000246,-0.370796440801
ACH-000248,-0.307331165775
ACH-000250,-0.429104197385
ACH-000251,-0.288599587735
ACH-000253,-0.238181969526
ACH-000255,-0.255129142993
ACH-000256,-0.46084957945200006
ACH-000257,-0.282260714226
ACH-000258,-0.22426139894699998
ACH-000259,-0.285680113833
ACH-000260,-0.29896492007500003
ACH-000261,-0.327907081787
ACH-000262,-0.212409293849
ACH-000263,-0.43790006579199997
ACH-000264,-0.277297926767
ACH-000265,-0.299585085584
ACH-000266,-0.277857719235
