,WDHD1 (11169)
ACH-000004,-1.14752668471
ACH-000007,-1.27629601816
ACH-000009,-1.42707414533
ACH-000011,-1.45180727003
ACH-000012,-1.20714944627
ACH-000013,-1.2149560938400001
ACH-000014,-1.08657162459
ACH-000015,-1.02861315291
ACH-000017,-1.14789313
ACH-000018,-1.01101176634
ACH-000019,-1.13424191429
ACH-000021,-0.9970365537070001
ACH-000022,-1.2768563266
ACH-000025,-1.19370820736
ACH-000028,-1.1442704723000001
ACH-000030,-1.06508486999
ACH-000035,-1.0837306895299998
ACH-000036,-1.38707357565
ACH-000037,-1.4000997329
ACH-000039,-1.16421144395
ACH-000040,-1.27390917192
ACH-000041,-1.44889062065
ACH-000042,-1.1679500466700001
ACH-000045,-1.1028157521600002
ACH-000047,-1.28938389926
ACH-000052,-1.47166992591
ACH-000053,-0.755359982351
ACH-000054,-1.31309024055
ACH-000055,-1.6010943775400002
ACH-000060,-1.0139681177
ACH-000067,-1.4233971503100002
ACH-000070,-1.30150949318
ACH-000075,-1.34076393109
ACH-000078,-1.3604507946200002
ACH-000082,-1.26989302027
ACH-000085,-1.23935095165
ACH-000086,-1.19301542301
ACH-000087,-1.23969695609
ACH-000092,-1.49464328708
ACH-000095,-1.0951525463299998
ACH-000097,-1.39516898193
ACH-000098,-1.29063029203
ACH-000099,-1.0455402525700002
ACH-000108,-1.11407967183
ACH-000113,-1.3061078236499999
ACH-000115,-1.15536014647
ACH-000116,-1.1665824263200002
ACH-000118,-1.0318717742899999
ACH-000120,-1.2669256638
ACH-000123,-1.11039390602
ACH-000127,-1.14824985536
ACH-000128,-1.0921719309
ACH-000132,-0.805661227131
ACH-000133,-1.4581831853
ACH-000137,-0.99380334865
ACH-000138,-1.09093005613
ACH-000142,-0.652872472265
ACH-000143,-1.3792784624899999
ACH-000146,-1.16006199789
ACH-000148,-1.28633568038
ACH-000150,-1.1014764572600002
ACH-000152,-1.4990344070200001
ACH-000153,-1.3516717755
ACH-000159,-1.21467770701
ACH-000160,-0.501509810721
ACH-000163,-1.24622501802
ACH-000167,-0.617229790952
ACH-000168,-0.912159350091
ACH-000169,-1.01847543115
ACH-000178,-1.18404728339
ACH-000182,-0.921372761413
ACH-000183,-1.28321354259
ACH-000188,-1.00383016221
ACH-000189,-1.50279071857
ACH-000190,-0.746003191488
ACH-000198,-1.11964160884
ACH-000204,-1.15460617923
ACH-000206,-0.7746428571739999
ACH-000207,-1.00173508589
ACH-000211,-1.16985423001
ACH-000215,-1.21906718687
ACH-000221,-1.04816150264
ACH-000222,-1.1578748152200002
ACH-000223,-1.31285187354
ACH-000226,-1.0345061115
ACH-000227,-1.59177408606
ACH-000228,-1.29100580361
ACH-000231,-1.25987618268
ACH-000232,-1.18998912779
ACH-000233,-1.1963041900799998
ACH-000234,-1.16789762681
ACH-000235,-1.05967461702
ACH-000237,-1.14754156263
ACH-000238,-1.039935917
ACH-000243,-0.827422340088
ACH-000244,-1.14687454321
ACH-000246,-1.31465872073
ACH-000248,-0.8385421212999999
ACH-000250,-1.30923848113
ACH-000251,-1.0594472031
ACH-000253,-1.3335081024600002
ACH-000255,-1.1614258530600001
ACH-000256,-1.29988355884
ACH-000257,-1.62613560266
ACH-000258,-0.932326203472
ACH-000259,-1.07347605253
ACH-000260,-1.0498510446200002
ACH-000261,-1.3627213044
