,PRR14L (253143)
ACH-000004,-0.0949416608028
ACH-000007,-0.11917461899000001
ACH-000009,-0.256165898182
ACH-000011,-0.0326241687682
ACH-000012,-0.0826578024862
ACH-000013,0.04536209223680001
ACH-000014,-0.116898197038
ACH-000015,0.076442918439
ACH-000017,-0.304251791102
ACH-000018,-0.17648402506400002
ACH-000019,0.0149966377284
ACH-000021,-0.030946862632400002
ACH-000022,-0.170611781094
ACH-000025,-0.055351422842199995
ACH-000028,-0.110034532932
ACH-000030,-0.0840466751555
ACH-000035,-0.27638401232500004
ACH-000036,0.0268778803462
ACH-000037,-0.0841021154719
ACH-000039,-0.0037035809875
ACH-000040,0.00188151468241
ACH-000041,-0.0037144093668699998
ACH-000042,-0.026642526540799998
ACH-000045,-0.034977296586199996
ACH-000047,-0.175777116001
ACH-000052,0.102879887517
ACH-000053,0.142145889273
ACH-000054,-0.12934361610700001
ACH-000055,-0.36468925012599995
ACH-000060,0.011677148310400001
ACH-000067,-0.0674841899027
ACH-000070,-0.00800919336152
ACH-000075,-0.061084511657999996
ACH-000078,-0.174817557688
ACH-000082,-0.035737842267999996
ACH-000085,0.09648130561589999
ACH-000086,0.19378532500100001
ACH-000087,-0.131992333215
ACH-000092,-0.049422743404
ACH-000095,-0.150636758845
ACH-000097,-0.175727386118
ACH-000098,-0.0859900270679
ACH-000099,0.18022622829
ACH-000108,-0.030542096405000004
ACH-000113,-0.0408711649041
ACH-000115,-0.23133745233000003
ACH-000116,-0.0157137367755
ACH-000118,0.045612556385900005
ACH-000120,0.0629315400764
ACH-000123,0.0775234731527
ACH-000127,0.0830173230511
ACH-000128,-0.168060431384
ACH-000132,-0.247435095719
ACH-000133,-0.009346003396709998
ACH-000137,0.0189860272856
ACH-000138,0.110684087752
ACH-000142,0.126096328127
ACH-000143,-0.0588939570312
ACH-000146,0.0330414597663
ACH-000148,-0.0174943119535
ACH-000150,-0.233296935642
ACH-000152,0.0032990617380500003
ACH-000153,0.07857742736960001
ACH-000159,0.10581331053200001
ACH-000160,-0.17226732483399998
ACH-000163,0.056933120450499995
ACH-000167,0.142242742324
ACH-000168,-0.13201001676100002
ACH-000169,-0.108332633379
ACH-000178,-0.0489240465311
ACH-000182,0.132507369866
ACH-000183,0.00225851514131
ACH-000188,0.03696391366269999
ACH-000189,-0.0832241947161
ACH-000190,-0.13904559960100002
ACH-000198,-0.106881677318
ACH-000204,-0.022781305735299996
ACH-000206,-0.157039249908
ACH-000207,-0.118658895852
ACH-000211,-0.031174245886599998
ACH-000215,-0.0440353686893
ACH-000221,-0.16289514298
ACH-000222,0.180094982027
ACH-000223,-0.0699166132581
ACH-000226,0.05996086748380001
ACH-000227,-0.162730848814
