,SYNPO2L (79933)
ACH-000004,-0.275244571652
ACH-000007,-0.0404096864089
ACH-000009,-0.494579332119
ACH-000011,-0.20883435342999998
ACH-000012,-0.591779271878
ACH-000013,-0.39668210748300003
ACH-000014,-0.364828534363
ACH-000015,-0.39211098295900004
ACH-000017,-0.481691368455
ACH-000018,-0.464407148341
ACH-000019,-0.191360548792
ACH-000021,-0.383124914119
ACH-000022,-0.35793560091700005
ACH-000025,-0.617127464822
ACH-000028,-0.297042306034
ACH-000030,-0.6976824010279999
ACH-000035,-0.510918200982
ACH-000036,-0.33200800286800003
ACH-000037,-0.136642171559
ACH-000039,-0.38269443715400003
ACH-000040,-0.42234177614699997
ACH-000041,-0.14630998809499998
ACH-000042,-0.49890948417900005
ACH-000045,-0.282617199634
ACH-000047,-0.340028889994
ACH-000052,-0.506999645916
ACH-000053,-0.338495552066
ACH-000054,-0.262072956719
ACH-000055,-0.41477728784699996
ACH-000060,-0.285388858105
ACH-000067,-0.342831847141
ACH-000070,-0.34260623517399996
ACH-000075,-0.328305266461
ACH-000078,-0.255535733037
ACH-000082,-0.35564654310000005
ACH-000085,-0.312318137876
ACH-000086,-0.373275454284
ACH-000087,-0.427003812447
ACH-000092,-0.325004226551
ACH-000095,-0.34787072283799997
ACH-000097,-0.283157960453
ACH-000098,-0.26880673654599996
ACH-000099,-0.30970090001
ACH-000108,-0.417068743457
ACH-000113,-0.295339479519
ACH-000115,-0.26279419392700004
ACH-000116,-0.225738885926
ACH-000118,-0.595074403182
ACH-000120,-0.323268840666
ACH-000123,-0.458371599428
ACH-000127,-0.403622042198
ACH-000128,-0.27687525739999996
ACH-000132,-0.35018462335199996
ACH-000133,-0.43664386781400005
ACH-000137,-0.257808656355
ACH-000138,-0.258660532133
ACH-000142,-0.440195716684
ACH-000143,-0.510927722433
ACH-000146,-0.468341905423
ACH-000148,-0.474162906452
ACH-000150,-0.28128951908300004
ACH-000152,-0.321415594874
ACH-000153,-0.0832535661873
ACH-000159,-0.283047935081
ACH-000160,-0.357825009556
ACH-000163,-0.333983788316
ACH-000167,-0.24847823610800002
ACH-000168,-0.243643774114
ACH-000169,-0.499096337559
ACH-000178,-0.316018880386
ACH-000182,-0.427354907315
ACH-000183,-0.378881335003
ACH-000188,-0.498925281339
ACH-000189,-0.31920320930199997
ACH-000190,-0.588386234839
ACH-000198,-0.277432317016
ACH-000204,-0.495148898803
ACH-000206,-0.518026831618
ACH-000207,-0.455760085688
ACH-000211,-0.327065788252
ACH-000215,-0.31283602086199996
ACH-000221,-0.31675080168
ACH-000222,-0.254007487844
ACH-000223,-0.38982432784800003
ACH-000226,-0.41452913098099997
ACH-000227,-0.504919902393
ACH-000228,-0.518724577621
ACH-000231,-0.45001499053000005
ACH-000232,-0.383538102683
ACH-000233,-0.39254026988799995
ACH-000234,-0.36654933008100005
ACH-000235,-0.420746352755
ACH-000237,-0.421623762481
ACH-000238,-0.334004530446
ACH-000243,-0.516746753142
ACH-000244,-0.37842386934699995
ACH-000246,-0.29165627810899997
ACH-000248,-0.336135219981
ACH-000250,-0.351450171912
ACH-000251,-0.428165334862
ACH-000253,-0.478639299845
ACH-000255,-0.319695114969
ACH-000256,-0.213411896352
ACH-000257,-0.286345060355
ACH-000258,-0.410514385834
ACH-000259,-0.340195311489
ACH-000260,-0.27946404730999996
ACH-000261,-0.305955433619
ACH-000262,-0.551560548206
ACH-000263,-0.416464277662
ACH-000264,-0.261717907916
ACH-000265,-0.433529259395
ACH-000266,-0.354392655499
ACH-000272,-0.310975889689
ACH-000273,-0.322594068814
ACH-000274,-0.247240747071
ACH-000277,-0.14189092449100002
ACH-000278,-0.23628967236099999
ACH-000279,-0.516514857725
ACH-000280,-0.49291028297899997
ACH-000281,-0.6671084075020001
ACH-000288,-0.5219153241009999
ACH-000291,-0.152672738827
ACH-000293,-0.452865194335
ACH-000294,-0.616520269491
ACH-000295,-0.520724770602
ACH-000296,-0.586078191971
ACH-000302,-0.43335549173199994
ACH-000304,-0.173021280735
ACH-000307,-0.298445478796
ACH-000308,-0.45202924367200004
ACH-000310,-0.52202733906
ACH-000311,-0.43761098360699996
ACH-000312,-0.312111483617
ACH-000315,-0.320016167666
ACH-000316,-0.17748676868299998
ACH-000317,-0.360825870854
ACH-000318,-0.25303334214699996
ACH-000319,-0.333268632667
ACH-000320,-0.617710125065
ACH-000322,-0.513214045462
ACH-000323,-0.374178599886
ACH-000324,-0.345763969197
ACH-000329,-0.20873887213300002
ACH-000330,-0.062494408408599995
ACH-000331,-0.302484540049
ACH-000332,-0.37487679163099996
ACH-000334,-0.549564364917
ACH-000335,-0.36634034706999996
ACH-000336,-0.26743238276000003
ACH-000337,-0.37424940543499996
ACH-000339,-0.404486348036
ACH-000341,-0.303078005424
ACH-000348,-0.25427920408000004
ACH-000350,-0.31130735582400004
ACH-000352,-0.233622715989
ACH-000356,-0.420325463508
ACH-000361,-0.456276884313
ACH-000362,-0.394582613241
ACH-000363,-0.154129695337
ACH-000364,-0.288266832831
ACH-000365,-0.460826927769
ACH-000366,-0.387657022663
ACH-000368,-0.475563797442
ACH-000374,-0.519758225282
ACH-000375,-0.17469221344099997
ACH-000376,-0.290517651393
ACH-000381,-0.483823786037
ACH-000383,-0.32896312743
