,SEC16A (9919)
ACH-000004,-0.847477780626
ACH-000007,-0.619144380319
ACH-000009,-0.642502158496
ACH-000011,-0.39738720716700004
ACH-000012,-0.896096017129
ACH-000013,-0.7237965870999999
ACH-000014,-1.01946760396
ACH-000015,-0.8099813254279999
ACH-000017,-0.650316272441
ACH-000018,-0.48723886900300006
ACH-000019,-0.776894495596
ACH-000021,-0.919537903267
ACH-000022,-0.7581442565090001
ACH-000025,-0.565476434592
ACH-000028,-0.590112689682
ACH-000030,-0.63908591057
ACH-000035,-0.6782072983759999
ACH-000036,-0.6915542419220001
ACH-000037,-0.115224653116
ACH-000039,-0.632435033442
ACH-000040,-0.561913147569
ACH-000041,-0.69997486546
ACH-000042,-0.703960260142
ACH-000045,-0.784752229587
ACH-000047,-0.964771244869
ACH-000052,-0.774222147077
ACH-000053,-0.9239038777140001
ACH-000054,-0.665411598307
ACH-000055,-0.7499717429430001
ACH-000060,-0.891679012094
ACH-000067,-0.506513589456
ACH-000070,-0.675151153664
ACH-000075,-0.36038688744900005
ACH-000078,-0.575269671559
ACH-000082,-1.07141820294
ACH-000085,-0.9298648121269999
ACH-000086,-0.758112450759
ACH-000087,-0.7450413119239999
ACH-000092,-0.6687302568060001
ACH-000095,-0.969867148035
ACH-000097,-0.840990806877
ACH-000098,-0.679471080882
ACH-000099,-0.649202686379
ACH-000108,-0.974533781174
ACH-000113,-0.581452013973
ACH-000115,-0.948050861613
ACH-000116,-0.705760665837
ACH-000118,-0.6774093510510001
ACH-000120,-0.7087263370129999
ACH-000123,-0.963326950902
ACH-000127,-0.635268824003
ACH-000128,-0.5469898247820001
ACH-000132,-0.7522904486830001
ACH-000133,-0.7360285312639999
ACH-000137,-0.508384648423
ACH-000138,-0.8301332501950001
ACH-000142,-0.701994066085
ACH-000143,-0.700982781507
ACH-000146,-0.601708241559
ACH-000148,-0.797451557994
ACH-000150,-0.644489719538
ACH-000152,-0.7477814804299999
ACH-000153,-0.796229520954
ACH-000159,-0.865676408662
ACH-000160,-0.618583853946
ACH-000163,-0.8497665194089999
ACH-000167,-0.9188233074169999
ACH-000168,-0.7740684513339999
ACH-000169,-0.590521567399
ACH-000178,-0.683048279761
ACH-000182,-1.07948209599
ACH-000183,-0.9993508754539999
ACH-000188,-0.6383656921149999
ACH-000189,-0.66844254826
ACH-000190,-1.03422280544
ACH-000198,-0.919115844702
ACH-000204,-0.658551310969
ACH-000206,-0.760555993652
ACH-000207,-0.895013969825
ACH-000211,-0.445751861544
ACH-000215,-0.755427852967
ACH-000221,-0.896788437241
ACH-000222,-0.679968810069
ACH-000223,-0.8908362899310001
ACH-000226,-0.592227101443
ACH-000227,-0.9831152269140001
ACH-000228,-0.707254133264
ACH-000231,-0.553758830287
ACH-000232,-0.543719156369
ACH-000233,-0.87426420465
ACH-000234,-0.9512972382100001
ACH-000235,-0.792122821704
ACH-000237,-0.729364256065
ACH-000238,-0.828381150412
ACH-000243,-0.7707921992810001
ACH-000244,-1.13344914768
ACH-000246,-0.993462837817
ACH-000248,-0.7915036913050001
ACH-000250,-0.728981763038
ACH-000251,-0.574870047008
ACH-000253,-0.7381396929709999
ACH-000255,-0.787658610582
ACH-000256,-0.9108076982819999
ACH-000257,-0.672158270775
ACH-000258,-0.7685287512029999
ACH-000259,-0.880719311107
ACH-000260,-0.6729690140989999
ACH-000261,-0.821639886304
ACH-000262,-0.969252372313
ACH-000263,-0.528661798937
ACH-000264,-0.772373342426
ACH-000265,-0.505732881757
ACH-000266,-0.936214064331
ACH-000272,-0.640152755012
ACH-000273,-0.5927687239370001
ACH-000274,-0.663881077918
ACH-000277,-0.724456553054
ACH-000278,-0.8250461074590001
ACH-000279,-0.545054845616
ACH-000280,-0.823061266322
ACH-000281,-0.49872466629699996
ACH-000288,-0.530962071106
ACH-000291,-0.8724782851899999
ACH-000293,-1.23270514416
ACH-000294,-0.87674322718
ACH-000295,-0.330510579815
ACH-000296,-0.31998899496800004
ACH-000302,-0.964008034295
ACH-000304,-0.5253958258370001
ACH-000307,-0.5658608320399999
ACH-000308,-1.00770293605
ACH-000310,-0.955937678994
ACH-000311,-0.817225368397
ACH-000312,-0.786530119788
ACH-000315,-0.793250303026
ACH-000316,-0.595573612439
ACH-000317,-0.8418736277750001
ACH-000318,-0.7890761040459999
ACH-000319,-0.711309901171
ACH-000320,-0.409882938728
ACH-000322,-0.9150347503399999
ACH-000323,-0.850625410398
ACH-000324,-0.785276388389
ACH-000329,-0.690313693723
ACH-000330,-0.58815529662
ACH-000331,-0.854291676461
ACH-000332,-0.801403239769
ACH-000334,-0.477367182343
ACH-000335,-0.561002584192
ACH-000336,-0.6381185317360001
ACH-000337,-0.371510723222
ACH-000339,-0.7080223783490001
ACH-000341,-0.331495611563
ACH-000348,-0.913840222
ACH-000350,-0.860993913468
ACH-000352,-0.739845202465
ACH-000356,-0.412399829798
ACH-000361,-0.877164076606
ACH-000362,-0.7611827891419999
ACH-000363,-0.755714491768
ACH-000364,-0.564898681741
ACH-000365,-0.705582561989
ACH-000366,-0.539140410373
ACH-000368,-0.543395584646
ACH-000374,-0.7289303996170001
ACH-000375,-0.546535306291
ACH-000376,-0.711800569244
ACH-000381,-0.813575061699
ACH-000383,-0.724961505359
ACH-000387,-1.02721211679
ACH-000389,-0.9345841618619999
ACH-000390,-0.6073196068860001
ACH-000393,-1.00221521329
ACH-000395,-0.782028113137
ACH-000397,-0.822302403476
ACH-000401,-0.9410137365440001
ACH-000402,-0.403865158381
ACH-000403,-0.832504983881
ACH-000404,-0.748469065688
ACH-000406,-0.810763068408
ACH-000407,-0.702983831419
ACH-000408,-0.5626389118990001
ACH-000410,-1.15716912506
ACH-000411,-0.6806200328669999
ACH-000414,-0.810064457248
ACH-000415,-0.599046070688
ACH-000416,-0.913422385598
ACH-000420,-0.933827638934
ACH-000421,-0.7550597227770001
ACH-000424,-0.195574268293
ACH-000425,-0.854578492814
ACH-000426,-0.5987170919579999
ACH-000427,-0.720517828678
ACH-000433,-1.07359145323
ACH-000436,-0.9518864560420001
ACH-000444,-0.6548395400770001
ACH-000445,-0.618927662916
ACH-000448,-0.6911611304369999
ACH-000450,-0.9191442513339999
ACH-000452,-0.36660797346
ACH-000454,-0.632578881172
ACH-000458,-0.577590225339
ACH-000459,-1.2810038435100002
ACH-000460,-0.7604534172759999
ACH-000461,-0.428787245427
ACH-000463,-0.548184293689
ACH-000464,-0.8009897631119999
ACH-000466,-0.642628984558
ACH-000467,-0.82065319197
ACH-000468,-0.28943903235199997
ACH-000469,-0.6094334617989999
ACH-000470,-0.898097453412
ACH-000471,-0.8325662438510001
ACH-000472,-0.6536547572429999
ACH-000473,-0.694622265378
ACH-000475,-0.500163417739
ACH-000476,-0.8011840314450001
ACH-000477,-0.947508505806
ACH-000480,-0.7550016430869999
ACH-000481,-0.83583056807
ACH-000483,-1.50289628908
ACH-000484,-0.948732804902
ACH-000485,-0.8345243260490001
ACH-000486,-0.48816003687299997
ACH-000487,-0.767973628614
ACH-000488,-0.756482953212
ACH-000490,-0.550281262977
ACH-000491,-0.879877017647
ACH-000495,-0.7792207434020001
ACH-000496,-0.637615763591
ACH-000499,-0.42060715052599995
ACH-000500,-0.898797486333
ACH-000502,-0.689867003944
ACH-000503,-0.274653108173
ACH-000505,-0.7613484469600001
ACH-000507,-0.6674519435540001
ACH-000510,-0.8016381332879999
ACH-000511,-0.790514359931
ACH-000512,-0.328026095365
ACH-000516,-0.7931364655519999
ACH-000517,-0.8113183213940001
ACH-000518,-0.650887449351
ACH-000520,-0.488381573587
ACH-000521,-0.982372946462
ACH-000522,-0.491311527415
ACH-000524,-0.912002733854
ACH-000527,-1.09844836873
ACH-000528,-1.01542209089
ACH-000537,-0.602618189728
ACH-000541,-0.844553420065
ACH-000542,-0.666859057849
ACH-000544,-0.627823456161
ACH-000545,-0.347706091488
ACH-000547,-0.68563477824
ACH-000548,-0.533436712189
ACH-000549,-0.370626519297
ACH-000550,-0.020702885366599998
ACH-000552,-0.667691224889
ACH-000556,-0.49903965614600004
ACH-000557,-0.663606396941
ACH-000570,-0.769852867604
ACH-000571,-0.829604055383
ACH-000573,-0.719651808653
ACH-000576,-0.571485398276
ACH-000580,-0.511717595414
ACH-000584,-1.11453169967
ACH-000585,-0.779714685198
ACH-000588,-0.441636313421
ACH-000589,-0.475268160452
ACH-000591,-0.29120907158500003
ACH-000593,-0.521155373146
ACH-000600,-0.141787612285
ACH-000601,-0.749184447623
ACH-000604,-0.908164254571
ACH-000605,-1.00938295239
ACH-000606,-0.6954631771600001
ACH-000608,-0.730590805573
ACH-000614,-0.672322016409
ACH-000616,-0.427223419013
ACH-000618,-0.531456513549
ACH-000619,-0.8813318248149999
ACH-000620,-0.711396267723
ACH-000621,-0.926557517444
ACH-000622,-0.947121683275
ACH-000623,-0.6964388138359999
ACH-000624,-0.843488816894
ACH-000627,-0.662350075387
ACH-000630,-0.454168291379
ACH-000632,-0.645432786466
ACH-000633,-0.816644154944
ACH-000637,-0.853706655035
ACH-000638,-0.807182056276
ACH-000646,-1.39845642014
ACH-000647,-0.66907047349
ACH-000648,-0.785018386908
ACH-000649,-0.6741043505679999
ACH-000651,-0.705277631144
ACH-000652,-0.742672182002
ACH-000653,-0.913397627016
ACH-000657,-0.741990053496
ACH-000658,-0.582422483989
ACH-000661,-0.7486506709340001
ACH-000662,-0.8305678394580001
ACH-000663,-1.0425548814899999
ACH-000665,-0.691598389275
ACH-000671,-0.6805118669050001
ACH-000673,-0.540199129636
ACH-000676,-0.8387153661
ACH-000677,-1.01015204813
ACH-000681,-0.6689957062799999
ACH-000682,-0.734416604381
ACH-000683,-0.986298556021
ACH-000684,-0.432860137919
ACH-000688,-0.706760304288
ACH-000693,-0.607945661002
ACH-000694,-0.647389546062
ACH-000695,-0.5958227857689999
ACH-000696,-0.686029692587
ACH-000697,-0.7526894927009999
ACH-000699,-1.03362384567
ACH-000701,-0.8854748267170001
ACH-000706,-1.10472713462
ACH-000711,-0.683655027058
ACH-000713,-0.578830068036
ACH-000714,-0.718436065043
ACH-000718,-0.8674205573170001
ACH-000720,-0.502612085871
ACH-000721,-0.688727324479
ACH-000724,-0.463590830422
ACH-000725,-1.02589247808
ACH-000732,-0.556382408072
ACH-000734,-0.5017644271689999
ACH-000735,-0.7076542391130001
ACH-000736,-0.69771326995
ACH-000738,-0.7609333698019999
ACH-000746,-0.6870522697570001
ACH-000747,-0.8194824159999999
ACH-000748,-1.04647566535
ACH-000753,-0.6597589694179999
ACH-000756,-0.601455578965
ACH-000757,-0.8164333719619999
ACH-000758,-0.845057015738
ACH-000760,-0.978804917432
ACH-000763,-0.7748832377079999
ACH-000764,-0.5059550912690001
ACH-000765,-0.5899462984089999
ACH-000766,-0.7727668514560001
ACH-000767,-1.2912175127299999
ACH-000768,-0.616330631694
ACH-000769,-0.820360383448
ACH-000770,-0.647256722179
ACH-000771,-0.8847456808140001
ACH-000773,-0.857415036517
ACH-000776,-0.714518572899
ACH-000777,-0.728230808894
ACH-000778,-0.701722405595
ACH-000781,-0.650824119525
ACH-000782,-0.732923830923
ACH-000783,-0.904107415037
ACH-000784,-0.706849844671
ACH-000785,-0.7933209628829999
ACH-000787,-0.509326014125
ACH-000788,-0.656470868209
ACH-000791,-0.825336109803
ACH-000792,-0.6852836882850001
ACH-000794,-0.520280041224
ACH-000796,-0.603117725891
ACH-000799,-0.9357706939980001
ACH-000800,-0.892725493836
ACH-000802,-0.540463588284
ACH-000804,-0.824252310588
ACH-000805,-0.781259463315
ACH-000809,-0.588736436791
ACH-000810,-0.588870864204
ACH-000811,-0.912676803602
ACH-000817,-0.362783623935
ACH-000819,-0.809132069957
ACH-000820,-1.2302684931399999
ACH-000821,-1.01573887002
ACH-000822,-0.7128625735959999
ACH-000823,-0.647449817537
ACH-000824,-0.67825434068
ACH-000827,-0.8460256332070001
ACH-000829,-0.673253478838
ACH-000831,-0.786069428507
ACH-000832,-0.44550938051600003
ACH-000833,-0.855528626414
ACH-000834,-0.626875607191
ACH-000835,-0.563064030684
ACH-000836,-0.808331466505
ACH-000837,-0.8290262665539999
ACH-000838,-0.40595876289399996
ACH-000839,-0.693250350461
ACH-000840,-0.737241798368
ACH-000841,-0.7687283529119999
ACH-000843,-0.643617045268
ACH-000846,-0.671989918779
ACH-000847,-0.6730703491680001
ACH-000848,-0.773857154252
ACH-000849,-0.737041836565
ACH-000851,-0.864890339338
ACH-000855,-0.454655019853
ACH-000856,-0.705670082806
ACH-000858,-0.863857684378
ACH-000859,-0.209474888235
ACH-000861,-0.736075533731
ACH-000862,-0.5353666514800001
ACH-000865,-0.763889712225
ACH-000866,-0.6463190355080001
ACH-000867,-0.8036265011849999
ACH-000869,-0.907513096366
ACH-000872,-0.833453524866
ACH-000873,-0.7477685315449999
ACH-000876,-0.110807436079
ACH-000878,-0.427871801828
ACH-000880,-0.818263267218
ACH-000881,-0.893641288128
ACH-000882,-0.8706306992399999
ACH-000884,-0.7038937104090001
ACH-000885,-0.611426513873
ACH-000887,-0.798240635994
ACH-000888,-0.55177181224
ACH-000889,-0.6196833613600001
ACH-000890,-0.482268620882
ACH-000896,-0.770262130235
ACH-000898,-0.863163167229
ACH-000900,-0.882648029275
ACH-000901,-0.7885188747930001
ACH-000905,-0.701742592628
ACH-000906,-0.643386396903
ACH-000907,-1.19842439344
ACH-000910,-0.586300407737
ACH-000911,-0.583721755055
ACH-000912,-0.621686169934
ACH-000913,-0.742835169155
ACH-000915,-0.7779296336139999
ACH-000916,-0.5713173765039999
ACH-000917,-0.553310760768
ACH-000921,-0.7616567712819999
ACH-000924,-0.874310215519
ACH-000926,-0.8084384501890001
ACH-000928,-0.850663999887
ACH-000929,-0.9838891241169999
ACH-000932,-1.0293503441299998
ACH-000935,-0.513398815991
ACH-000936,-0.466724196247
ACH-000937,-0.763433166092
ACH-000938,-0.79156009315
ACH-000939,-0.687327853618
ACH-000941,-0.8616474629690001
ACH-000943,-0.523403062261
ACH-000946,-0.622462433282
ACH-000947,-0.6337743988319999
ACH-000948,-0.9040596426459999
ACH-000950,-0.62353797986
ACH-000953,-0.519921403576
ACH-000957,-0.729503206068
ACH-000958,-0.6604522223870001
ACH-000960,-0.788864136433
ACH-000963,-0.36451670631399996
ACH-000968,-0.688194637526
ACH-000969,-0.836425101442
ACH-000973,-0.427807005999
ACH-000974,-0.817212945235
ACH-000975,-0.6844483195700001
ACH-000976,-0.874755825178
ACH-000978,-1.03109636556
ACH-000980,-0.733034984254
ACH-000984,-0.573011839932
ACH-000986,-0.6823318627410001
ACH-000988,-0.722118685687
ACH-000993,-1.14188144595
ACH-000994,-1.10997596078
ACH-000996,-0.7613478680660001
ACH-001001,-0.7695203308759999
ACH-001020,-0.9542746783230001
ACH-001028,-0.685782473552
ACH-001031,-0.707446373142
ACH-001038,-0.653044604044
ACH-001048,-0.622427142396
ACH-001050,-0.45540794237
ACH-001053,-0.778418097459
ACH-001054,-0.8003224847529999
ACH-001061,-0.8161980419499999
ACH-001067,-0.8055609618080001
ACH-001075,-0.46348093459899997
ACH-001096,-0.713116393955
ACH-001128,-0.712845108211
ACH-001134,-0.833970205842
ACH-001151,-1.03481693334
ACH-001163,-0.9793740174369999
ACH-001164,-0.9034643133920001
ACH-001173,-0.645726393908
ACH-001183,-0.803352301568
ACH-001184,-0.908472052243
ACH-001190,-0.442848318131
ACH-001192,-0.794029667338
ACH-001193,-0.631531480295
ACH-001196,-0.7471855186949999
ACH-001197,-0.759023210591
ACH-001205,-0.7279857773299999
ACH-001211,-0.944472583539
ACH-001212,-0.864905938148
ACH-001228,-0.6998812166600001
ACH-001232,-0.784088027755
ACH-001239,-0.631913531612
ACH-001274,-0.408776181058
ACH-001275,-0.720114645831
ACH-001277,-0.894929045187
ACH-001278,-0.801577865805
ACH-001280,-1.10845311036
ACH-001283,-0.804752890884
ACH-001289,-0.96946609199
ACH-001295,-0.869478715577
ACH-001300,-0.849497809261
ACH-001301,-0.9268566768179999
ACH-001302,-0.594701179106
ACH-001303,-0.47876446662600003
ACH-001306,-0.608073187004
ACH-001318,-0.873706333742
ACH-001322,-0.698394416061
ACH-001328,-0.7329393861929999
ACH-001332,-0.523103756974
ACH-001333,-0.474252121263
ACH-001336,-0.566682205907
ACH-001340,-0.8146046257430001
ACH-001346,-0.718759967693
ACH-001353,-0.846400474122
ACH-001354,-0.9671640780830001
ACH-001367,-0.6454294241399999
ACH-001368,-0.673357536423
ACH-001374,-0.539320826487
ACH-001375,-0.8207190372
ACH-001377,-0.6862006727159999
ACH-001380,-0.840428426707
ACH-001391,-0.664762719331
ACH-001407,-0.46893903323700004
ACH-001408,-0.722502322025
ACH-001413,-0.8166836017820001
ACH-001430,-0.700220479796
ACH-001431,-0.602229414595
ACH-001450,-0.6567355139769999
