,TGFA (7039)
ACH-000004,0.026729786312
ACH-000007,-0.263853386561
ACH-000009,0.09957984548110001
ACH-000011,-0.0882778360018
ACH-000012,-0.066113350334
ACH-000013,-0.254890843741
ACH-000014,-0.137943352081
ACH-000015,-0.151994157285
ACH-000017,-0.0472454922456
ACH-000018,-0.0845233579568
ACH-000019,0.058330474912900006
ACH-000021,-0.241672488821
ACH-000022,-0.105045839618
ACH-000025,-0.105045042139
ACH-000028,-0.006383378334330001
ACH-000030,-0.17073254065699997
ACH-000035,-0.039352992984199996
ACH-000036,-0.19665163926399998
ACH-000037,-0.42129541413500005
ACH-000039,-0.0472903474213
ACH-000040,-0.0227621962635
ACH-000041,-0.359850095162
ACH-000042,-0.0953615059718
ACH-000045,-0.07194725549810001
ACH-000047,-0.07906663854010001
ACH-000052,-0.144330682968
ACH-000053,-0.239349101758
ACH-000054,-0.228764364701
ACH-000055,-0.245199959887
ACH-000060,-0.016031699945399998
ACH-000067,-0.28940947630999997
ACH-000070,0.036248203234
ACH-000075,-0.204941497713
ACH-000078,-0.199601170734
ACH-000082,-0.199559136892
ACH-000085,-0.17195914585299998
ACH-000086,-0.26835313339899997
ACH-000087,-0.207616014977
ACH-000092,-0.157593483988
ACH-000095,-0.13392450531300001
ACH-000097,-0.20152459322799998
ACH-000098,-0.0934050487116
ACH-000099,-0.06439485737890001
ACH-000108,0.110220022098
ACH-000113,-0.064010442611
ACH-000115,-0.223291118944
ACH-000116,-0.11623593805299999
ACH-000118,-0.05793230076230001
ACH-000120,-0.174294199877
ACH-000123,-0.195140462373
ACH-000127,-0.20390705808600001
ACH-000128,-0.11975160030899999
ACH-000132,-0.0184759859198
ACH-000133,-0.0868130245228
ACH-000137,-0.597380197562
ACH-000138,-0.010728026365700001
ACH-000142,-0.22613384605599998
ACH-000143,-0.11597392250999998
ACH-000146,-0.12743215774900002
ACH-000148,-0.035475463388400005
ACH-000150,0.04522578179549999
ACH-000152,-0.161121012168
ACH-000153,0.197596149176
ACH-000159,-0.0675043596562
ACH-000160,-0.25959674946600003
ACH-000163,-0.08198355581410001
ACH-000167,-0.434122826752
ACH-000168,0.00853078471696
ACH-000169,-0.163527211012
ACH-000178,-0.0996644230425
ACH-000182,-0.049384700022900005
ACH-000183,-0.11871561031300001
ACH-000188,-0.178186755433
ACH-000189,0.0987382969717
ACH-000190,-0.388138599845
ACH-000198,-0.125715514614
ACH-000204,-0.278073785073
ACH-000206,-0.109393165284
ACH-000207,-0.282578762842
ACH-000211,-0.09057875714039999
ACH-000215,-0.237957262371
ACH-000221,-0.131625313427
ACH-000222,-0.256698734841
ACH-000223,-0.16791208456300002
ACH-000226,-0.104632222852
ACH-000227,-0.114595125413
ACH-000228,-0.0927766237906
ACH-000231,-0.030220504419400003
ACH-000232,-0.194844494246
ACH-000233,-0.061125549069
ACH-000234,-0.13833543892
ACH-000235,-0.17886920439800003
ACH-000237,-0.10548820669
ACH-000238,-0.152872132912
ACH-000243,-0.0955193922174
ACH-000244,0.1161076323
ACH-000246,-0.0766305149054
ACH-000248,-0.09837333811239998
ACH-000250,-0.0361220414602
ACH-000251,-0.0706327004169
ACH-000253,-0.027289448034
ACH-000255,-0.233893085661
ACH-000256,-0.13156848918199998
ACH-000257,0.0779244446143
ACH-000258,-0.356697680431
ACH-000259,-0.0613485971187
ACH-000260,-0.165157609746
ACH-000261,-0.19541080422899998
ACH-000262,0.0364978352293
ACH-000263,-0.480514425431
ACH-000264,-0.250412682985
ACH-000265,-0.0912521450299
ACH-000266,-0.116317372705
ACH-000272,-0.251788638201
ACH-000273,-0.143417733585
ACH-000274,-0.273388346856
ACH-000277,-0.280671228569
ACH-000278,-0.0451002431342
ACH-000279,-0.32621200540999995
ACH-000280,0.06908607753330001
ACH-000281,0.012941030593399998
ACH-000288,-0.160685980085
ACH-000291,-0.167425714851
ACH-000293,-0.37533826775
ACH-000294,-0.213210094839
ACH-000295,-0.024637043440999998
ACH-000296,-0.12250661364399999
ACH-000302,0.040597826206699994
ACH-000304,-0.11515571997400001
ACH-000307,-0.180633744038
ACH-000308,-0.13101678525000002
ACH-000310,0.07056345290060001
ACH-000311,-0.0317151936233
ACH-000312,-0.162730345448
ACH-000315,-0.133631794915
ACH-000316,-0.151703684182
ACH-000317,-0.352872335741
ACH-000318,-0.249475790749
ACH-000319,-0.313233607892
ACH-000320,-0.012170481947200001
ACH-000322,-0.0855041404222
ACH-000323,-0.258936188088
ACH-000324,-0.222859237659
ACH-000329,-0.138502249496
ACH-000330,-0.17751046810499999
ACH-000331,-0.131599851503
ACH-000332,-0.106321698474
ACH-000334,0.116796590382
ACH-000335,-0.23169797576099999
ACH-000336,0.132827699703
ACH-000337,-0.0064489826824
ACH-000339,-0.00229706212678
ACH-000341,-0.16143882152699998
ACH-000348,-0.107713423757
ACH-000350,-0.00565233129197
ACH-000352,-0.0909671920569
ACH-000356,-0.0428024373375
ACH-000361,-0.12579095013
ACH-000362,-0.127406541712
ACH-000363,-0.11419180385199999
ACH-000364,-0.228582794079
ACH-000365,-0.137968485404
ACH-000366,-0.103113808847
ACH-000368,-0.0572784300376
ACH-000374,-0.261518116605
ACH-000375,-0.0638982940206
ACH-000376,-0.152162919275
ACH-000381,-0.12222482108100001
ACH-000383,-0.0617853522416
ACH-000387,-0.220467336251
ACH-000389,-0.125286965747
ACH-000390,-0.452718227184
ACH-000393,-0.297756359849
ACH-000395,-0.0412788110398
ACH-000397,-0.22646963586899999
ACH-000401,-0.120304913969
ACH-000402,-0.487655470431
ACH-000403,-0.152293237522
ACH-000404,0.097833667852
ACH-000406,-0.16102365747199998
ACH-000407,-0.187473189953
ACH-000408,-0.0867706471931
ACH-000410,-0.11989940056199999
ACH-000411,0.07180019524299999
ACH-000414,-0.012506598963899999
ACH-000415,-0.12494439305999999
ACH-000416,-0.10510689430299999
ACH-000420,-0.42920885318499996
ACH-000421,-0.0371338147854
ACH-000424,-0.289444012418
ACH-000425,-0.141478254626
ACH-000426,0.082596750846
ACH-000427,-0.380640146827
ACH-000433,-0.0823510323004
ACH-000436,0.00630505664524
ACH-000444,-0.0974906086005
ACH-000445,-0.201636907577
ACH-000448,-0.09066006806610001
ACH-000450,-0.328588019097
ACH-000452,-0.189243317187
ACH-000454,-0.235098133062
ACH-000458,-0.130537624013
ACH-000459,-0.041813703949400004
ACH-000460,-0.260898715105
ACH-000461,-0.182147594115
ACH-000463,-0.14548995351500002
ACH-000464,-0.0162458878248
ACH-000466,-0.171171533721
ACH-000467,-0.04387895185880001
ACH-000468,-0.005243581438
ACH-000469,0.0424618085109
ACH-000470,-0.0475064364669
ACH-000471,-0.319020922819
ACH-000472,-0.129278769274
ACH-000473,-0.0136706146824
ACH-000475,-0.159617992554
ACH-000476,-0.164288648184
ACH-000477,-0.136247934407
ACH-000480,-0.186318228946
ACH-000481,-0.24639549245900003
ACH-000483,-0.20775397765200002
ACH-000484,-0.222409077139
ACH-000485,-0.0608415494546
ACH-000486,-0.136943807258
ACH-000487,-0.116561986932
ACH-000488,-0.036256672918800005
ACH-000490,-0.031786874418900005
ACH-000491,-0.182502742355
ACH-000495,-0.0392147817022
ACH-000496,-0.166122043546
ACH-000499,-0.35148637545199996
ACH-000500,0.42519655166299997
ACH-000502,-0.028320105556
ACH-000503,-0.37482055729099995
ACH-000505,-0.132527903026
ACH-000507,-0.04727936892
ACH-000510,-0.155012794105
ACH-000511,-0.0933118006899
ACH-000512,-0.34786593263000004
ACH-000516,-0.0290161220481
ACH-000517,-0.0935896720297
ACH-000518,-0.317762015108
ACH-000520,-0.28310853985
ACH-000521,-0.133980028792
ACH-000522,-0.146451482035
ACH-000524,-0.041840715690300005
ACH-000527,-0.09563687262949999
ACH-000528,-0.11142832615
ACH-000537,-0.055251901442800004
ACH-000541,0.0905275086827
ACH-000542,-0.0413533875458
ACH-000544,-0.00827673084091
ACH-000545,-0.134161081381
ACH-000547,-0.309103168866
ACH-000548,-0.264122615348
ACH-000549,-0.399885042788
ACH-000550,-0.00925096008933
ACH-000552,-0.11770317642400001
ACH-000556,-0.24745016159000002
ACH-000557,-0.19907781575
ACH-000570,-0.0969849681466
ACH-000571,-0.206268952399
ACH-000573,0.0391617164975
ACH-000576,0.0185729313656
ACH-000580,-0.25638534334
ACH-000584,-0.17431555464200002
ACH-000585,-0.132527148133
ACH-000588,-0.151772057425
ACH-000589,-0.269007167837
