,SCGB3A1 (92304)
ACH-000004,-0.00387801653665
ACH-000007,0.525963540626
ACH-000009,0.354917966112
ACH-000011,0.187737458966
ACH-000012,0.26061346332199997
ACH-000013,0.24606055194899998
ACH-000014,0.24244591934999998
ACH-000015,0.301865859153
ACH-000017,0.21522456864999998
ACH-000018,0.117446757925
ACH-000019,0.293417949374
ACH-000021,0.322551861314
ACH-000022,-0.013468972962
ACH-000025,0.21218420017499998
ACH-000028,0.27508328886
ACH-000030,0.18840028190000002
ACH-000035,0.4002335202
ACH-000036,0.129901532239
ACH-000037,0.358478572346
ACH-000039,0.588267189273
ACH-000040,0.0557655764855
ACH-000041,-0.0162655696596
ACH-000042,0.31673973854299997
ACH-000045,0.15328228675799999
ACH-000047,0.29940403797
ACH-000052,0.100857354599
ACH-000053,0.383161407637
ACH-000054,0.257446478802
ACH-000055,0.0871507693048
ACH-000060,0.222701939463
ACH-000067,0.12962444072100002
ACH-000070,0.0781823154065
ACH-000075,0.164230397487
ACH-000078,0.30736511325
ACH-000082,0.013098589156
ACH-000085,-0.219110553342
ACH-000086,0.0877781628588
ACH-000087,0.05310448808019999
ACH-000092,0.07342190114910001
ACH-000095,0.248335946525
ACH-000097,0.146541517905
ACH-000098,0.049185699402
ACH-000099,0.277656512995
ACH-000108,0.397722843809
ACH-000113,0.352962190827
ACH-000115,0.384946039146
ACH-000116,0.106399147378
ACH-000118,0.464539141223
ACH-000120,0.24260749651
ACH-000123,0.213818582523
ACH-000127,0.25510399348900004
ACH-000128,0.17697344604600002
ACH-000132,0.0806254819114
ACH-000133,0.124215764521
ACH-000137,0.04333208153
ACH-000138,0.28975786616300003
ACH-000142,0.255832103853
ACH-000143,0.057558463237100004
ACH-000146,0.218198132889
ACH-000148,0.207837893719
ACH-000150,0.0483747817621
ACH-000152,0.00351054554615
ACH-000153,0.48430421228
ACH-000159,0.0586969109634
ACH-000160,0.32033516179099997
ACH-000163,0.257621644632
ACH-000167,-0.163747868562
ACH-000168,0.0970408750124
ACH-000169,0.190401686327
ACH-000178,0.260132639813
ACH-000182,0.260707253975
ACH-000183,0.36120267736699996
ACH-000188,0.106443866733
ACH-000189,0.478833893052
ACH-000190,0.34571502519599995
ACH-000198,0.188679498145
ACH-000204,0.34045000265299996
ACH-000206,0.5095918686240001
ACH-000207,0.28273193177
ACH-000211,-0.016111028782899998
ACH-000215,0.32215922298300004
ACH-000221,0.287666825172
ACH-000222,0.558396649962
ACH-000223,0.079644923393
ACH-000226,0.338601940527
ACH-000227,-0.012190904219100001
ACH-000228,0.09375761743439999
ACH-000231,0.152621316373
ACH-000232,0.11128447478299999
ACH-000233,0.273056474791
ACH-000234,0.332158342372
ACH-000235,0.34712128420599997
ACH-000237,0.246157277953
ACH-000238,-0.007699226760149999
ACH-000243,0.336126129731
ACH-000244,0.147244482258
ACH-000246,0.265391272809
ACH-000248,0.194525340568
ACH-000250,0.167010633668
ACH-000251,0.19697392075
ACH-000253,0.387528611153
ACH-000255,0.0971520802244
ACH-000256,-0.0696037412693
ACH-000257,0.08882149879699999
ACH-000258,0.414705553451
ACH-000259,0.356004929318
ACH-000260,0.137454272117
ACH-000261,0.19127603460499998
ACH-000262,0.05304728913919999
ACH-000263,0.09888749804189999
ACH-000264,0.11281178942600001
ACH-000265,0.459755479922
ACH-000266,0.292508335143
ACH-000272,0.272142725541
ACH-000273,0.0879212377052
ACH-000274,0.15463149200200002
ACH-000277,0.0773800033562
ACH-000278,0.255296661682
ACH-000279,0.332011827016
ACH-000280,0.36155489927900003
ACH-000281,0.367747333458
ACH-000288,0.19312360843499998
ACH-000291,0.205735664346
ACH-000293,0.163856946083
ACH-000294,0.23595926985500001
