,RP1L1 (94137)
ACH-000004,-0.170608281402
ACH-000007,-0.118868948556
ACH-000009,-0.0448748936668
ACH-000011,-0.0907035797162
ACH-000012,0.046589459156400004
ACH-000013,-0.0758412689207
ACH-000014,-0.17397514815499998
ACH-000015,-0.021188406779800002
ACH-000017,-0.191138837872
ACH-000018,-0.0305121392586
ACH-000019,0.19014185444499998
ACH-000021,0.0601617846761
ACH-000022,-0.0049997940945699995
ACH-000025,-0.09894397721280002
ACH-000028,0.008351855972319999
ACH-000030,-0.00342977311044
ACH-000035,-0.0571378429538
ACH-000036,0.0935140267416
ACH-000037,-0.124085727564
ACH-000039,0.139459721259
ACH-000040,-0.113600651664
ACH-000041,-0.348411519388
ACH-000042,-0.126360888133
ACH-000045,-0.164066208641
ACH-000047,-0.287442137708
ACH-000052,0.10978609787999999
ACH-000053,0.000462000710935
ACH-000054,-0.06297070406460001
ACH-000055,0.023473254710599998
ACH-000060,-0.10201071182499999
ACH-000067,-0.09776797111230001
ACH-000070,-0.194235577683
ACH-000075,-0.24596680005399998
ACH-000078,-0.00736389416285
ACH-000082,-0.0625881273531
ACH-000085,-0.219370227553
ACH-000086,0.0613802988891
ACH-000087,-0.0541232159788
ACH-000092,-0.051558622044799995
ACH-000095,-0.0580909066196
ACH-000097,-0.0877058588961
ACH-000098,-0.15416617088600001
ACH-000099,-0.132767751232
ACH-000108,0.060835375185000005
ACH-000113,-0.24266111555599998
ACH-000115,0.0364065565485
ACH-000116,-0.152379455303
ACH-000118,-0.10082885659600001
ACH-000120,-0.0914972186469
ACH-000123,-0.191927296658
ACH-000127,-0.0336406955649
ACH-000128,-0.07952456054660001
ACH-000132,-0.090972736014
ACH-000133,-0.0158570980295
ACH-000137,-0.202282862778
ACH-000138,0.141621368622
ACH-000142,0.00992206579953
ACH-000143,-0.0380180588934
ACH-000146,-0.011528898411
ACH-000148,-0.154963883741
ACH-000150,-0.154237718917
ACH-000152,0.052974219353800006
ACH-000153,-0.27458059309
ACH-000159,-0.027492545627700003
ACH-000160,-0.11228390453600001
ACH-000163,-0.11233609282099999
ACH-000167,-0.107387831424
ACH-000168,0.10955947477900001
ACH-000169,-0.125421086718
ACH-000178,-0.075757759292
ACH-000182,0.0661286659117
ACH-000183,-0.0736341295153
ACH-000188,-0.07138286525889999
ACH-000189,-0.052815097886899996
ACH-000190,0.239213661834
ACH-000198,-0.195888888657
ACH-000204,-0.101589466544
ACH-000206,0.00487273059962
ACH-000207,-0.19690353928399998
ACH-000211,-0.156834302576
ACH-000215,-0.0596400407944
ACH-000221,-0.0826236462224
ACH-000222,0.223987042816
ACH-000223,0.023049673279400003
ACH-000226,0.23647129335099998
ACH-000227,-0.219268255685
ACH-000228,-0.207115681543
ACH-000231,-0.00118960286517
ACH-000232,-0.171022785639
ACH-000233,-0.0276945480418
ACH-000234,-0.120027805957
ACH-000235,-0.07976624113589999
ACH-000237,-0.00462233817968
ACH-000238,0.045474418152800004
ACH-000243,-0.0497811260296
ACH-000244,0.06321417678380001
ACH-000246,-0.00840499975136
ACH-000248,-0.00726001937921
ACH-000250,-0.0582392868011
ACH-000251,-0.159448767372
ACH-000253,-0.0248291263891
ACH-000255,0.0488117082649
ACH-000256,-0.171390215431
ACH-000257,-0.169112808496
ACH-000258,-0.0109612709889
ACH-000259,-0.102662287468
ACH-000260,-0.0598595974721
ACH-000261,-0.0424212430583
ACH-000262,0.0106050706217
ACH-000263,-0.122881375942
ACH-000264,-0.07485234873369999
ACH-000265,0.08643505753519999
ACH-000266,-0.0473751329952
ACH-000272,-0.0647162643611
ACH-000273,0.114687797411
ACH-000274,-0.0979909236658
ACH-000277,-0.30639893832
ACH-000278,0.007432933359449999
ACH-000279,-0.101998960986
ACH-000280,-0.20947278692899998
ACH-000281,-0.0753122498967
ACH-000288,-0.0243087564372
ACH-000291,-0.011161594834100001
ACH-000293,-0.00034069525007200007
ACH-000294,-0.111310351301
ACH-000295,-0.101313788476
ACH-000296,0.116209894252
ACH-000302,-0.027774163310400002
ACH-000304,0.17445635074700003
ACH-000307,-0.0836949056928
ACH-000308,-0.045716349254
ACH-000310,0.170028461416
ACH-000311,0.010225590918
ACH-000312,0.0225149187508
ACH-000315,-0.174371374473
ACH-000316,-0.20943158678100002
ACH-000317,-0.269014724719
ACH-000318,0.054136234865499996
ACH-000319,-0.192337427038
ACH-000320,-0.215937032004
