,MFSD6L (162387)
ACH-000004,-0.046533300360199994
ACH-000007,-0.182449824898
ACH-000009,-0.23583084365899998
ACH-000011,-0.0912706246348
ACH-000012,-0.0997134476923
ACH-000013,-0.14140071055
ACH-000014,0.146914598112
ACH-000015,-0.005863770210169999
ACH-000017,-0.048686732066800006
ACH-000018,0.082886393108
ACH-000019,-0.159608490028
ACH-000021,-0.0826500749077
ACH-000022,-0.0319313110476
ACH-000025,-0.136020709647
ACH-000028,-0.240387563083
ACH-000030,-0.0354320660473
ACH-000035,-0.0857278029391
ACH-000036,0.0675246773917
ACH-000037,0.0141944716425
ACH-000039,-0.07060206071160001
ACH-000040,-0.0399635314453
ACH-000041,-0.0904131296336
ACH-000042,-0.17702575889000002
ACH-000045,0.0345241197654
ACH-000047,-0.0575505510159
ACH-000052,-0.011897192734299998
ACH-000053,-0.044570349907800004
ACH-000054,0.062200286777800005
ACH-000055,0.052788537408499994
ACH-000060,-0.0423425753826
ACH-000067,-0.036602678354
ACH-000070,0.0118511357843
ACH-000075,0.024134362560099997
ACH-000078,-0.128738895671
ACH-000082,-0.273099770176
ACH-000085,-0.355190004734
ACH-000086,0.0777751443266
ACH-000087,0.114020055236
ACH-000092,0.17723048746300002
ACH-000095,0.0105582709493
ACH-000097,-0.009278744774729999
ACH-000098,-0.180492767293
ACH-000099,-0.132836624927
ACH-000108,-0.115721773514
ACH-000113,0.0707547874965
ACH-000115,-0.06352753485830001
ACH-000116,-0.0693780029144
ACH-000118,-0.0633244698724
ACH-000120,-0.0406005818304
ACH-000123,-0.110573460455
ACH-000127,-0.08958244730210001
ACH-000128,0.169202141111
ACH-000132,-0.25024947329999997
ACH-000133,-0.104671607348
ACH-000137,-0.061498661838
ACH-000138,-0.282968268417
ACH-000142,-0.183688302021
ACH-000143,0.24808640065999998
ACH-000146,-0.00123330393471
ACH-000148,-0.142413839066
ACH-000150,-0.302616424587
ACH-000152,-0.0458511781195
ACH-000153,0.478737162079
ACH-000159,0.100498420331
ACH-000160,-0.046389145591400005
ACH-000163,0.149293218973
ACH-000167,-0.211099523521
ACH-000168,-0.170033612057
ACH-000169,0.014915464673799998
ACH-000178,-0.239419106094
ACH-000182,-0.0945010059824
ACH-000183,-0.104527004058
ACH-000188,-0.094771026042
