,CACNA1B (774)
ACH-000004,-0.056730369529
ACH-000007,-0.204216723695
ACH-000009,-0.125930904097
ACH-000011,-0.204117800933
ACH-000012,-0.160898899664
ACH-000013,-0.105127482598
ACH-000014,-0.151506717748
ACH-000015,-0.09537288947339999
ACH-000017,-0.073297636059
ACH-000018,-0.029630833936400005
ACH-000019,-0.260467558173
ACH-000021,-0.03521626411019999
ACH-000022,-0.26422369778099997
ACH-000025,-0.034954334968599995
ACH-000028,-0.136742745188
ACH-000030,-0.0836747861826
ACH-000035,-0.0873219329646
ACH-000036,-0.130895452652
ACH-000037,-0.230764239758
ACH-000039,-0.0230946329252
ACH-000040,-0.162562571029
ACH-000041,-0.094842822699
ACH-000042,-0.300063221483
ACH-000045,-0.115800606267
ACH-000047,-0.146717174532
ACH-000052,-0.19083602383
ACH-000053,-0.104352864338
ACH-000054,-0.172368788778
ACH-000055,0.0286928454226
ACH-000060,-0.0712992318635
ACH-000067,-0.0752828748613
ACH-000070,-0.324990066637
ACH-000075,-0.14734020914999998
ACH-000078,-0.36384136380599996
ACH-000082,-0.0486544715656
ACH-000085,-0.10648364929099999
ACH-000086,-0.17203994958299998
ACH-000087,-0.0465611006415
ACH-000092,-0.13578844396700002
ACH-000095,-0.20038964729699998
ACH-000097,-0.110447595911
ACH-000098,-0.0389301478452
ACH-000099,-0.238430810099
ACH-000108,0.013569633304899999
ACH-000113,-0.218873355471
ACH-000115,-0.170303258505
ACH-000116,-0.0610102265142
ACH-000118,-0.0228724128633
ACH-000120,-0.09713575846560002
ACH-000123,-0.10194435651900001
ACH-000127,-0.0651846754055
ACH-000128,-0.145245970709
ACH-000132,-0.161625898672
ACH-000133,-0.106040324859
ACH-000137,-0.061028911781800005
ACH-000138,-0.106626031624
ACH-000142,-0.24443736607299998
ACH-000143,-0.12912973109200002
ACH-000146,0.056320897841300004
ACH-000148,-0.114482692251
ACH-000150,0.06300742705569999
ACH-000152,-0.12067789543400001
ACH-000153,-0.18274093886300002
ACH-000159,-0.20721245090799997
ACH-000160,-0.245053710328
ACH-000163,0.0604966494507
ACH-000167,-0.07448840435569999
ACH-000168,-0.23623652120799998
ACH-000169,-0.150967328288
ACH-000178,-0.241654309954
ACH-000182,-0.263309137902
ACH-000183,0.0768383308935
ACH-000188,-0.189823775654
ACH-000189,-0.263389622955
ACH-000190,0.322840990402
ACH-000198,-0.0923704890219
ACH-000204,-0.169497131158
ACH-000206,-0.159433651319
ACH-000207,-0.110828944494
ACH-000211,-0.17000701243299998
ACH-000215,-0.224426194923
ACH-000221,-0.0581792044441
ACH-000222,-0.103985663348
ACH-000223,-0.13830758239600002
ACH-000226,0.046221044250999994
ACH-000227,-0.10154027519600001
ACH-000228,-0.058733324418
ACH-000231,-0.0930705987019
ACH-000232,-0.24247437266
ACH-000233,-0.0648043266632
ACH-000234,-0.156035937859
ACH-000235,-0.116996557489
ACH-000237,-0.311862494007
ACH-000238,-0.09146176854689998
ACH-000243,0.0773883504792
ACH-000244,0.0503973625691
ACH-000246,-0.12632802553
ACH-000248,-0.27201886644900003
ACH-000250,-0.13080718830399998
ACH-000251,-0.18240506261
ACH-000253,-0.134657976751
ACH-000255,-0.140269630768
ACH-000256,0.04662047336609999
ACH-000257,-0.31028560225
ACH-000258,-0.0387131703311
ACH-000259,-0.154547655012
ACH-000260,-0.148877543303
ACH-000261,-0.11218656148700001
ACH-000262,0.057146511645599994
ACH-000263,-0.159457745671
ACH-000264,-0.202577887528
ACH-000265,-0.111507715067
ACH-000266,-0.186166117262
ACH-000272,-0.326972942155
ACH-000273,-0.192026788541
ACH-000274,-0.045642195806800005
ACH-000277,-0.536770592558
ACH-000278,-0.00818880716289
ACH-000279,-0.00246626383048
ACH-000280,-0.18892516607
ACH-000281,-0.202802889677
ACH-000288,0.0619160378596
ACH-000291,0.0754608251273
ACH-000293,0.13454365319800002
ACH-000294,-0.141789869798
ACH-000295,-0.24043874812899999
ACH-000296,0.0237423250403
ACH-000302,-0.07501411181789999
ACH-000304,0.000613655351109
ACH-000307,-0.0838167608868
ACH-000308,-0.0606941751309
ACH-000310,-0.271037853364
ACH-000311,-0.0182032950454
ACH-000312,-0.11622262109
ACH-000315,-0.274249606567
ACH-000316,-0.13338121970699998
ACH-000317,-0.029872871771499998
ACH-000318,-0.109682470505
ACH-000319,-0.033966706976900005
ACH-000320,-0.0930064569353
ACH-000322,-0.025355771195099998
ACH-000323,0.0911908934358
ACH-000324,-0.0821660253133
ACH-000329,-0.22007867722899999
ACH-000330,0.038925157426
ACH-000331,-0.0103696378424
ACH-000332,-0.0982611212801
ACH-000334,0.0458887068353
ACH-000335,0.0845014142266
ACH-000336,-0.27845141119000005
ACH-000337,-0.24455557871300002
ACH-000339,-0.224883085253
ACH-000341,0.105790175259
ACH-000348,-0.210080756445
ACH-000350,-0.03675585930419999
ACH-000352,-0.015849674510299998
ACH-000356,0.0702694347002
ACH-000361,-0.0083898514574
ACH-000362,-0.0020228587428800003
ACH-000363,0.10828986054199999
ACH-000364,-0.0909245758111
ACH-000365,-0.380501185507
ACH-000366,-0.21773866140700002
ACH-000368,0.0184988191035
ACH-000374,-0.131401739962
ACH-000375,-0.0758796648499
ACH-000376,-0.0845423569689
ACH-000381,-0.0951266203876
ACH-000383,-0.140446429296
ACH-000387,-0.0365379239312
ACH-000389,-0.0800113696943
ACH-000390,-0.23234825919399998
ACH-000393,-0.130662865819
ACH-000395,-0.355168983915
ACH-000397,-0.184664612595
ACH-000401,-0.193101284939
ACH-000402,0.140026688257
ACH-000403,-0.17590031396699998
ACH-000404,-0.21186518565600002
ACH-000406,-0.149076870405
ACH-000407,-0.09437669772980001
ACH-000408,0.007989410095450001
ACH-000410,-0.16324841259700001
ACH-000411,-0.2059933941
ACH-000414,-0.0932554787788
ACH-000415,-0.07895184557469999
ACH-000416,-0.0812419609203
ACH-000420,-0.06465025104399999
ACH-000421,-0.09537011469170001
ACH-000424,-0.157278377006
ACH-000425,-0.154345659531
ACH-000426,0.0336794323911
ACH-000427,-0.13840108705999998
ACH-000433,-0.369141621228
ACH-000436,-0.073800576252
ACH-000444,-0.304047891568
ACH-000445,-0.34308843517399995
ACH-000448,-0.154071287114
ACH-000450,-0.541367155902
ACH-000452,-0.17916743982799999
ACH-000454,-0.10014064315
ACH-000458,-0.100133309429
ACH-000459,-0.11911221567199999
ACH-000460,-0.13334433719900002
ACH-000461,-0.0467315051965
ACH-000463,-0.105477422476
ACH-000464,-0.25615141266999997
ACH-000466,-0.0766456267617
ACH-000467,-0.111225980842
ACH-000468,-0.19953203535100003
ACH-000469,-0.155202093486
ACH-000470,0.110639512099
ACH-000471,-0.148175784988
