,CFH (3075)
ACH-000004,0.0490902379528
ACH-000007,0.36023886132700006
ACH-000009,-0.155012264669
ACH-000011,-0.08354439176760001
ACH-000012,-0.113765139079
ACH-000013,0.0323254721235
ACH-000014,0.0324401963897
ACH-000015,-0.0393430267034
ACH-000017,-0.08541498394069999
ACH-000018,0.132963249724
ACH-000019,0.0914761837172
ACH-000021,0.06838049676180001
ACH-000022,0.08451885192389999
ACH-000025,0.0621321944431
ACH-000028,0.00458626831309
ACH-000030,-0.0265577831183
ACH-000035,-0.029238462456900004
ACH-000036,-0.0639776115772
ACH-000037,0.055715581191
ACH-000039,-0.23171291340599998
ACH-000040,-0.109540726513
ACH-000041,0.0609625381608
ACH-000042,0.047984118153
ACH-000045,0.00335280038421
ACH-000047,-0.00744287827155
ACH-000052,-0.05425050593280001
ACH-000053,0.00579509904019
ACH-000054,-0.11193180024800001
ACH-000055,-0.021539154809500003
ACH-000060,0.0146577754519
ACH-000067,0.11160615821599999
ACH-000070,0.05628433342
ACH-000075,0.182319504849
ACH-000078,-0.18249838528999998
ACH-000082,0.0154989865256
ACH-000085,0.007773638322
ACH-000086,-0.125430729228
ACH-000087,-0.0534456629951
ACH-000092,-0.06842244779369999
ACH-000095,0.004361398009279999
ACH-000097,-0.00369387476529
ACH-000098,0.0529665278457
ACH-000099,-0.024323654979799998
ACH-000108,0.00977275257819
ACH-000113,0.255436603683
ACH-000115,0.0649641312619
ACH-000116,0.0144028945575
ACH-000118,-0.0943880536373
ACH-000120,-0.13971062012399998
ACH-000123,0.0108832380149
ACH-000127,0.056125443988699994
ACH-000128,0.09248446277989998
ACH-000132,-0.165589402915
ACH-000133,-0.017717846871900002
ACH-000137,0.207971345482
ACH-000138,-0.053733526242699996
ACH-000142,0.115945980166
ACH-000143,0.175508245889
ACH-000146,-0.107616452192
ACH-000148,0.018696741809999997
ACH-000150,-0.18565885885000002
ACH-000152,-0.014251335064700001
ACH-000153,0.0750753460141
