,CRNKL1 (51340)
ACH-000004,-1.60165597405
ACH-000007,-0.9064364728919999
ACH-000009,-0.9745849884919999
ACH-000011,-1.22488625917
ACH-000012,-1.3815087209099999
ACH-000013,-1.0488877984
ACH-000014,-1.3814310718599998
ACH-000015,-1.31719792113
ACH-000017,-1.10658364681
ACH-000018,-0.803416922875
ACH-000019,-1.54856245546
ACH-000021,-1.41573240064
ACH-000022,-1.0056707436
ACH-000025,-1.26619544342
ACH-000028,-1.27816358127
ACH-000030,-1.4665641594499998
ACH-000035,-0.990070557131
ACH-000036,-1.1270422314700002
ACH-000037,-1.0981411622700001
ACH-000039,-0.882146866533
ACH-000040,-0.923788163614
ACH-000041,-0.926340962336
ACH-000042,-1.18680357861
ACH-000045,-1.0902533514100001
ACH-000047,-1.19226159728
ACH-000052,-1.0996922737600001
ACH-000053,-1.3350410013299998
ACH-000054,-1.0188589730500002
ACH-000055,-1.44222135775
ACH-000060,-1.0741561826000001
ACH-000067,-1.1540141339299999
ACH-000070,-1.28779168448
ACH-000075,-1.53067027148
ACH-000078,-0.864492384022
ACH-000082,-1.27760022368
ACH-000085,-1.3445630172100003
ACH-000086,-1.24403169612
ACH-000087,-1.6066210888499999
ACH-000092,-1.2988967056
ACH-000095,-1.30103613835
ACH-000097,-1.4879045114899998
ACH-000098,-1.05243642733
ACH-000099,-1.22264026249
ACH-000108,-1.5843404395299998
ACH-000113,-1.4105434251499998
ACH-000115,-1.1383902432
ACH-000116,-1.2242326538700001
ACH-000118,-1.44371749125
ACH-000120,-1.26481539843
ACH-000123,-1.26922265263
ACH-000127,-1.0717485814399998
ACH-000128,-1.36552644057
ACH-000132,-1.32833558246
ACH-000133,-1.16742619749
ACH-000137,-1.4304997917500002
ACH-000138,-1.088797726
ACH-000142,-1.18772425234
ACH-000143,-1.0568609022700002
ACH-000146,-1.62898515382
ACH-000148,-1.34875437134
ACH-000150,-1.20748878713
ACH-000152,-1.2342429222
ACH-000153,-0.948757603375
ACH-000159,-0.958031207139
ACH-000160,-1.8477245013299999
ACH-000163,-1.1236328494
ACH-000167,-0.344285308254
ACH-000168,-1.27884224245
ACH-000169,-1.1473645714899998
ACH-000178,-1.16687400284
ACH-000182,-1.61992799375
ACH-000183,-1.01369067319
ACH-000188,-1.3629201546899998
ACH-000189,-1.47335841304
ACH-000190,-1.60697772192
ACH-000198,-1.35496190933
ACH-000204,-1.16388103168
ACH-000206,-1.49252889886
ACH-000207,-1.95238712685
ACH-000211,-1.40156571611
ACH-000215,-1.39107939421
ACH-000221,-1.0459347269600001
ACH-000222,-1.3250716898000001
ACH-000223,-1.38329541069
ACH-000226,-1.3998724143399999
ACH-000227,-1.24529282341
ACH-000228,-1.18548987808
ACH-000231,-1.4149715529700002
ACH-000232,-1.47384136826
ACH-000233,-1.42619177749
ACH-000234,-1.41292478283
ACH-000235,-1.38162356102
ACH-000237,-1.38687464812
ACH-000238,-1.70653486801
ACH-000243,-1.4760606496700002
ACH-000244,-1.01292063693
ACH-000246,-1.2893272953100001
ACH-000248,-1.02986398484
ACH-000250,-1.5254023670899999
ACH-000251,-1.6112968574000002
ACH-000253,-1.24187877933
ACH-000255,-1.3762821255700002
ACH-000256,-0.8527184220280001
ACH-000257,-1.08086617013
ACH-000258,-1.7439826814900001
ACH-000259,-1.26727645469
ACH-000260,-1.2629779555
ACH-000261,-1.2280605446500001
ACH-000262,-1.12717097749
ACH-000263,-1.29706007843
ACH-000264,-1.39514833039
ACH-000265,-1.26267372691
ACH-000266,-1.3682945847699999
ACH-000272,-1.12324517206
ACH-000273,-0.9567048753540001
ACH-000274,-1.2876893274099999
ACH-000277,-1.68491730064
ACH-000278,-1.52671687209
ACH-000279,-1.44778297626
ACH-000280,-1.25059092698
ACH-000281,-1.36117825582
ACH-000288,-1.1031069223999999
ACH-000291,-1.31638394894
ACH-000293,-1.3739477592899998
ACH-000294,-1.43908343925
ACH-000295,-1.59738179882
ACH-000296,-1.3536478613
ACH-000302,-1.2789101539799999
ACH-000304,-1.2691309572799998
ACH-000307,-1.17259622932
ACH-000308,-1.4836423953100002
ACH-000310,-1.39991189757
ACH-000311,-1.2356212280399999
ACH-000312,-1.22787190876
ACH-000315,-1.0329386839899999
ACH-000316,-1.3680452213699998
ACH-000317,-0.969543505047
ACH-000318,-1.3815125549200002
ACH-000319,-1.2560492655600002
ACH-000320,-1.3535501701
ACH-000322,-1.3566599511000001
ACH-000323,-1.3471138481099998
ACH-000324,-1.2076893126000001
ACH-000329,-1.31964182345
ACH-000330,-1.4271356175299998
ACH-000331,-1.2656076125700002
ACH-000332,-1.4754199413299998
ACH-000334,-1.162196923
ACH-000335,-0.9622149395
ACH-000336,-1.55475649315
ACH-000337,-1.2998511348200001
ACH-000339,-1.1989380138299999
ACH-000341,-1.3686510435299999
ACH-000348,-1.19341397537
ACH-000350,-1.17482471017
ACH-000352,-1.23145854622
ACH-000356,-1.1230547482100002
ACH-000361,-0.8229004627940001
ACH-000362,-1.09948737344
ACH-000363,-1.3310062902
ACH-000364,-1.1341586215700001
ACH-000365,-1.4264741148
ACH-000366,-1.08303793233
ACH-000368,-1.3026307432700002
ACH-000374,-0.972711750981
ACH-000375,-1.17060692066
ACH-000376,-1.32438598573
ACH-000381,-1.42650391738
ACH-000383,-1.1966322895200001
ACH-000387,-1.4081002633200002
ACH-000389,-1.23970032968
ACH-000390,-1.00255981687
ACH-000393,-1.07553815133
ACH-000395,-1.46931809725
ACH-000397,-1.08270714878
ACH-000401,-1.02763713301
ACH-000402,-1.5948158120700002
ACH-000403,-1.59385998134
ACH-000404,-1.06880865016
ACH-000406,-1.22130345213
ACH-000407,-1.3171034042899998
ACH-000408,-1.47766179351
ACH-000410,-0.9185817205
ACH-000411,-1.26262413373
ACH-000414,-1.26375191588
ACH-000415,-1.31400643799
ACH-000416,-1.24013934945
ACH-000420,-1.33848790083
ACH-000421,-1.38410669648
ACH-000424,-1.39481870761
ACH-000425,-1.3306012328399999
ACH-000426,-1.18605386098
ACH-000427,-2.01233457564
ACH-000433,-1.6745297049899999
ACH-000436,-1.5431197316299998
ACH-000444,-1.0402834068200002
ACH-000445,-0.666867165138
ACH-000448,-1.23237122797
ACH-000450,-1.53148175714
ACH-000452,-1.29449513957
ACH-000454,-1.22922190199
ACH-000458,-1.32761402947
ACH-000459,-1.7193511813900002
ACH-000460,-1.0779610203799999
ACH-000461,-1.28823602867
ACH-000463,-1.35248810335
ACH-000464,-0.9747260765829999
ACH-000466,-0.950743807401
ACH-000467,-1.21849628426
ACH-000468,-1.14901484684
ACH-000469,-1.3384251810799999
ACH-000470,-1.16296530005
ACH-000471,-1.45406833278
ACH-000472,-1.28501183337
ACH-000473,-0.88952843188
ACH-000475,-1.4244540328200002
ACH-000476,-1.3607899713799998
ACH-000477,-0.9049430271850001
ACH-000480,-1.43763260343
ACH-000481,-1.08999404111
ACH-000483,-1.2248772156299998
ACH-000484,-2.15471010086
ACH-000485,-1.02194540094
ACH-000486,-1.4570557665600001
ACH-000487,-1.2943556433399999
ACH-000488,-1.6540329952000001
ACH-000490,-1.32023192293
ACH-000491,-1.45915380024
ACH-000495,-0.945990903295
ACH-000496,-1.5906599545
ACH-000499,-1.4639117959799999
ACH-000500,-0.7310568961849999
ACH-000502,-1.50370967196
ACH-000503,-1.20819863012
ACH-000505,-1.27556814114
ACH-000507,-1.2060947109
ACH-000510,-1.48092637817
ACH-000511,-1.4312729755700002
ACH-000512,-1.39818614282
ACH-000516,-1.234311581
ACH-000517,-1.4493369439500001
ACH-000518,-0.952333195554
ACH-000520,-1.2304612088
ACH-000521,-1.27805870436
ACH-000522,-1.0628319318100001
ACH-000524,-1.43018423826
ACH-000527,-1.1932111308
ACH-000528,-1.2502156477
ACH-000537,-1.0912705358600001
ACH-000541,-1.29213575676
ACH-000542,-1.41431388361
ACH-000544,-1.07624923017
ACH-000545,-1.4076661388299998
ACH-000547,-1.7104886853499999
ACH-000548,-1.14759014146
ACH-000549,-1.1114342581299999
ACH-000550,-0.905890784572
ACH-000552,-1.4475104913999999
ACH-000556,-1.26398223896
ACH-000557,-1.1390384547399999
ACH-000570,-1.1478296558299999
ACH-000571,-1.28147013375
ACH-000573,-1.43084637419
ACH-000576,-1.1206590320999998
ACH-000580,-1.05304467086
ACH-000584,-1.18016717776
ACH-000585,-1.26526244119
ACH-000588,-1.25562651566
ACH-000589,-1.49836517436
ACH-000591,-1.35923972183
ACH-000593,-1.10119138594
ACH-000600,-1.1907286621
ACH-000601,-1.38186450668
ACH-000604,-1.6697550467500002
ACH-000605,-1.20183319161
ACH-000606,-1.13218835881
ACH-000608,-1.66511597902
ACH-000614,-1.15585979435
ACH-000616,-1.37163160773
ACH-000618,-1.11037621689
ACH-000619,-1.3671494886200002
ACH-000620,-1.13001410844
ACH-000621,-1.3399897204100002
ACH-000622,-1.1913673918899998
ACH-000623,-1.13470616885
ACH-000624,-1.28526637734
ACH-000627,-1.49128665483
ACH-000630,-1.08997414844
ACH-000632,-1.12371205373
ACH-000633,-1.3249870615000001
ACH-000637,-1.00201490224
ACH-000638,-1.20316293504
ACH-000646,-1.92573014491
ACH-000647,-1.5547949588299999
ACH-000648,-1.64676274101
ACH-000649,-1.43494270369
ACH-000651,-1.12624022096
ACH-000652,-1.67277903066
ACH-000653,-1.69230867667
ACH-000657,-1.33304877935
ACH-000658,-1.18685955146
ACH-000661,-1.20241994139
ACH-000662,-1.90135519618
ACH-000663,-1.5764720889700001
ACH-000665,-1.34581491306
ACH-000671,-1.3449628684700001
ACH-000673,-1.29852692996
ACH-000676,-1.294469836
ACH-000677,-1.1668015410700001
ACH-000681,-1.15187174113
ACH-000682,-1.44079612051
ACH-000683,-1.3488341522299998
ACH-000684,-1.02981048555
ACH-000688,-1.34216831016
ACH-000693,-1.3505036936500001
ACH-000694,-1.64668567663
ACH-000695,-1.40958820389
ACH-000696,-1.2649432881
ACH-000697,-1.66832468399
ACH-000699,-1.68567303085
ACH-000701,-1.71495611081
ACH-000706,-0.9007681245799999
ACH-000711,-1.33372110693
ACH-000713,-1.1655276827
ACH-000714,-1.37053669053
ACH-000718,-1.8626092257299998
ACH-000720,-1.14780029906
ACH-000721,-1.29891666003
ACH-000724,-1.10608376961
ACH-000725,-1.94552364275
ACH-000732,-0.847734672074
ACH-000734,-1.20052787589
ACH-000735,-1.25017269185
ACH-000736,-1.28030504561
ACH-000738,-1.39698474602
ACH-000746,-1.89928174521
ACH-000747,-1.3672136306099998
ACH-000748,-1.1986723578899998
ACH-000753,-1.05472667001
ACH-000756,-1.29908576422
ACH-000757,-1.40854289563
ACH-000758,-1.01543993981
ACH-000760,-1.53984021169
ACH-000763,-1.51473288914
ACH-000764,-0.9974950786679999
ACH-000765,-0.784115859342
ACH-000766,-1.36079761634
ACH-000767,-1.3593374535299998
ACH-000768,-1.13658339896
ACH-000769,-1.3483749783599999
ACH-000770,-1.35679899605
ACH-000771,-1.10401806264
ACH-000773,-1.62081092912
ACH-000776,-0.852873314644
ACH-000777,-1.2600054360100001
ACH-000778,-1.3152525259899999
ACH-000781,-1.2739704533
ACH-000782,-1.1950635220999999
ACH-000783,-1.44846706638
ACH-000784,-1.01634206115
ACH-000785,-1.2334270016700002
ACH-000787,-1.27367131464
ACH-000788,-1.22787806366
ACH-000791,-1.4863817699700002
ACH-000792,-1.07746765198
ACH-000794,-1.1074234457799998
ACH-000796,-1.3538971725600002
ACH-000799,-1.25851516305
ACH-000800,-1.08941198553
ACH-000802,-1.10768047575
ACH-000804,-1.09950767031
ACH-000805,-1.15488564312
ACH-000809,-1.43666101442
ACH-000810,-1.01800301234
ACH-000811,-1.4917160039700001
ACH-000817,-1.33612576424
ACH-000819,-1.2552225872
ACH-000820,-0.917734144175
ACH-000821,-1.1085861997600002
ACH-000822,-1.61897586015
ACH-000823,-1.22421545748
ACH-000824,-1.4939565696700001
ACH-000827,-1.20636871854
ACH-000829,-1.50603408819
ACH-000831,-1.2225375624700001
ACH-000832,-1.2992715487200002
ACH-000833,-1.2635688379899999
ACH-000834,-1.3777650880599999
ACH-000835,-1.1102659950700002
ACH-000836,-1.40758014195
ACH-000837,-1.2520371405500001
ACH-000838,-1.22971998535
ACH-000839,-1.42410117248
ACH-000840,-1.3326429548799998
ACH-000841,-1.31965724422
ACH-000843,-1.3300830460600002
ACH-000846,-1.22731562561
ACH-000847,-1.40994163477
ACH-000848,-1.5687289415
ACH-000849,-1.46825397556
ACH-000851,-1.36848410352
ACH-000855,-0.958222531793
ACH-000856,-1.2687608809
ACH-000858,-1.1133240995
ACH-000859,-1.22837658689
ACH-000861,-1.23240995915
ACH-000862,-1.3457747663
ACH-000865,-1.3370300636599999
ACH-000866,-1.24972472885
ACH-000867,-1.2910790413
ACH-000869,-1.5334821803999998
ACH-000872,-1.1065757090600001
ACH-000873,-1.31850331069
ACH-000876,-1.52121009581
ACH-000878,-1.19122231437
ACH-000880,-1.3794843078299999
ACH-000881,-1.11226453276
ACH-000882,-1.3249341086
ACH-000884,-1.3668377860699998
ACH-000885,-1.33812806795
ACH-000887,-1.1742922741
ACH-000888,-1.71326137075
ACH-000889,-1.1192164630900001
ACH-000890,-0.7861000030949999
ACH-000896,-0.898614178563
ACH-000898,-1.31399019208
ACH-000900,-1.42312319756
ACH-000901,-1.1927090823200002
ACH-000905,-1.15870370075
ACH-000906,-1.1217126262200001
ACH-000907,-1.19698904975
ACH-000910,-1.1318808657500001
ACH-000911,-1.21242994118
ACH-000912,-1.26408220062
ACH-000913,-1.06472984547
ACH-000915,-1.4117324946
ACH-000916,-1.49354180755
ACH-000917,-0.928479973271
ACH-000921,-1.3055296779799999
ACH-000924,-1.20668494411
ACH-000926,-1.43792810241
ACH-000928,-1.5299517760799999
ACH-000929,-1.5842454444999998
ACH-000932,-1.24395427124
ACH-000935,-0.919136395688
ACH-000936,-1.09454241186
ACH-000937,-1.2087743442399999
ACH-000938,-1.2844358944499998
ACH-000939,-1.20148001514
ACH-000941,-1.3094136346
ACH-000943,-1.20904259088
ACH-000946,-1.26219780352
ACH-000947,-1.4822223748299999
ACH-000948,-1.22138548714
ACH-000950,-1.30942864436
ACH-000953,-1.54101140342
ACH-000957,-1.1594761359999999
ACH-000958,-1.27490633861
ACH-000960,-1.47469876558
ACH-000963,-1.01125703076
ACH-000968,-1.118954521
ACH-000969,-1.301202594
ACH-000973,-0.998732403627
ACH-000974,-1.33086230748
ACH-000975,-1.15295400479
ACH-000976,-1.17991500944
ACH-000978,-1.3969082595299998
ACH-000980,-1.3962025165399998
ACH-000984,-1.7377582579599997
ACH-000986,-1.24641580069
ACH-000988,-1.53045069784
ACH-000993,-1.1437472891299998
ACH-000994,-1.4955677347799998
ACH-000996,-1.3020540787700001
ACH-001001,-1.20419696488
ACH-001020,-1.23038555979
ACH-001028,-1.41163784639
ACH-001031,-1.19718412553
ACH-001038,-1.2767105984
ACH-001048,-1.33665069083
ACH-001050,-1.00653820867
ACH-001053,-1.05553367164
ACH-001054,-1.35791029486
ACH-001061,-1.3427375480700001
ACH-001067,-1.1874157411200001
ACH-001075,-1.207819942
ACH-001096,-1.34664141381
ACH-001128,-1.42791915462
ACH-001134,-1.45303377604
ACH-001151,-1.10229997595
ACH-001163,-1.4355038668200002
ACH-001164,-1.1635749246
ACH-001173,-1.4807498769999998
ACH-001183,-1.0953303801
ACH-001184,-1.3214890912200001
ACH-001190,-1.35905277664
ACH-001192,-1.24964001777
ACH-001193,-1.41559895509
ACH-001196,-1.15401614781
ACH-001197,-1.5229770257799997
ACH-001205,-1.29202895835
ACH-001211,-1.25155412647
ACH-001212,-0.7271691791150001
ACH-001228,-1.23737613637
ACH-001232,-1.17625064167
ACH-001239,-1.44688008665
ACH-001274,-1.22829579517
ACH-001275,-1.23028884281
ACH-001277,-1.27116575178
ACH-001278,-1.25631623875
ACH-001280,-1.0861909084399999
ACH-001283,-1.43689432726
ACH-001289,-1.3618563284799998
ACH-001295,-1.31743006931
ACH-001300,-1.29536509489
ACH-001301,-1.3291830083
ACH-001302,-1.1917847176799998
ACH-001303,-1.16122162856
ACH-001306,-1.00281335815
ACH-001318,-1.32314954546
ACH-001322,-1.0624191354299999
ACH-001328,-1.33479797384
ACH-001332,-1.35369172769
ACH-001333,-1.03497257198
ACH-001336,-1.12417130102
ACH-001340,-1.3128922079799998
ACH-001346,-1.4121680123500002
ACH-001353,-1.27562739829
ACH-001354,-1.20434480085
ACH-001367,-1.12101843442
ACH-001368,-1.41029474442
ACH-001374,-1.22300937693
ACH-001375,-1.1938857329600001
ACH-001377,-1.18521074798
ACH-001380,-1.3578863074399998
ACH-001391,-1.3479112365600001
ACH-001407,-1.1746149893100002
ACH-001408,-1.3530174861000002
ACH-001413,-1.6969010358899999
ACH-001430,-1.20973794151
ACH-001431,-1.3658935624200002
ACH-001450,-0.8965984164409999
ACH-001496,-1.35542943867
ACH-001500,-1.41806602872
ACH-001521,-1.15601057723
ACH-001523,-1.04612394358
ACH-001532,-1.4208782450100002
ACH-001536,-1.2176285181200002
ACH-001550,-1.7402595022299998
ACH-001552,-0.92052457096
ACH-001554,-1.19306081532
ACH-001645,-1.62763693778
ACH-001654,-1.2804310939299999
ACH-001715,-1.1130540933
ACH-001735,-1.28272933622
ACH-001736,-1.34723042498
ACH-001737,-1.60063930386
ACH-001740,-1.0965808959799999
ACH-001745,-1.26047501739
ACH-001750,-1.37023445152
ACH-001765,-1.2099982101
ACH-001956,-1.4220207596
ACH-001957,-1.07150705933
