,N6AMT1 (29104)
ACH-000004,-0.712379710822
ACH-000007,-1.04271614265
ACH-000009,-0.9870737324269999
ACH-000011,-0.725026372145
ACH-000012,-0.804997804577
ACH-000013,-0.460274090215
ACH-000014,-0.7936953796549999
ACH-000015,-0.923297687271
ACH-000017,-0.468712572939
ACH-000018,-0.899689082461
ACH-000019,-0.608268560668
ACH-000021,-0.37189994441
ACH-000022,-0.829143034992
ACH-000025,-1.11387960936
ACH-000028,-0.7531608016779999
ACH-000030,-1.11687509636
ACH-000035,-0.472828256712
ACH-000036,-0.6184081987
ACH-000037,-0.770035359561
ACH-000039,-0.5921297210140001
ACH-000040,-0.407097934566
ACH-000041,-0.489792847307
ACH-000042,-0.9382720311949999
ACH-000045,-0.682559966297
ACH-000047,-0.777134929134
ACH-000052,-1.16194723453
ACH-000053,-0.7019317148909999
ACH-000054,-0.560016256404
ACH-000055,-0.908341484421
ACH-000060,-0.662796281349
ACH-000067,-0.433695485701
ACH-000070,-0.601343422099
ACH-000075,-0.266153108386
ACH-000078,-0.34130923208999997
ACH-000082,-0.852439753672
ACH-000085,-0.39108371402500003
ACH-000086,-0.412925259661
ACH-000087,-0.809067572076
ACH-000092,-1.00882204507
ACH-000095,-0.654677059864
ACH-000097,-0.529611388734
ACH-000098,-0.9467711031720001
ACH-000099,-0.40425169346
ACH-000108,-0.436402819961
ACH-000113,-0.598987421668
ACH-000115,-0.52198339878
ACH-000116,-0.639508479582
ACH-000118,-0.5939466986899999
ACH-000120,-0.61394539386
ACH-000123,-0.686640265256
ACH-000127,-1.01769036535
ACH-000128,-0.66973696166
ACH-000132,-0.8410665063439999
ACH-000133,-0.759948483127
ACH-000137,-0.515825718076
ACH-000138,-0.610306088265
ACH-000142,-1.02878411166
ACH-000143,-0.64601985689
ACH-000146,-0.345414284836
ACH-000148,-0.6649298363130001
ACH-000150,-0.36815206059199995
ACH-000152,-0.466790031677
ACH-000153,-1.13313574907
ACH-000159,-0.362421789649
ACH-000160,-0.7753660847120001
ACH-000163,-0.5398829096100001
ACH-000167,-0.630937752758
ACH-000168,-0.8274482915189999
ACH-000169,-0.665247221857
ACH-000178,-0.772246401127
ACH-000182,-0.366943216006
ACH-000183,-1.02764583112
ACH-000188,-0.9398978867910001
ACH-000189,-0.94944172457
ACH-000190,-1.1237666299
ACH-000198,-0.751191756918
ACH-000204,-0.533398456143
ACH-000206,-1.18782966537
ACH-000207,-0.879277997273
ACH-000211,-0.8833094094439999
ACH-000215,-0.705530977059
ACH-000221,-0.8958665092579999
ACH-000222,-0.573661331146
ACH-000223,-0.50130039852
ACH-000226,-0.7133061584020001
ACH-000227,-0.469343585225
ACH-000228,-0.34411424518600003
ACH-000231,-0.438797853995
ACH-000232,-0.875329709752
ACH-000233,-0.65722689713
ACH-000234,-0.615119872926
ACH-000235,-0.611882408337
ACH-000237,-0.665687515114
ACH-000238,-0.965301926161
ACH-000243,-0.802365055214
ACH-000244,-0.545691256733
ACH-000246,-0.41753159207699997
ACH-000248,-0.5341978595979999
ACH-000250,-0.588803487397
ACH-000251,-1.07835568734
ACH-000253,-0.500841888112
ACH-000255,-0.875060502984
ACH-000256,-0.762346223237
ACH-000257,-0.708578463896
ACH-000258,-0.27243866068399997
ACH-000259,-0.45915747302
ACH-000260,-1.09704928106
ACH-000261,-0.25974861487100004
ACH-000262,-0.478501794827
ACH-000263,-0.733871068918
ACH-000264,-0.7098810420649999
ACH-000265,-0.869894718902
ACH-000266,-0.239947612313
ACH-000272,-0.659066655304
ACH-000273,-0.8718625131209999
ACH-000274,-0.446808996515
ACH-000277,-0.36634877896799994
ACH-000278,-0.5228602900379999
ACH-000279,-0.897812398262
ACH-000280,-0.622834237371
ACH-000281,-0.770365435604
ACH-000288,-0.5525250930969999
ACH-000291,-0.738324147624
ACH-000293,-0.355602927259
ACH-000294,-1.2990654605
ACH-000295,-0.651268022353
ACH-000296,-0.619598646128
ACH-000302,-0.617395678591
ACH-000304,-0.586634370258
ACH-000307,-1.03518601627
ACH-000308,-0.623353917257
ACH-000310,-0.404172980784
ACH-000311,-0.68237504064
ACH-000312,-0.538425389568
ACH-000315,-0.7058795446960001
ACH-000316,-0.821063524516
ACH-000317,-0.8221565644419999
ACH-000318,-0.621468327148
ACH-000319,-0.658424793922
ACH-000320,-0.824834020373
ACH-000322,-0.585805286007
ACH-000323,-0.353428418097
ACH-000324,-0.856600305138
ACH-000329,-0.25643933529699997
ACH-000330,-0.48686755612899996
ACH-000331,-0.5376309914190001
ACH-000332,-0.548664772219
ACH-000334,-0.6549937411010001
ACH-000335,-0.881730986854
ACH-000336,-0.871201330519
ACH-000337,-1.1444171122700002
ACH-000339,-0.685013448766
ACH-000341,-0.535817893907
ACH-000348,-0.645448509516
ACH-000350,-0.7551859844300001
ACH-000352,-0.377357807143
ACH-000356,-0.650751561151
ACH-000361,-0.6384527829659999
ACH-000362,-0.841856283849
ACH-000363,-0.715512453662
ACH-000364,-0.649506358568
ACH-000365,-0.991602777031
ACH-000366,-0.6290122842729999
ACH-000368,-0.267001838216
ACH-000374,-1.07318150505
ACH-000375,-0.825925264699
ACH-000376,-0.739759773289
ACH-000381,-0.893536148954
ACH-000383,-0.608220401385
ACH-000387,-0.512935993772
ACH-000389,-0.364759171629
ACH-000390,-0.798136738081
ACH-000393,-0.329265107125
ACH-000395,-0.516466644647
ACH-000397,-0.838083923253
ACH-000401,-1.1168598964799998
ACH-000402,-0.7292088281199999
