,mutation counts,nonsilent mutations
ACH-000004,283,200
ACH-000007,556,437
ACH-000009,439,326
ACH-000011,387,299
ACH-000012,280,214
ACH-000013,251,178
ACH-000014,712,502
ACH-000015,369,296
ACH-000017,473,335
ACH-000018,265,207
ACH-000019,665,504
ACH-000021,464,353
ACH-000022,259,189
ACH-000025,82,73
ACH-000028,241,173
ACH-000030,510,376
ACH-000035,182,131
ACH-000036,321,250
ACH-000037,3305,572
ACH-000039,155,114
ACH-000040,218,169
ACH-000041,177,134
ACH-000042,209,162
ACH-000045,226,171
ACH-000047,412,289
ACH-000052,198,146
ACH-000053,255,188
ACH-000054,178,131
ACH-000055,261,207
ACH-000060,230,173
ACH-000067,199,146
ACH-000070,220,158
ACH-000075,197,146
ACH-000078,237,175
ACH-000082,173,123
ACH-000085,280,204
ACH-000086,223,163
ACH-000087,248,196
ACH-000092,198,144
ACH-000095,275,203
ACH-000097,359,259
ACH-000098,255,183
ACH-000099,243,191
ACH-000108,339,238
ACH-000113,224,171
ACH-000115,238,153
ACH-000116,220,176
ACH-000118,277,192
ACH-000120,208,148
ACH-000123,243,190
ACH-000127,440,341
ACH-000128,148,111
ACH-000132,435,318
ACH-000133,256,186
ACH-000137,278,209
ACH-000138,205,125
ACH-000142,260,186
ACH-000143,190,148
ACH-000146,357,249
ACH-000148,258,210
ACH-000150,188,129
ACH-000152,242,186
ACH-000153,359,285
ACH-000159,365,276
ACH-000160,216,154
ACH-000163,236,177
ACH-000167,226,157
ACH-000168,328,226
ACH-000169,359,268
ACH-000178,284,223
ACH-000182,322,234
ACH-000183,394,300
ACH-000188,245,178
ACH-000189,332,240
ACH-000190,301,236
ACH-000198,536,391
ACH-000204,346,241
ACH-000206,263,205
ACH-000207,294,210
ACH-000211,312,220
ACH-000215,162,114
ACH-000221,402,299
ACH-000222,298,224
ACH-000223,365,282
ACH-000226,288,211
ACH-000227,349,251
ACH-000228,236,175
ACH-000231,399,267
ACH-000232,334,256
ACH-000233,327,243
ACH-000234,267,204
ACH-000235,311,225
ACH-000237,214,136
ACH-000238,426,284
ACH-000243,329,240
ACH-000244,238,164
ACH-000246,181,128
