,CAPZB (832)
ACH-000004,-1.13162927377
ACH-000007,-0.9673076222570001
ACH-000009,-1.45984468174
ACH-000011,-1.2770928261599999
ACH-000012,-1.35530044002
ACH-000013,-1.7699154048900003
ACH-000014,-1.18997907302
ACH-000015,-1.11535614237
ACH-000017,-1.4751424044600001
ACH-000018,-1.18477966481
ACH-000019,-1.8156339267299997
ACH-000021,-1.16197096251
ACH-000022,-1.11099406065
ACH-000025,-0.98730433301
ACH-000028,-1.45270979773
ACH-000030,-1.57960894499
ACH-000035,-1.3576043469799999
ACH-000036,-1.5095731926700002
ACH-000037,-1.70180309415
ACH-000039,-1.3579994363699999
ACH-000040,-1.48967115409
ACH-000041,-0.721494689501
ACH-000042,-1.15240718916
ACH-000045,-1.2694008858299999
ACH-000047,-1.29014551018
ACH-000052,-1.03976286535
ACH-000053,-0.91624127061
ACH-000054,-1.02851511368
ACH-000055,-1.27828110873
ACH-000060,-1.12945930876
ACH-000067,-1.34040638143
ACH-000070,-1.1621077042799999
ACH-000075,-1.07568426216
ACH-000078,-1.26315041859
ACH-000082,-1.19727141779
ACH-000085,-1.45871949495
ACH-000086,-1.10845492217
ACH-000087,-1.051619087
ACH-000092,-1.27277515723
ACH-000095,-1.4056864224399999
ACH-000097,-1.47881136378
ACH-000098,-1.1475963624799999
ACH-000099,-1.4246728905700001
ACH-000108,-0.0847507748512
ACH-000113,-1.07214650097
ACH-000115,-0.298553672536
ACH-000116,-1.32040055634
ACH-000118,-1.15907261774
ACH-000120,-1.6700985443799998
ACH-000123,-1.25772020766
ACH-000127,-1.29788372337
ACH-000128,-1.02342813192
ACH-000132,-1.4877389204299998
ACH-000133,-0.893694161242
ACH-000137,-1.16431436013
ACH-000138,-1.31971209866
ACH-000142,-1.39917031114
ACH-000143,-1.20680850873
ACH-000146,-1.1889912655600001
ACH-000148,-1.22936450154
ACH-000150,-1.4906217771799999
ACH-000152,-0.827075291382
ACH-000153,-0.805451310051
ACH-000159,-1.30978720216
ACH-000160,-1.8087387504400003
ACH-000163,-1.23820084411
ACH-000167,-1.41366253578
ACH-000168,-0.895461729923
ACH-000169,-0.921210271787
ACH-000178,-1.14423407838
ACH-000182,-0.912791525175
ACH-000183,-1.60983035831
ACH-000188,-1.3279633901
ACH-000189,-1.09648795573
ACH-000190,-1.19143570794
ACH-000198,-1.24818990255
ACH-000204,-1.37906622199
ACH-000206,-1.32785085344
ACH-000207,-0.8764734307430001
ACH-000211,-1.1982453015299999
ACH-000215,-1.60916115886
ACH-000221,-1.09138318825
ACH-000222,-1.6181363610100001
ACH-000223,-1.35528925611
ACH-000226,-1.2462298520000001
ACH-000227,-0.67618657625
ACH-000228,-1.32615767501
ACH-000231,-1.45256288353
ACH-000232,-1.1918251885100002
ACH-000233,-1.0982110357200001
ACH-000234,-1.30336821615
ACH-000235,-1.3573414672100002
ACH-000237,-1.0982592280299999
ACH-000238,-1.5706258529
ACH-000243,-1.33843969096
ACH-000244,-0.8256935077600001
ACH-000246,-1.66031846442
ACH-000248,-1.23220410802
ACH-000250,-1.2096639096200001
ACH-000251,-1.14505086041
ACH-000253,-1.4829992049599998
ACH-000255,-1.0348766852299998
ACH-000256,-1.22509912023
ACH-000257,-0.768193100523
ACH-000258,-1.5909415653799999
ACH-000259,-1.41122367206
ACH-000260,-1.02877404963
ACH-000261,-1.40251007834
ACH-000262,-1.10223115749
ACH-000263,-1.11558935398
ACH-000264,-1.46848982621
ACH-000265,-1.2601781209
ACH-000266,-1.10955912158
ACH-000272,-1.46325260528
ACH-000273,-1.27397494739
ACH-000274,-0.761189683013
ACH-000277,-1.8525161607700003
ACH-000278,-1.0545734864899998
ACH-000279,-0.8755578922470001
ACH-000280,-1.1197642372399998
ACH-000281,-1.47926150516
ACH-000288,-1.2454018657100001
ACH-000291,-1.42215934507
ACH-000293,-1.17488774669
ACH-000294,-1.36951816023
ACH-000295,-1.4013640522600002
ACH-000296,-1.69817357282
ACH-000302,-1.66990852504
ACH-000304,-1.36029791912
ACH-000307,-1.38681851123
ACH-000308,-1.6114281642
ACH-000310,-1.57441265071
ACH-000311,-1.58187661411
ACH-000312,-0.953635501067
ACH-000315,-1.20436877247
ACH-000316,-1.21906385255
ACH-000317,-1.4494626147799998
ACH-000318,-1.35905413581
ACH-000319,-1.3481880939300002
ACH-000320,-1.26187670213
ACH-000322,-1.38405794843
ACH-000323,-1.12217786063
ACH-000324,-1.30844716169
ACH-000329,-1.038329372
ACH-000330,-1.37598242289
ACH-000331,-1.2727574748700001
ACH-000332,-1.4824700709099998
ACH-000334,-1.0613426159700001
ACH-000335,-1.17908664848
ACH-000336,-1.02987621855
ACH-000337,-1.29263759184
ACH-000339,-1.25787416865
ACH-000341,-0.9007163878450001
ACH-000348,-1.5325738378600002
ACH-000350,-1.76714315803
ACH-000352,-1.42599120185
ACH-000356,-1.25811476856
ACH-000361,-0.81317843125
ACH-000362,-1.34041154214
ACH-000363,-1.4665463468200002
ACH-000364,-1.30077826952
ACH-000365,-1.49777027483
ACH-000366,-1.1568534658
ACH-000368,-1.4848044860799998
ACH-000374,-1.24792556012
ACH-000375,-1.28680368825
ACH-000376,-1.27402488906
ACH-000381,-1.38048622899
ACH-000383,-1.59606298847
ACH-000387,-1.31448432395
ACH-000389,-1.09955603511
ACH-000390,-1.45330171217
ACH-000393,-1.1438261110899999
ACH-000395,-1.9158132560699999
ACH-000397,-1.5383381870200001
ACH-000401,-1.0997389445399999
ACH-000402,-1.97047548898
ACH-000403,-1.6573104122799998
ACH-000404,-1.0094078702299998
ACH-000406,-1.10784561532
ACH-000407,-1.12777471304
ACH-000408,-1.26604198403
ACH-000410,-0.8534818093209999
ACH-000411,-1.24667728573
ACH-000414,-1.6333699572
ACH-000415,-0.920705258925
ACH-000416,-0.9498988219910001
ACH-000420,-1.5003769051
ACH-000421,-1.0514136592
ACH-000424,-1.39031672894
ACH-000425,-1.05678377326
ACH-000426,-0.970829851159
ACH-000427,-2.00754589653
ACH-000433,-1.2328418335200002
ACH-000436,-1.60558340509
ACH-000444,-1.11962197754
